ed_2026,ndp,ucp,other,n_vas,map
Airdrie-East,4474.0,8087.0,360.0,71,majority
Airdrie-West,82.0952380952381,251.8095238095238,9.142857142857142,2,majority
Barrhead-Westlock-Athabasca,3421.3,11724.3,139.4,65,majority
Calgary-Acadia,10894.529761904761,11615.383333333333,895.9738095238096,121,majority
Calgary-Beddington,5578.690476190476,5858.833333333333,298.14285714285717,58,majority
Calgary-Bhullar-McCall,3956.0,2835.0,0.0,35,majority
Calgary-Bow,7769.380952380952,8378.952380952382,648.0952380952381,83,majority
Calgary-Buffalo,3923.1460317460314,2470.9269841269843,162.2253968253968,46,majority
Calgary-Confluence,1090.8420634920635,678.9039682539683,46.30079365079365,13,majority
Calgary-Cross,5797.066666666667,5842.766666666666,485.4,68,majority
Calgary-Currie,7871.483333333334,7801.25,634.4166666666666,76,majority
Calgary-East,2277.910714285714,2434.2619047619046,257.6666666666667,38,majority
Calgary-Edgemont,8893.333333333334,9397.333333333334,620.6666666666666,100,majority
Calgary-Elbow,6334.5,6617.5,677.1666666666666,63,majority
Calgary-Falconridge-Conrich,1416.9333333333334,944.6333333333333,91.0,16,majority
Calgary-Fish Creek,7110.0,9140.333333333334,423.0,63,majority
Calgary-Glenmore-Tsuut'ina,2130.3,3401.133333333333,86.46666666666667,26,majority
Calgary-Hays,3662.1321428571428,5719.532142857142,337.5785714285714,40,majority
Calgary-Klein,6922.571428571428,6913.7904761904765,489.76666666666665,68,majority
Calgary-Lougheed,3618.3333333333335,5286.0,328.3333333333333,44,majority
Calgary-McKenzie,76.4,146.6,5.0,1,majority
Calgary-Mountain View,8004.0,4732.0,315.0,74,majority
Calgary-North,3554.5714285714284,3898.0,2.4285714285714284,38,majority
Calgary-North East,5313.333333333333,5017.333333333333,22.333333333333332,63,majority
Calgary-North West,939.0690476190476,1230.147619047619,83.3547619047619,12,majority
Calgary-Nose Creek,382.8333333333333,406.1666666666667,33.0,4,majority
Calgary-Shaw,5763.0,8080.0,159.0,66,majority
Calgary-South East,7008.342857142857,10709.742857142857,401.1714285714286,85,majority
Calgary-Symons Valley,157.57142857142856,277.66666666666663,8.095238095238095,3,majority
Calgary-Varsity,6298.0,4732.0,121.0,46,majority
Calgary-West-Elbow Valley,3529.016666666667,4060.983333333333,175.75,30,majority
Camrose,2903.0,7715.0,1313.0,59,majority
Canmore-Banff,3571.775,4484.4,334.125,46,majority
Central Peace-Notley,1287.0,5989.0,277.0,49,majority
Chestermere-Strathmore,2883.0,6971.0,312.0,55,majority
Cochrane-Springbank,4809.571428571428,8218.190476190475,440.85714285714283,74,majority
Cold Lake-Bonnyville-St. Paul,2347.0,7793.0,0.0,61,majority
Drumheller-Stettler,1465.0,9715.0,423.0,55,majority
Edmonton-Beaumont,1963.8000000000002,2550.2000000000003,107.4,21,majority
Edmonton-Beverly-Clareview,4717.0,3507.0,375.0,46,majority
Edmonton-Castle Downs,4638.0,3865.0,361.0,50,majority
Edmonton-City Centre,11410.116666666667,4333.233333333334,554.7166666666667,104,majority
Edmonton-Decore,4223.416666666667,3535.3333333333335,529.75,51,majority
Edmonton-Ellerslie,5781.0,3956.0,159.0,44,majority
Edmonton-Enoch,6833.15,4363.566666666667,473.6333333333333,49,majority
Edmonton-Glenora-Riverview,1209.1666666666667,592.5833333333334,64.75,7,majority
Edmonton-Gold Bar,7604.0,3718.0,381.0,53,majority
Edmonton-Highlands-Norwood,4823.0,2055.0,267.0,43,majority
Edmonton-Manning,5162.0,3938.0,196.0,58,majority
Edmonton-McClung,4865.0,3494.0,288.0,42,majority
Edmonton-Meadows,6005.0,3765.0,145.0,51,majority
Edmonton-Mill Woods,6020.0,4144.0,0.0,47,majority
Edmonton-North West,8029.283333333333,6259.966666666666,356.8666666666667,69,majority
Edmonton-Rutherford,9121.4,4813.683333333333,517.8,66,majority
Edmonton-South,7300.0,5466.0,227.0,82,majority
Edmonton-Strathcona,6852.0,1759.0,291.0,45,majority
Edmonton-West Henday,4131.0,3739.5,277.75,35,majority
Edmonton-Whitemud,5476.0,3804.0,321.0,46,majority
Edmonton-Windermere,6003.0,4919.6,182.6,71,majority
Fort McMurray-Lac La Biche,1384.0,4803.0,130.0,46,majority
Fort McMurray-Wood Buffalo,1029.0,3679.0,657.0,36,majority
Fort Saskatchewan-Vegreville,4711.0,8585.0,738.0,73,majority
Grande Prairie,2614.0,6485.0,462.0,45,majority
Grande Prairie-Wapiti,2299.0,10015.0,444.0,69,majority
High River-Vulcan-Siksika,1006.1666666666666,3010.5,110.66666666666667,24,majority
Lacombe-Clearwater,2552.285714285714,9079.107142857143,1481.6785714285713,56,majority
Leduc-Devon,2918.2,4820.8,281.6,39,majority
Lesser Slave Lake,1532.0,2910.0,76.0,51,majority
Lethbridge-East,4626.0,5900.0,284.0,64,majority
Lethbridge-West,5651.0,5663.0,478.0,55,majority
Livingstone-Macleod,3457.8571428571427,11020.285714285714,1290.4285714285713,101,majority
Lloydminster-Wainwright,1687.0,8314.0,892.0,57,majority
Medicine Hat-Brooks,3095.5,8357.25,758.5,72,majority
Medicine Hat-Cypress,4676.0,8681.0,439.0,52,majority
Mountain View-Kneehill,2947.4,12733.7,1269.0,62,majority
Okotoks-Diamond Valley,2369.125,5580.625,215.25,45,majority
Peace River,1531.0,4072.0,276.0,60,majority
Red Deer-North,3530.0,6098.0,454.0,49,majority
Red Deer-South,5665.0,8377.0,369.0,58,majority
Sherwood Park,6403.0,6366.0,897.0,51,majority
