map,ed_name,commission_pop,provincial_quota,deviation_pct,lower_band_pct,upper_band_pct,s15_invoked,s15_criteria_met,s15_verdict,classification,flag,notes
majority_2026,Calgary-Acadia,55791,54929.5,1.57,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Beddington,56024,54929.5,1.99,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Bhullar-McCall,55887,54929.5,1.74,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Bow,54981,54929.5,0.09,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Buffalo,58777,54929.5,7.0,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Confluence,58632,54929.5,6.74,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Cross,59491,54929.5,8.3,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Currie,58111,54929.5,5.79,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-East,58308,54929.5,6.15,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Edgemont,55141,54929.5,0.39,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Elbow,55297,54929.5,0.67,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Falconridge-Conrich,56661,54929.5,3.15,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Fish Creek,55403,54929.5,0.86,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Glenmore-Tsuut'ina,56970,54929.5,3.71,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Hays,52147,54929.5,-5.07,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Klein,56292,54929.5,2.48,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Lougheed,59554,54929.5,8.42,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-McKenzie,62772,54929.5,14.28,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Mountain View,54396,54929.5,-0.97,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-North,57945,54929.5,5.49,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-North East,54541,54929.5,-0.71,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-North West,52488,54929.5,-4.44,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Nose Creek,55155,54929.5,0.41,-25.0,25.0,N,,,COMPLIANT,,
