va_id,parent_ed_2019,majority_ed,minority_ed,is_swing,va_ndp,va_ucp,va_other,eg_contrib_majority,eg_contrib_minority,delta_eg,region
Fort Saskatchewan-Vegreville|024,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville,0,58.000000,132.500000,14.500000,0.000033,0.000033,0.000000,Rest of Alberta
Lesser Slave Lake|046,Lesser Slave Lake,Lesser Slave Lake,Lesser Slave Lake,0,5.000000,62.000000,0.000000,-0.000012,-0.000012,0.000000,Rest of Alberta
Edmonton-Highlands-Norwood|003,Edmonton-Highlands-Norwood,Edmonton-Highlands-Norwood,Edmonton-Highlands-Norwood,0,107.000000,61.250000,7.000000,-0.000035,-0.000035,0.000000,Edmonton
Edmonton-City Centre|048,Edmonton-City Centre,Edmonton-City Centre,Edmonton-City Centre,0,90.200000,21.000000,4.600000,0.000011,0.000011,0.000000,Edmonton
Lesser Slave Lake|018,Lesser Slave Lake,Lesser Slave Lake,Lesser Slave Lake,0,53.000000,73.000000,3.000000,0.000038,0.000038,0.000000,Rest of Alberta
Edmonton-City Centre|039,Edmonton-City Centre,Edmonton-City Centre,Edmonton-City Centre,0,91.875000,29.625000,3.875000,0.000002,0.000002,0.000000,Edmonton
Strathcona-Sherwood Park|027,Strathcona-Sherwood Park,Strathcona-Sherwood Park,Sherwood Park-Strathcona,1,97.800000,102.600000,5.400000,0.000094,0.000092,-0.000002,Rest of Alberta
Strathcona-Sherwood Park|028,Strathcona-Sherwood Park,Strathcona-Sherwood Park,Sherwood Park-Strathcona,1,97.800000,102.600000,5.400000,0.000094,0.000092,-0.000002,Rest of Alberta
Airdrie-Cochrane|013,Airdrie-Cochrane,Cochrane-Springbank,Calgary-Nolan Hill-Cochrane,1,76.285714,118.142857,7.571429,0.000054,0.000059,0.000005,Rest of Alberta
Calgary-Beddington|047,Calgary-Beddington,Calgary-Beddington,Calgary-Beddington,0,105.000000,99.800000,9.000000,0.000115,0.000114,-0.000001,Calgary
Calgary-Beddington|046,Calgary-Beddington,Calgary-Beddington,Calgary-Beddington,0,105.000000,99.800000,9.000000,0.000115,0.000114,-0.000001,Calgary
Calgary-Mountain View|010,Calgary-Mountain View,Calgary-Mountain View,Calgary-Mountainview,1,132.200000,78.000000,5.000000,-0.000056,-0.000057,-0.000001,Calgary
Calgary-Currie|009,Calgary-Currie,Calgary-Currie,Calgary-Currie,0,157.750000,76.500000,12.000000,-0.000070,-0.000071,-0.000001,Calgary
Rimbey-Rocky Mountain House-Sundre|038,Rimbey-Rocky Mountain House-Sundre,Lacombe-Clearwater,Rocky Mountain House-Banff Park,1,14.625000,114.875000,23.875000,-0.000033,-0.000033,0.000000,Mountain-West
Calgary-Edgemont|048,Calgary-Edgemont,Calgary-Beddington,Calgary-Edgemont,1,61.888889,77.555556,4.777778,0.000067,0.000065,-0.000002,Calgary
Fort McMurray-Lac La Biche|002,Fort McMurray-Lac La Biche,Fort McMurray-Wood Buffalo,Fort McMurray-Lac La Biche,1,37.222222,122.222222,4.111111,-0.000007,-0.000008,-0.000000,Rest of Alberta
Calgary-Falconridge|003,Calgary-Falconridge,Calgary-Cross,Calgary-Falconridge,1,88.000000,86.200000,10.200000,-0.000093,-0.000086,0.000006,Calgary
