va_id,parent_ed_2019,majority_ed,minority_ed,is_swing,va_ndp,va_ucp,va_other,eg_contrib_majority,eg_contrib_minority,delta_eg,region
Fort Saskatchewan-Vegreville|024,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville,0,114.379174,202.132220,14.500000,0.000052,0.000052,0.000000,Rest of Alberta
Lesser Slave Lake|046,Lesser Slave Lake,Lesser Slave Lake,Lesser Slave Lake,0,20.777127,94.429086,0.000000,-0.000002,-0.000002,0.000000,Rest of Alberta
Edmonton-Highlands-Norwood|003,Edmonton-Highlands-Norwood,Edmonton-Highlands-Norwood,Edmonton-Highlands-Norwood,0,186.917527,83.094613,7.000000,-0.000015,-0.000015,0.000000,Edmonton
Edmonton-City Centre|048,Edmonton-City Centre,Edmonton-City Centre,Edmonton-City Centre,0,180.744878,45.046943,4.600000,0.000012,0.000012,0.000000,Edmonton
Lesser Slave Lake|018,Lesser Slave Lake,Lesser Slave Lake,Lesser Slave Lake,0,82.670419,133.986042,3.000000,0.000031,0.000031,0.000000,Rest of Alberta
Edmonton-City Centre|039,Edmonton-City Centre,Edmonton-City Centre,Edmonton-City Centre,0,190.806678,55.899313,3.875000,0.000007,0.000007,0.000000,Edmonton
Strathcona-Sherwood Park|027,Strathcona-Sherwood Park,Strathcona-Sherwood Park,Sherwood Park-Strathcona,1,147.816446,161.887361,5.400000,0.000084,0.000082,-0.000002,Rest of Alberta
Strathcona-Sherwood Park|028,Strathcona-Sherwood Park,Strathcona-Sherwood Park,Sherwood Park-Strathcona,1,147.816446,161.887361,5.400000,0.000084,0.000082,-0.000002,Rest of Alberta
Airdrie-Cochrane|013,Airdrie-Cochrane,Cochrane-Springbank,Calgary-Nolan Hill-Cochrane,1,146.153166,222.930426,7.571429,0.000069,0.000071,0.000001,Rest of Alberta
Calgary-Beddington|047,Calgary-Beddington,Calgary-Beddington,Calgary-Beddington,0,185.655299,171.602390,9.000000,-0.000110,-0.000109,0.000001,Calgary
Calgary-Beddington|046,Calgary-Beddington,Calgary-Beddington,Calgary-Beddington,0,185.655299,171.602390,9.000000,-0.000110,-0.000109,0.000001,Calgary
Calgary-Mountain View|010,Calgary-Mountain View,Calgary-Mountain View,Calgary-Mountainview,1,230.533197,125.004523,5.000000,-0.000047,-0.000048,-0.000002,Calgary
Calgary-Currie|009,Calgary-Currie,Calgary-Currie,Calgary-Currie,0,233.246785,127.257210,12.000000,-0.000065,-0.000066,-0.000001,Calgary
Rimbey-Rocky Mountain House-Sundre|038,Rimbey-Rocky Mountain House-Sundre,Lacombe-Clearwater,Rocky Mountain House-Banff Park,1,30.242968,182.414793,23.875000,-0.000023,-0.000022,0.000001,Mountain-West
Calgary-Edgemont|048,Calgary-Edgemont,Calgary-Beddington,Calgary-Edgemont,1,143.702941,163.107082,4.777778,-0.000105,0.000091,0.000196,Calgary
Fort McMurray-Lac La Biche|002,Fort McMurray-Lac La Biche,Fort McMurray-Wood Buffalo,Fort McMurray-Lac La Biche,1,60.828350,180.335560,4.111111,-0.000002,-0.000000,0.000001,Rest of Alberta
Calgary-Falconridge|003,Calgary-Falconridge,Calgary-Cross,Calgary-Falconridge,1,170.198593,137.614757,10.200000,-0.000084,-0.000075,0.000008,Calgary
Vermilion-Lloydminster-Wainwright|017,Vermilion-Lloydminster-Wainwright,Lloydminster-Wainwright,Lloydminster-Wainwright,0,51.113739,349.596090,20.500000,-0.000053,-0.000053,-0.000000,Rest of Alberta
Morinville-St. Albert|017,Morinville-St. Albert,St. Albert-Sturgeon,St Albert-Sturgeon,1,158.577128,222.288053,6.285714,0.000082,0.000085,0.000004,Rest of Alberta
Edmonton-Beverly-Clareview|004,Edmonton-Beverly-Clareview,Edmonton-Beverly-Clareview,Edmonton-Beverly-Clareview,0,171.645023,117.813108,7.333333,-0.000058,-0.000058,0.000000,Edmonton
Edmonton-Manning|047,Edmonton-Manning,Edmonton-Manning,Edmonton-Manning,0,88.816654,60.583883,1.111111,-0.000031,-0.000031,0.000000,Edmonton
Calgary-North West|015,Calgary-North West,Calgary-North West,Calgary-North West-Bearspaw,1,203.752695,207.290986,9.333333,0.000129,0.000126,-0.000003,Calgary
Bonnyville-Cold Lake-St. Paul|047,Bonnyville-Cold Lake-St. Paul,Cold Lake-Bonnyville-St. Paul,Cold Lake-Bonnyville-St. Paul,0,75.747452,201.335240,0.000000,0.000005,0.000005,0.000000,Rest of Alberta
Brooks-Medicine Hat|052,Brooks-Medicine Hat,Medicine Hat-Brooks,Medicine Hat-Brooks,0,117.173621,204.589935,9.833333,0.000037,0.000037,0.000000,Rest of Alberta
Brooks-Medicine Hat|051,Brooks-Medicine Hat,Medicine Hat-Brooks,Medicine Hat-Brooks,0,118.128157,219.038329,8.285714,0.000034,0.000034,0.000000,Rest of Alberta
Morinville-St. Albert|019,Morinville-St. Albert,St. Albert-Sturgeon,St Albert-Sturgeon,1,158.577128,222.288053,6.285714,0.000082,0.000085,0.000004,Rest of Alberta
Morinville-St. Albert|018,Morinville-St. Albert,St. Albert-Sturgeon,St Albert-Sturgeon,1,158.577128,222.288053,6.285714,0.000082,0.000085,0.000004,Rest of Alberta
Sherwood Park|048,Sherwood Park,Sherwood Park,Sherwood Park,0,223.619124,205.918662,12.600000,-0.000123,-0.000124,-0.000001,Rest of Alberta
Calgary-Hays|011,Calgary-Hays,Calgary-Hays,Calgary-Hays,0,176.282785,213.827647,5.571429,0.000098,0.000098,0.000000,Calgary
Calgary-Hays|022,Calgary-Hays,Calgary-Hays,Calgary-Hays,0,162.082231,215.913291,3.800000,0.000089,0.000089,0.000000,Calgary
Calgary-Fish Creek|005,Calgary-Fish Creek,Calgary-Fish Creek,Calgary-Fish Creek,0,182.668029,218.827178,6.833333,0.000102,0.000103,0.000001,Calgary
