map,name_2026,canon_source,orig_area_km2,clean_area_km2,delta_km2
majority,Calgary-Acadia,v7,77.46906352249584,73.36142860796534,-4.107634914530515
majority,Calgary-Beddington,v7,44.71142130765598,28.798733094700108,-15.912688212955873
majority,Calgary-Bhullar-McCall,v7,62.97872408276018,57.51242384217907,-5.46630024058111
majority,Calgary-Bow,v7,40.81009094651807,25.621126839973176,-15.188964106544898
majority,Calgary-Buffalo,v7,29.386452650013585,5.340981240265455,-24.045471409748128
majority,Calgary-Confluence,2019-parent,10.555415893432473,6.429590713695831,-4.125825179736643
majority,Calgary-Cross,v7,24.08156662593467,14.195067830732617,-9.886498795202055
majority,Calgary-Currie,v7,23.40671741742415,22.3240794745586,-1.0826379428655468
majority,Calgary-East,v7,77.48362052192498,4.273946790730729,-73.20967373119424
majority,Calgary-Edgemont,v7,30.075319497881488,25.556054101387257,-4.519265396494228
majority,Calgary-Elbow,v7,26.277487797173322,25.347771821429596,-0.9297159757437259
majority,Calgary-Falconridge-Conrich,v7,62.990558242223564,5.5763965358077145,-57.41416170641585
majority,Calgary-Fish Creek,v7,41.56641109649021,38.88108416017774,-2.6853269363124594
majority,Calgary-Glenmore-Tsuut'ina,v7,112.27993611068888,112.27993611068888,0.0
majority,Calgary-Hays,v7,45.912933251602546,29.99520105311433,-15.917732198488217
majority,Calgary-Klein,v7,56.84700812883535,44.173340653007436,-12.673667475827918
majority,Calgary-Lougheed,v7,53.274196428159065,53.274196428159065,0.0
majority,Calgary-McKenzie,v7,49.26399222157072,16.1641367466844,-33.09985547488631
majority,Calgary-Mountain View,v7,17.84243659044108,17.84243659044108,0.0
majority,Calgary-North,v7,33.84933175127132,13.952018595908434,-19.897313155362887
majority,Calgary-North East,v7,70.3467325895247,29.011986723710102,-41.3347458658146
majority,Calgary-North West,v7,48.547722469720235,22.75358877986112,-25.79413368985912
majority,Calgary-Nose Creek,2019-parent,27.63926399550034,27.524172816507424,-0.1150911789929159
majority,Calgary-Shaw,v7,40.16037342857689,36.96380789853906,-3.196565530037828
majority,Calgary-South East,v7,100.10765646205952,68.74950962304243,-31.358146839017092
majority,Calgary-Symons Valley,v7,56.86281749651723,10.812506047330588,-46.050311449186644
majority,Calgary-Varsity,v7,24.012559405338862,24.012559405338862,0.0
majority,Calgary-West-Elbow Valley,v7,544.3980434978391,544.3980434978391,0.0
majority,Edmonton-Beaumont,osm-municipal-buffered,76.59381448154605,76.59381448154605,0.0
majority,Edmonton-Beverly-Clareview,v7,39.30130261358631,39.30130261358631,0.0
majority,Edmonton-Castle Downs,v7,40.81308420379575,32.575091870519984,-8.237992333275773
majority,Edmonton-City Centre,v7,33.69479302921838,30.37669211852989,-3.3181009106884933
majority,Edmonton-Decore,v7,41.79575877418468,16.569220985444048,-25.22653778874063
majority,Edmonton-Ellerslie,v7,55.429841778100666,50.14799565608924,-5.281846122011423
majority,Edmonton-Enoch,v7,58.038816745968404,58.03881674342246,-2.545945346355438e-09
majority,Edmonton-Glenora-Riverview,v7,58.024733656421056,0.15841075807919272,-57.86632289834186
majority,Edmonton-Gold Bar,v7,130.9394023427595,73.80484289126144,-57.13455945149806
majority,Edmonton-Highlands-Norwood,v7,16.57978982155433,16.57978982155433,0.0
majority,Edmonton-Manning,v7,115.33191511035376,105.29297395229784,-10.03894115805593
majority,Edmonton-McClung,v7,17.944610659165928,1.8043378986139913,-16.140272760551934
majority,Edmonton-Meadows,v7,18.551696193881135,18.551696193881135,0.0
majority,Edmonton-Mill Woods,v7,26.559755794519795,26.559755794519795,0.0
majority,Edmonton-North West,v7,71.95502019273987,28.66991740725036,-43.2851027854895
majority,Edmonton-Rutherford,v7,59.00525259408996,31.51867519989139,-27.48657739419857
majority,Edmonton-South,v7,72.7041948401028,61.83428202089279,-10.869912819210015
majority,Edmonton-Strathcona,v7,15.469617769269737,15.469617769269737,0.0
majority,Edmonton-West Henday,v7,76.5025053815458,46.12768807705623,-30.374817304489568
majority,Edmonton-Whitemud,v7,22.03974332965394,19.25500034438556,-2.7847429852683807
majority,Edmonton-Windermere,2019-parent,91.698737313696,90.49402226346099,-1.2047150502350032
majority,Airdrie-East,2019-parent,714.2497346856494,711.7835656565857,-2.4661690290637015
majority,Airdrie-West,sweep,104.47881246729919,104.47881246729919,0.0
majority,Barrhead-Westlock-Athabasca,2019-parent,23699.127074750373,23699.127073397103,-1.353271484375e-06
majority,Camrose,v7,10636.570655675047,10636.570655675047,0.0
majority,Canmore-Banff,2019-parent,15938.767885274916,15334.976847904225,-603.7910373706914
majority,Central Peace-Notley,v7,47311.93162058968,47311.93162058968,0.0
majority,Chestermere-Strathmore,2019-parent,1581.5462445557323,1578.6997622473277,-2.8464823084044455
majority,Cochrane-Springbank,sweep,649.3326860184333,649.3326860184333,0.0
majority,Cold Lake-Bonnyville-St. Paul,2019-parent,15870.826159890721,15870.826159890721,0.0
majority,Drumheller-Stettler,v7,36548.4940118779,36548.4940118779,0.0
majority,Fort McMurray-Lac La Biche,2019-parent,32317.74815650458,32317.74815650458,0.0
majority,Fort McMurray-Wood Buffalo,v7,86353.31538184422,86353.31538184422,0.0
majority,Fort Saskatchewan-Vegreville,v7,9118.350471917527,9118.350471890844,-2.6681900024414062e-08
majority,Grande Prairie,v7,111.13441968097443,111.13441968097443,0.0
majority,Grande Prairie-Wapiti,v7,8360.686074237618,8360.686074237618,0.0
majority,High River-Vulcan-Siksika,sweep,714.6642675003756,655.1558108041806,-59.508456696194884
majority,Lacombe-Clearwater,v7,3666.090772919536,3666.090772919536,0.0
majority,Leduc-Devon,2019-parent,190.00237212019618,142.34036505414858,-47.66200706604761
majority,Lesser Slave Lake,v7,69566.0904384939,69566.0904384939,0.0
majority,Lethbridge-East,2019-parent,49.62789468200185,49.62789468200185,0.0
majority,Lethbridge-West,2019-parent,74.25645073065272,74.25645073065272,0.0
majority,Livingstone-Macleod,v7,14146.132273385072,14146.132273385072,0.0
majority,Lloydminster-Wainwright,v7,10090.974332164473,10090.974332164473,0.0
majority,Medicine Hat-Brooks,2019-parent,13741.637276091753,13741.637276091753,0.0
majority,Medicine Hat-Cypress,v7,6113.468889779371,6113.468889779371,0.0
majority,Mountain View-Kneehill,2019-parent,10479.3491817548,10479.3491817548,0.0
majority,Okotoks-Diamond Valley,sweep,628.6345964639232,628.6345964639232,0.0
majority,Peace River,v7,109221.98362246597,109221.98362220473,-2.612457275390625e-07
majority,Red Deer-North,v7,71.8067619399687,71.8067619399687,0.0
majority,Red Deer-South,v7,35.04143599512166,35.04143599512166,0.0
majority,Sherwood Park,v7,62.742047773678316,62.742047773678316,0.0
majority,Spruce Grove,v7,68.47327197135105,68.47327197135105,0.0
majority,St. Albert,v7,38.86205754698939,38.86205754698939,0.0
majority,St. Albert-Sturgeon,2019-parent,1376.4748429651681,1376.4748429651681,0.0
majority,Stony Plain-Drayton Valley,2019-parent,6153.8268778442725,6153.8268778442725,0.0
majority,Strathcona-Sherwood Park,v7,642.6042363172428,614.0419056268524,-28.562330690390347
majority,Sylvan Lake-Innisfail,2019-parent,3605.1871555615617,3605.1871555615617,0.0
majority,Taber-Cardston,2019-parent,14980.311833853864,14980.311833853864,0.0
majority,West Yellowhead,v7,48312.78558996577,47117.00611957877,-1195.779470387001
majority,Wetaskiwin-Ponoka-Maskwacis,v7,4219.521190295812,4208.293152169986,-11.228038125826835
minority,Calgary-Acadia,v7,26.535506277475612,26.535506277475612,0.0
minority,Calgary-Airdrie,2019-parent,753.8114984857327,729.9310731278415,-23.880425357891202
minority,Calgary-Beddington,v7,28.92727767524704,28.92727767524704,0.0
minority,Calgary-Bow-Springbank,v7,62.250478415009965,14.806981880182352,-47.44349653482762
minority,Calgary-Buffalo,v7,21.67965853913817,21.666322840136186,-0.013335699001986534
minority,Calgary-Cross,v7,15.797321777849714,15.797321777849714,0.0
minority,Calgary-Currie,v7,12.162452485696496,12.162452485696496,0.0
minority,Calgary-De Winton,v7,438.723695756892,438.723695756892,0.0
minority,Calgary-East,v7,97.70749043701592,84.61851717035127,-13.088973266664654
minority,Calgary-Edgemont,v7,50.64064227795196,13.764168981715144,-36.87647329623682
minority,Calgary-Elbow,v7,19.33504844805899,2.761454645851093,-16.5735938022079
minority,Calgary-Falconridge,v7,71.00522069181187,71.00522069181187,0.0
