pass,donor,receiver,donor_pct,receiver_pct,pct_diff,shared_length_m,vertices_snapped
1,Calgary-East,Calgary-Acadia,65.31,49.71,15.6,1749.3,95
1,Calgary-Confluence,Calgary-Acadia,91.75,49.71,42.03,229.6,33
1,Calgary-Nose Creek,Calgary-Beddington,95.64,0.0,95.64,599.9,22
1,Chestermere-Strathmore,Calgary-Bhullar-McCall,68.26,57.71,10.55,346.3,29
1,Calgary-Nose Creek,Calgary-Bhullar-McCall,95.64,57.71,37.93,511.2,51
1,Calgary-Bhullar-McCall,Airdrie-East,57.71,40.8,16.91,5669.5,334
1,Calgary-Bow,Cochrane-Springbank,88.99,64.65,24.34,1554.2,146
1,Calgary-Confluence,Calgary-Elbow,91.75,80.1,11.64,642.8,55
1,Calgary-Cross,Chestermere-Strathmore,95.98,68.26,27.71,5239.4,287
1,Calgary-Varsity,Calgary-Edgemont,97.43,79.02,18.4,1286.1,82
1,Calgary-Edgemont,Cochrane-Springbank,79.02,64.65,14.38,2664.3,241
1,Calgary-Elbow,Calgary-West-Elbow Valley,80.1,18.82,61.29,1174.1,86
1,Mountain View-Kneehill,Calgary-Falconridge-Conrich,66.17,0.0,66.17,12894.7,151
1,Calgary-Glenmore-Tsuut'ina,Canmore-Banff,21.39,0.0,21.39,51640.8,74
1,Calgary-Shaw,Calgary-Lougheed,77.5,17.82,59.68,3748.4,193
1,High River-Vulcan-Siksika,Calgary-Lougheed,51.93,17.82,34.12,1817.4,92
1,Calgary-Shaw,High River-Vulcan-Siksika,77.5,51.93,25.56,997.2,58
1,Calgary-Symons Valley,Cochrane-Springbank,77.34,64.65,12.69,9091.9,384
1,Calgary-West-Elbow Valley,Canmore-Banff,18.82,0.0,18.82,99711.2,34
1,Leduc-Devon,Edmonton-Beaumont,54.95,16.82,38.13,11730.8,656
1,Edmonton-Ellerslie,Edmonton-Beaumont,61.19,16.82,44.37,4247.3,278
1,Edmonton-Strathcona,Edmonton-City Centre,97.55,87.34,10.21,4744.1,362
1,Edmonton-West Henday,Edmonton-City Centre,100.0,87.34,12.66,40.5,17
1,Edmonton-Mill Woods,Edmonton-Ellerslie,93.52,61.19,32.33,3024.8,192
1,Edmonton-Meadows,Edmonton-Ellerslie,100.0,61.19,38.81,2796.8,210
1,Edmonton-Whitemud,Edmonton-Enoch,92.63,52.53,40.1,3164.0,245
1,Edmonton-McClung,Edmonton-Enoch,97.48,52.53,44.95,1964.1,158
1,Edmonton-Windermere,Edmonton-South,81.49,67.28,14.2,35.5,9
1,Mountain View-Kneehill,Airdrie-East,66.17,40.8,25.37,63072.7,2787
1,Cochrane-Springbank,Airdrie-East,64.65,40.8,23.85,20151.2,1164
1,Mountain View-Kneehill,Airdrie-West,66.17,25.75,40.43,12799.5,669
1,Cochrane-Springbank,Airdrie-West,64.65,25.75,38.9,23726.5,966
1,Fort Saskatchewan-Vegreville,Barrhead-Westlock-Athabasca,99.15,79.69,19.46,24043.7,3515
1,Cold Lake-Bonnyville-St. Paul,Barrhead-Westlock-Athabasca,93.84,79.69,14.15,104725.7,5027
1,Livingstone-Macleod,Canmore-Banff,92.91,0.0,92.91,5399.9,14
1,Cold Lake-Bonnyville-St. Paul,Fort McMurray-Lac La Biche,93.84,73.01,20.83,198552.6,8583
1,Drumheller-Stettler,Mountain View-Kneehill,99.28,66.17,33.1,57323.6,5388
1,Fort Saskatchewan-Vegreville,Sherwood Park,99.15,87.22,11.93,4274.3,255
1,West Yellowhead,Grande Prairie-Wapiti,73.15,3.35,69.8,112577.7,4662
1,Lethbridge-West,Taber-Cardston,91.45,81.3,10.16,2537.5,462
1,Livingstone-Macleod,Okotoks-Diamond Valley,92.91,51.41,41.5,38984.2,1890
1,Medicine Hat-Brooks,Taber-Cardston,96.38,81.3,15.08,15058.7,2900
1,Medicine Hat-Brooks,Medicine Hat-Cypress,96.38,85.62,10.76,61401.8,3222
1,Medicine Hat-Brooks,Mountain View-Kneehill,96.38,66.17,30.21,60398.3,2810
1,Sylvan Lake-Innisfail,Mountain View-Kneehill,86.83,66.17,20.65,109061.5,5106
2,Calgary-East,Calgary-Acadia,65.31,49.71,15.6,1739.2,78
2,Calgary-Confluence,Calgary-Acadia,91.75,49.71,42.03,248.0,28
2,Calgary-Nose Creek,Calgary-Beddington,95.64,0.0,95.64,57.8,15
2,Calgary-Nose Creek,Calgary-Bhullar-McCall,95.64,57.71,37.93,629.2,58
2,Calgary-Bhullar-McCall,Airdrie-East,57.71,40.8,16.91,5557.4,274
2,Calgary-Bow,Cochrane-Springbank,88.99,64.65,24.34,2043.4,157
2,Calgary-Confluence,Calgary-Elbow,91.75,80.1,11.64,848.3,52
2,Calgary-Cross,Chestermere-Strathmore,95.98,68.26,27.71,5256.1,273
2,Calgary-Varsity,Calgary-Edgemont,97.43,79.02,18.4,1531.1,72
2,Calgary-Edgemont,Cochrane-Springbank,79.02,64.65,14.38,2931.2,241
2,Calgary-Elbow,Calgary-West-Elbow Valley,80.1,18.82,61.29,1482.8,106
2,Mountain View-Kneehill,Calgary-Falconridge-Conrich,66.17,0.0,66.17,369.1,152
2,Calgary-Shaw,Calgary-Lougheed,77.5,17.82,59.68,3855.9,178
2,Calgary-Shaw,High River-Vulcan-Siksika,77.5,51.93,25.56,1125.2,59
2,Chestermere-Strathmore,Calgary-South East,68.26,54.26,14.01,14542.1,656
2,Calgary-Symons Valley,Cochrane-Springbank,77.34,64.65,12.69,9205.5,385
2,Leduc-Devon,Edmonton-Beaumont,54.95,16.82,38.13,11235.0,622
2,Edmonton-Ellerslie,Edmonton-Beaumont,61.19,16.82,44.37,4200.8,251
2,Edmonton-Strathcona,Edmonton-City Centre,97.55,87.34,10.21,4706.3,351
2,Edmonton-West Henday,Edmonton-City Centre,100.0,87.34,12.66,87.1,8
2,Edmonton-Mill Woods,Edmonton-Ellerslie,93.52,61.19,32.33,2341.3,187
2,Edmonton-Meadows,Edmonton-Ellerslie,100.0,61.19,38.81,2746.7,198
2,Edmonton-Whitemud,Edmonton-Enoch,92.63,52.53,40.1,3693.8,247
2,Edmonton-McClung,Edmonton-Enoch,97.48,52.53,44.95,1902.7,158
2,Chestermere-Strathmore,Airdrie-East,68.26,40.8,27.46,29283.6,1252
2,Mountain View-Kneehill,Airdrie-East,66.17,40.8,25.37,62615.8,2800
2,Cochrane-Springbank,Airdrie-East,64.65,40.8,23.85,20998.3,1158
2,Mountain View-Kneehill,Airdrie-West,66.17,25.75,40.43,11789.9,641
2,Cochrane-Springbank,Airdrie-West,64.65,25.75,38.9,23664.4,960
2,Fort Saskatchewan-Vegreville,Barrhead-Westlock-Athabasca,99.15,79.69,19.46,22673.1,3263
2,Cold Lake-Bonnyville-St. Paul,Barrhead-Westlock-Athabasca,93.84,79.69,14.15,105698.6,5022
2,Livingstone-Macleod,Canmore-Banff,92.91,0.0,92.91,1109.9,11
2,Chestermere-Strathmore,Okotoks-Diamond Valley,68.26,51.41,16.86,15150.8,1093
2,Cold Lake-Bonnyville-St. Paul,Fort McMurray-Lac La Biche,93.84,73.01,20.83,209571.3,8635
2,Drumheller-Stettler,Mountain View-Kneehill,99.28,66.17,33.1,50821.3,5081
2,Fort Saskatchewan-Vegreville,Sherwood Park,99.15,87.22,11.93,3865.2,256
2,West Yellowhead,Grande Prairie-Wapiti,73.15,3.35,69.8,111519.7,4666
2,Lethbridge-West,Taber-Cardston,91.45,81.3,10.16,3038.9,449
2,Livingstone-Macleod,Okotoks-Diamond Valley,92.91,51.41,41.5,38647.8,1860
2,Medicine Hat-Brooks,Taber-Cardston,96.38,81.3,15.08,12290.9,2361
2,Medicine Hat-Brooks,Medicine Hat-Cypress,96.38,85.62,10.76,60019.2,3181
2,Medicine Hat-Brooks,Mountain View-Kneehill,96.38,66.17,30.21,57047.6,2778
2,Sylvan Lake-Innisfail,Mountain View-Kneehill,86.83,66.17,20.65,109517.9,5106
3,Calgary-East,Calgary-Acadia,65.31,49.71,15.6,1739.2,78
3,Calgary-Confluence,Calgary-Acadia,91.75,49.71,42.03,248.0,28
3,Calgary-Nose Creek,Calgary-Beddington,95.64,0.0,95.64,70.0,22
3,Chestermere-Strathmore,Calgary-Bhullar-McCall,68.26,57.71,10.55,307.7,22
3,Calgary-Nose Creek,Calgary-Bhullar-McCall,95.64,57.71,37.93,695.1,59
3,Calgary-Bhullar-McCall,Airdrie-East,57.71,40.8,16.91,5557.4,274
3,Calgary-Bow,Cochrane-Springbank,88.99,64.65,24.34,2182.0,159
3,Calgary-Confluence,Calgary-Elbow,91.75,80.1,11.64,857.7,56
3,Calgary-Cross,Chestermere-Strathmore,95.98,68.26,27.71,5254.3,273
3,Calgary-Varsity,Calgary-Edgemont,97.43,79.02,18.4,1505.1,71
3,Calgary-Edgemont,Cochrane-Springbank,79.02,64.65,14.38,2931.2,241
3,Calgary-Elbow,Calgary-West-Elbow Valley,80.1,18.82,61.29,1888.5,108
3,Mountain View-Kneehill,Calgary-Falconridge-Conrich,66.17,0.0,66.17,399.8,153
3,Calgary-Shaw,Calgary-Lougheed,77.5,17.82,59.68,3955.9,178
3,High River-Vulcan-Siksika,Calgary-Lougheed,51.93,17.82,34.12,1569.1,83
3,Calgary-Shaw,High River-Vulcan-Siksika,77.5,51.93,25.56,1125.2,59
3,Chestermere-Strathmore,Calgary-South East,68.26,54.26,14.01,14323.8,617
3,Calgary-Symons Valley,Cochrane-Springbank,77.34,64.65,12.69,9206.8,385
3,Leduc-Devon,Edmonton-Beaumont,54.95,16.82,38.13,11486.8,622
3,Edmonton-Ellerslie,Edmonton-Beaumont,61.19,16.82,44.37,4325.8,251
3,Edmonton-Strathcona,Edmonton-City Centre,97.55,87.34,10.21,4706.3,351
3,Edmonton-West Henday,Edmonton-City Centre,100.0,87.34,12.66,87.1,8
3,Edmonton-Mill Woods,Edmonton-Ellerslie,93.52,61.19,32.33,2367.4,188
3,Edmonton-Meadows,Edmonton-Ellerslie,100.0,61.19,38.81,2746.7,198
3,Edmonton-Whitemud,Edmonton-Enoch,92.63,52.53,40.1,3693.8,247
3,Edmonton-McClung,Edmonton-Enoch,97.48,52.53,44.95,1902.7,158
3,Chestermere-Strathmore,Airdrie-East,68.26,40.8,27.46,29511.5,1261
3,Mountain View-Kneehill,Airdrie-East,66.17,40.8,25.37,63240.7,2816
3,Cochrane-Springbank,Airdrie-East,64.65,40.8,23.85,21398.2,1158
3,Mountain View-Kneehill,Airdrie-West,66.17,25.75,40.43,11789.9,641
3,Cochrane-Springbank,Airdrie-West,64.65,25.75,38.9,23664.4,960
3,Fort Saskatchewan-Vegreville,Barrhead-Westlock-Athabasca,99.15,79.69,19.46,22723.1,3271
3,Cold Lake-Bonnyville-St. Paul,Barrhead-Westlock-Athabasca,93.84,79.69,14.15,106411.3,5027
3,Livingstone-Macleod,Canmore-Banff,92.91,0.0,92.91,1109.9,11
3,Chestermere-Strathmore,Okotoks-Diamond Valley,68.26,51.41,16.86,10902.6,1093
3,Cold Lake-Bonnyville-St. Paul,Fort McMurray-Lac La Biche,93.84,73.01,20.83,210696.5,8660
3,Drumheller-Stettler,Mountain View-Kneehill,99.28,66.17,33.1,50968.3,5077
3,Fort Saskatchewan-Vegreville,Sherwood Park,99.15,87.22,11.93,4065.1,264
3,West Yellowhead,Grande Prairie-Wapiti,73.15,3.35,69.8,111521.1,4666
3,Lethbridge-West,Taber-Cardston,91.45,81.3,10.16,3079.0,449
3,Livingstone-Macleod,Okotoks-Diamond Valley,92.91,51.41,41.5,38922.8,1860
3,Medicine Hat-Brooks,Taber-Cardston,96.38,81.3,15.08,12526.9,2359
3,Medicine Hat-Brooks,Medicine Hat-Cypress,96.38,85.62,10.76,61134.3,3216
3,Medicine Hat-Brooks,Mountain View-Kneehill,96.38,66.17,30.21,57047.6,2778
3,Sylvan Lake-Innisfail,Mountain View-Kneehill,86.83,66.17,20.65,109517.9,5106
4,Calgary-East,Calgary-Acadia,65.31,49.71,15.6,1739.2,78
4,Calgary-Confluence,Calgary-Acadia,91.75,49.71,42.03,248.0,28
4,Calgary-Nose Creek,Calgary-Beddington,95.64,0.0,95.64,83.6,22
4,Chestermere-Strathmore,Calgary-Bhullar-McCall,68.26,57.71,10.55,307.7,22
4,Calgary-Nose Creek,Calgary-Bhullar-McCall,95.64,57.71,37.93,708.9,60
4,Calgary-Bhullar-McCall,Airdrie-East,57.71,40.8,16.91,5557.4,274
4,Calgary-Bow,Cochrane-Springbank,88.99,64.65,24.34,2211.5,159
4,Calgary-Confluence,Calgary-Elbow,91.75,80.1,11.64,859.3,56
4,Calgary-Cross,Chestermere-Strathmore,95.98,68.26,27.71,5254.3,273
4,Calgary-Varsity,Calgary-Edgemont,97.43,79.02,18.4,1504.4,71
4,Calgary-Edgemont,Cochrane-Springbank,79.02,64.65,14.38,2931.2,241
4,Mountain View-Kneehill,Calgary-Falconridge-Conrich,66.17,0.0,66.17,399.8,153
4,Calgary-Shaw,Calgary-Lougheed,77.5,17.82,59.68,3955.9,178
4,High River-Vulcan-Siksika,Calgary-Lougheed,51.93,17.82,34.12,1721.4,92
4,Calgary-Shaw,High River-Vulcan-Siksika,77.5,51.93,25.56,1125.2,59
4,Chestermere-Strathmore,Calgary-South East,68.26,54.26,14.01,13387.3,616
4,Calgary-Symons Valley,Cochrane-Springbank,77.34,64.65,12.69,9206.8,385
4,Leduc-Devon,Edmonton-Beaumont,54.95,16.82,38.13,11486.8,622
4,Edmonton-Ellerslie,Edmonton-Beaumont,61.19,16.82,44.37,4325.8,251
4,Edmonton-Strathcona,Edmonton-City Centre,97.55,87.34,10.21,4706.3,351
4,Edmonton-West Henday,Edmonton-City Centre,100.0,87.34,12.66,87.1,8
4,Edmonton-Mill Woods,Edmonton-Ellerslie,93.52,61.19,32.33,2367.4,188
4,Edmonton-Meadows,Edmonton-Ellerslie,100.0,61.19,38.81,2746.7,196
4,Edmonton-Whitemud,Edmonton-Enoch,92.63,52.53,40.1,3693.8,247
4,Edmonton-McClung,Edmonton-Enoch,97.48,52.53,44.95,1902.7,158
4,Chestermere-Strathmore,Airdrie-East,68.26,40.8,27.46,29786.5,1261
4,Mountain View-Kneehill,Airdrie-East,66.17,40.8,25.37,63640.6,2824
4,Cochrane-Springbank,Airdrie-East,64.65,40.8,23.85,21398.2,1158
4,Mountain View-Kneehill,Airdrie-West,66.17,25.75,40.43,11789.9,641
4,Cochrane-Springbank,Airdrie-West,64.65,25.75,38.9,23664.4,960
4,Fort Saskatchewan-Vegreville,Barrhead-Westlock-Athabasca,99.15,79.69,19.46,22724.3,3270
4,Cold Lake-Bonnyville-St. Paul,Barrhead-Westlock-Athabasca,93.84,79.69,14.15,106686.3,5027
4,Livingstone-Macleod,Canmore-Banff,92.91,0.0,92.91,1109.9,11
4,Chestermere-Strathmore,Okotoks-Diamond Valley,68.26,51.41,16.86,10902.6,1093
4,Cold Lake-Bonnyville-St. Paul,Fort McMurray-Lac La Biche,93.84,73.01,20.83,211140.7,8676
4,Drumheller-Stettler,Mountain View-Kneehill,99.28,66.17,33.1,50968.3,5081
4,Fort Saskatchewan-Vegreville,Sherwood Park,99.15,87.22,11.93,4240.0,272
4,West Yellowhead,Grande Prairie-Wapiti,73.15,3.35,69.8,111521.1,4666
4,Lethbridge-West,Taber-Cardston,91.45,81.3,10.16,3079.0,449
4,Livingstone-Macleod,Okotoks-Diamond Valley,92.91,51.41,41.5,38922.8,1860
4,Medicine Hat-Brooks,Taber-Cardston,96.38,81.3,15.08,12526.9,2359
4,Medicine Hat-Brooks,Medicine Hat-Cypress,96.38,85.62,10.76,61659.3,3234
4,Medicine Hat-Brooks,Mountain View-Kneehill,96.38,66.17,30.21,57047.6,2778
4,Sylvan Lake-Innisfail,Mountain View-Kneehill,86.83,66.17,20.65,109517.9,5106
5,Calgary-East,Calgary-Acadia,65.31,49.71,15.6,1739.2,78
5,Calgary-Confluence,Calgary-Acadia,91.75,49.71,42.03,248.0,28
5,Calgary-Nose Creek,Calgary-Beddington,95.64,0.0,95.64,83.6,22
5,Chestermere-Strathmore,Calgary-Bhullar-McCall,68.26,57.71,10.55,307.7,22
5,Calgary-Nose Creek,Calgary-Bhullar-McCall,95.64,57.71,37.93,708.9,60
5,Calgary-Bhullar-McCall,Airdrie-East,57.71,40.8,16.91,5557.4,274
5,Calgary-Bow,Cochrane-Springbank,88.99,64.65,24.34,2211.5,159
5,Calgary-Confluence,Calgary-Elbow,91.75,80.1,11.64,859.3,57
5,Calgary-Cross,Chestermere-Strathmore,95.98,68.26,27.71,5254.3,273
5,Calgary-Varsity,Calgary-Edgemont,97.43,79.02,18.4,1504.4,71
5,Calgary-Edgemont,Cochrane-Springbank,79.02,64.65,14.38,2931.2,241
5,Calgary-Elbow,Calgary-West-Elbow Valley,80.1,18.82,61.29,1888.5,108
5,Mountain View-Kneehill,Calgary-Falconridge-Conrich,66.17,0.0,66.17,399.8,153
5,Calgary-Shaw,Calgary-Lougheed,77.5,17.82,59.68,3955.9,178
5,High River-Vulcan-Siksika,Calgary-Lougheed,51.93,17.82,34.12,1746.1,92
5,Calgary-Shaw,High River-Vulcan-Siksika,77.5,51.93,25.56,1125.2,59
5,Chestermere-Strathmore,Calgary-South East,68.26,54.26,14.01,13379.9,616
5,Calgary-Symons Valley,Cochrane-Springbank,77.34,64.65,12.69,9206.8,385
5,Leduc-Devon,Edmonton-Beaumont,54.95,16.82,38.13,11486.8,622
5,Edmonton-Ellerslie,Edmonton-Beaumont,61.19,16.82,44.37,4325.8,251
5,Edmonton-Strathcona,Edmonton-City Centre,97.55,87.34,10.21,4706.3,351
5,Edmonton-West Henday,Edmonton-City Centre,100.0,87.34,12.66,87.1,8
5,Edmonton-Mill Woods,Edmonton-Ellerslie,93.52,61.19,32.33,2365.2,187
5,Edmonton-Meadows,Edmonton-Ellerslie,100.0,61.19,38.81,2746.7,196
5,Edmonton-Whitemud,Edmonton-Enoch,92.63,52.53,40.1,3693.8,247
5,Edmonton-McClung,Edmonton-Enoch,97.48,52.53,44.95,1902.7,158
5,Chestermere-Strathmore,Airdrie-East,68.26,40.8,27.46,29786.5,1261
5,Mountain View-Kneehill,Airdrie-East,66.17,40.8,25.37,63862.2,2824
5,Cochrane-Springbank,Airdrie-East,64.65,40.8,23.85,21398.2,1158
5,Mountain View-Kneehill,Airdrie-West,66.17,25.75,40.43,11789.9,641
5,Cochrane-Springbank,Airdrie-West,64.65,25.75,38.9,23664.4,960
5,Fort Saskatchewan-Vegreville,Barrhead-Westlock-Athabasca,99.15,79.69,19.46,22729.5,3268
5,Cold Lake-Bonnyville-St. Paul,Barrhead-Westlock-Athabasca,93.84,79.69,14.15,106686.3,5027
5,Livingstone-Macleod,Canmore-Banff,92.91,0.0,92.91,1109.9,11
5,Chestermere-Strathmore,Okotoks-Diamond Valley,68.26,51.41,16.86,10902.6,1093
5,Cold Lake-Bonnyville-St. Paul,Fort McMurray-Lac La Biche,93.84,73.01,20.83,211340.7,8692
5,Drumheller-Stettler,Mountain View-Kneehill,99.28,66.17,33.1,50968.3,5081
5,Fort Saskatchewan-Vegreville,Sherwood Park,99.15,87.22,11.93,4240.0,272
5,West Yellowhead,Grande Prairie-Wapiti,73.15,3.35,69.8,111521.1,4666
5,Lethbridge-West,Taber-Cardston,91.45,81.3,10.16,3079.0,449
5,Livingstone-Macleod,Okotoks-Diamond Valley,92.91,51.41,41.5,38922.8,1860
5,Medicine Hat-Brooks,Taber-Cardston,96.38,81.3,15.08,12526.9,2359
5,Medicine Hat-Brooks,Medicine Hat-Cypress,96.38,85.62,10.76,61834.3,3241
5,Medicine Hat-Brooks,Mountain View-Kneehill,96.38,66.17,30.21,57047.6,2778
5,Sylvan Lake-Innisfail,Mountain View-Kneehill,86.83,66.17,20.65,109517.9,5106
1,Calgary-Acadia,Calgary-South,70.72,54.99,15.72,376.1,31
1,Calgary-Airdrie,Airdrie East,65.19,39.79,25.4,3647.3,207
1,Calgary-Varsity,Calgary-Beddington,97.24,74.76,22.48,2377.4,126
1,Calgary-Beddington,Calgary-McCall-Bhullar,74.76,59.21,15.55,431.6,86
1,Calgary-Cross,Calgary-East,100.0,49.13,50.87,4657.7,258
1,Highwood,Calgary-De Winton,56.96,42.58,14.38,48787.6,2358
1,Calgary-De Winton,Canmore-Kananaskis,42.58,0.0,42.58,14522.9,21
