map,name,geom_type,num_parts,largest_part_area_pct,contiguous
2019_enacted,Lethbridge-West,Polygon,1,100.0,True
2019_enacted,Lethbridge-East,Polygon,1,100.0,True
2019_enacted,Cardston-Siksika,Polygon,1,100.0,True
2019_enacted,Livingstone-Macleod,Polygon,1,100.0,True
2019_enacted,Taber-Warner,Polygon,1,100.0,True
2019_enacted,Highwood,Polygon,1,100.0,True
2019_enacted,Brooks-Medicine Hat,Polygon,1,100.0,True
2019_enacted,Chestermere-Strathmore,Polygon,1,100.0,True
2019_enacted,Airdrie-East,Polygon,1,100.0,True
2019_enacted,Airdrie-Cochrane,Polygon,1,100.0,True
2019_enacted,Olds-Didsbury-Three Hills,Polygon,1,100.0,True
2019_enacted,Red Deer-South,Polygon,1,100.0,True
2019_enacted,Banff-Kananaskis,Polygon,1,100.0,True
2019_enacted,Drumheller-Stettler,Polygon,1,100.0,True
2019_enacted,Red Deer-North,Polygon,1,100.0,True
2019_enacted,Innisfail-Sylvan Lake,Polygon,1,100.0,True
2019_enacted,Lacombe-Ponoka,Polygon,1,100.0,True
2019_enacted,Maskwacis-Wetaskiwin,Polygon,1,100.0,True
2019_enacted,Rimbey-Rocky Mountain House-Sundre,Polygon,1,100.0,True
2019_enacted,Leduc-Beaumont,Polygon,1,100.0,True
2019_enacted,Camrose,Polygon,1,100.0,True
2019_enacted,Sherwood Park,Polygon,1,100.0,True
2019_enacted,Strathcona-Sherwood Park,Polygon,1,100.0,True
2019_enacted,Drayton Valley-Devon,Polygon,1,100.0,True
2019_enacted,St. Albert,Polygon,1,100.0,True
2019_enacted,Vermilion-Lloydminster-Wainwright,Polygon,1,100.0,True
2019_enacted,Spruce Grove-Stony Plain,Polygon,1,100.0,True
2019_enacted,Fort Saskatchewan-Vegreville,Polygon,1,100.0,True
2019_enacted,Lac Ste. Anne-Parkland,Polygon,1,100.0,True
2019_enacted,West Yellowhead,Polygon,1,100.0,True
2019_enacted,Morinville-St. Albert,Polygon,1,100.0,True
2019_enacted,Athabasca-Barrhead-Westlock,Polygon,1,100.0,True
2019_enacted,Grande Prairie,Polygon,1,100.0,True
2019_enacted,Bonnyville-Cold Lake-St. Paul,Polygon,1,100.0,True
2019_enacted,Lesser Slave Lake,Polygon,1,100.0,True
2019_enacted,Central Peace-Notley,Polygon,1,100.0,True
2019_enacted,Fort McMurray-Wood Buffalo,Polygon,1,100.0,True
2019_enacted,Fort McMurray-Lac La Biche,Polygon,1,100.0,True
2019_enacted,Peace River,Polygon,1,100.0,True
2019_enacted,Edmonton-South,Polygon,1,100.0,True
2019_enacted,Edmonton-Ellerslie,Polygon,1,100.0,True
2019_enacted,Edmonton-Rutherford,Polygon,1,100.0,True
2019_enacted,Edmonton-Mill Woods,Polygon,1,100.0,True
2019_enacted,Edmonton-Meadows,Polygon,1,100.0,True
2019_enacted,Edmonton-Whitemud,Polygon,1,100.0,True
2019_enacted,Edmonton-South West,Polygon,1,100.0,True
2019_enacted,Edmonton-McClung,Polygon,1,100.0,True
2019_enacted,Edmonton-Strathcona,Polygon,1,100.0,True
2019_enacted,Edmonton-Riverview,Polygon,1,100.0,True
2019_enacted,Edmonton-Gold Bar,Polygon,1,100.0,True
2019_enacted,Edmonton-City Centre,Polygon,1,100.0,True
2019_enacted,Edmonton-Glenora,Polygon,1,100.0,True
2019_enacted,Edmonton-Highlands-Norwood,Polygon,1,100.0,True
2019_enacted,Edmonton-West Henday,Polygon,1,100.0,True
2019_enacted,Edmonton-Beverly-Clareview,Polygon,1,100.0,True
2019_enacted,Edmonton-Decore,Polygon,1,100.0,True
2019_enacted,Edmonton-North West,Polygon,1,100.0,True
2019_enacted,Edmonton-Castle Downs,Polygon,1,100.0,True
2019_enacted,Edmonton-Manning,Polygon,1,100.0,True
2019_enacted,Calgary-South East,Polygon,1,100.0,True
2019_enacted,Calgary-Shaw,Polygon,1,100.0,True
2019_enacted,Calgary-Hays,Polygon,1,100.0,True
2019_enacted,Calgary-Lougheed,Polygon,1,100.0,True
2019_enacted,Calgary-Fish Creek,Polygon,1,100.0,True
2019_enacted,Calgary-Glenmore,Polygon,1,100.0,True
2019_enacted,Calgary-Elbow,Polygon,1,100.0,True
2019_enacted,Calgary-Acadia,Polygon,1,100.0,True
2019_enacted,Calgary-Peigan,Polygon,1,100.0,True
2019_enacted,Calgary-Buffalo,Polygon,1,100.0,True
2019_enacted,Calgary-West,Polygon,1,100.0,True
2019_enacted,Calgary-East,Polygon,1,100.0,True
2019_enacted,Calgary-Currie,Polygon,1,100.0,True
2019_enacted,Calgary-Mountain View,Polygon,1,100.0,True
2019_enacted,Calgary-Cross,Polygon,1,100.0,True
2019_enacted,Calgary-Klein,Polygon,1,100.0,True
2019_enacted,Calgary-Bow,Polygon,1,100.0,True
2019_enacted,Calgary-Varsity,Polygon,1,100.0,True
