DAUID,DGUID,GEO_NAME,population_2021
48010135,2021S051248010135,48010135,534
48010136,2021S051248010136,48010136,1463
48010217,2021S051248010217,48010217,409
48010218,2021S051248010218,48010218,911
48010220,2021S051248010220,48010220,947
48010230,2021S051248010230,48010230,1146
48010231,2021S051248010231,48010231,705
48010232,2021S051248010232,48010232,503
48010233,2021S051248010233,48010233,321
48010260,2021S051248010260,48010260,339
48010261,2021S051248010261,48010261,246
48010137,2021S051248010137,48010137,1018
48010138,2021S051248010138,48010138,417
48010139,2021S051248010139,48010139,486
48010140,2021S051248010140,48010140,312
48010141,2021S051248010141,48010141,696
48010142,2021S051248010142,48010142,597
48010143,2021S051248010143,48010143,468
48010144,2021S051248010144,48010144,472
48010145,2021S051248010145,48010145,629
48010146,2021S051248010146,48010146,550
48010147,2021S051248010147,48010147,600
48010148,2021S051248010148,48010148,512
48010149,2021S051248010149,48010149,519
48010150,2021S051248010150,48010150,559
48010151,2021S051248010151,48010151,469
48010152,2021S051248010152,48010152,605
48010153,2021S051248010153,48010153,562
48010154,2021S051248010154,48010154,510
48010155,2021S051248010155,48010155,747
48010156,2021S051248010156,48010156,677
48010157,2021S051248010157,48010157,843
48010158,2021S051248010158,48010158,461
48010159,2021S051248010159,48010159,451
48010160,2021S051248010160,48010160,473
48010161,2021S051248010161,48010161,574
48010163,2021S051248010163,48010163,608
48010165,2021S051248010165,48010165,482
48010167,2021S051248010167,48010167,795
48010168,2021S051248010168,48010168,446
48010169,2021S051248010169,48010169,523
48010170,2021S051248010170,48010170,431
48010171,2021S051248010171,48010171,718
48010172,2021S051248010172,48010172,450
48010173,2021S051248010173,48010173,474
48010174,2021S051248010174,48010174,489
48010175,2021S051248010175,48010175,571
48010176,2021S051248010176,48010176,399
48010177,2021S051248010177,48010177,386
48010178,2021S051248010178,48010178,507
48010179,2021S051248010179,48010179,482
48010180,2021S051248010180,48010180,535
48010181,2021S051248010181,48010181,493
48010182,2021S051248010182,48010182,407
48010183,2021S051248010183,48010183,359
48010184,2021S051248010184,48010184,665
48010185,2021S051248010185,48010185,536
48010186,2021S051248010186,48010186,544
48010187,2021S051248010187,48010187,456
48010188,2021S051248010188,48010188,495
48010189,2021S051248010189,48010189,606
48010190,2021S051248010190,48010190,873
48010191,2021S051248010191,48010191,592
48010192,2021S051248010192,48010192,470
48010193,2021S051248010193,48010193,365
48010194,2021S051248010194,48010194,550
48010195,2021S051248010195,48010195,573
48010196,2021S051248010196,48010196,511
48010197,2021S051248010197,48010197,503
48010198,2021S051248010198,48010198,663
48010199,2021S051248010199,48010199,646
48010200,2021S051248010200,48010200,440
48010201,2021S051248010201,48010201,605
48010202,2021S051248010202,48010202,571
48010203,2021S051248010203,48010203,537
48010204,2021S051248010204,48010204,411
48010205,2021S051248010205,48010205,565
48010206,2021S051248010206,48010206,565
48010207,2021S051248010207,48010207,906
48010208,2021S051248010208,48010208,680
48010234,2021S051248010234,48010234,914
48010235,2021S051248010235,48010235,1385
48010236,2021S051248010236,48010236,662
48010237,2021S051248010237,48010237,550
48010238,2021S051248010238,48010238,393
48010239,2021S051248010239,48010239,394
48010240,2021S051248010240,48010240,503
48010241,2021S051248010241,48010241,431
48010242,2021S051248010242,48010242,435
48010243,2021S051248010243,48010243,398
48010244,2021S051248010244,48010244,457
48010245,2021S051248010245,48010245,649
48010246,2021S051248010246,48010246,709
48010247,2021S051248010247,48010247,580
48010248,2021S051248010248,48010248,709
48010249,2021S051248010249,48010249,600
48010251,2021S051248010251,48010251,622
48010252,2021S051248010252,48010252,623
48010253,2021S051248010253,48010253,1497
48010254,2021S051248010254,48010254,535
48010255,2021S051248010255,48010255,579
48010256,2021S051248010256,48010256,604
48010257,2021S051248010257,48010257,898
48010258,2021S051248010258,48010258,2035
48010259,2021S051248010259,48010259,1116
48010264,2021S051248010264,48010264,698
48010265,2021S051248010265,48010265,1047
48010266,2021S051248010266,48010266,1254
48010267,2021S051248010267,48010267,910
48010268,2021S051248010268,48010268,1301
48010269,2021S051248010269,48010269,1693
48010219,2021S051248010219,48010219,618
48010221,2021S051248010221,48010221,452
48010222,2021S051248010222,48010222,444
48010223,2021S051248010223,48010223,887
48010227,2021S051248010227,48010227,408
48010229,2021S051248010229,48010229,662
48010228,2021S051248010228,48010228,630
48010224,2021S051248010224,48010224,764
48010225,2021S051248010225,48010225,587
48010226,2021S051248010226,48010226,685
48010209,2021S051248010209,48010209,971
48010210,2021S051248010210,48010210,473
48010211,2021S051248010211,48010211,518
48010212,2021S051248010212,48010212,450
48010213,2021S051248010213,48010213,604
48010215,2021S051248010215,48010215,584
48010216,2021S051248010216,48010216,709
48010262,2021S051248010262,48010262,691
48010263,2021S051248010263,48010263,581
48020339,2021S051248020339,48020339,356
48020350,2021S051248020350,48020350,555
48020351,2021S051248020351,48020351,116
48020352,2021S051248020352,48020352,764
48020396,2021S051248020396,48020396,527
48020398,2021S051248020398,48020398,287
48020399,2021S051248020399,48020399,399
48020410,2021S051248020410,48020410,977
48020438,2021S051248020438,48020438,309
48020358,2021S051248020358,48020358,224
48020356,2021S051248020356,48020356,431
48020437,2021S051248020437,48020437,393
48020353,2021S051248020353,48020353,364
48020344,2021S051248020344,48020344,506
48020345,2021S051248020345,48020345,678
48020346,2021S051248020346,48020346,612
48020347,2021S051248020347,48020347,641
48020348,2021S051248020348,48020348,943
48020412,2021S051248020412,48020412,819
48020340,2021S051248020340,48020340,592
48020341,2021S051248020341,48020341,572
48020285,2021S051248020285,48020285,504
48020286,2021S051248020286,48020286,495
48020291,2021S051248020291,48020291,611
48020293,2021S051248020293,48020293,522
48020295,2021S051248020295,48020295,335
48020297,2021S051248020297,48020297,603
48020303,2021S051248020303,48020303,682
48020305,2021S051248020305,48020305,810
48020319,2021S051248020319,48020319,647
48020343,2021S051248020343,48020343,460
48020388,2021S051248020388,48020388,852
48020391,2021S051248020391,48020391,650
48020393,2021S051248020393,48020393,524
48020404,2021S051248020404,48020404,819
48020407,2021S051248020407,48020407,585
48020415,2021S051248020415,48020415,493
48020424,2021S051248020424,48020424,528
48020060,2021S051248020060,48020060,520
48020061,2021S051248020061,48020061,561
48020062,2021S051248020062,48020062,223
48020063,2021S051248020063,48020063,502
48020064,2021S051248020064,48020064,531
48020065,2021S051248020065,48020065,856
48020066,2021S051248020066,48020066,494
48020067,2021S051248020067,48020067,405
48020068,2021S051248020068,48020068,439
48020069,2021S051248020069,48020069,407
48020070,2021S051248020070,48020070,500
48020071,2021S051248020071,48020071,518
48020072,2021S051248020072,48020072,450
48020073,2021S051248020073,48020073,489
48020074,2021S051248020074,48020074,719
48020075,2021S051248020075,48020075,276
48020076,2021S051248020076,48020076,391
48020077,2021S051248020077,48020077,609
48020078,2021S051248020078,48020078,332
48020080,2021S051248020080,48020080,595
48020081,2021S051248020081,48020081,3690
48020082,2021S051248020082,48020082,1200
48020083,2021S051248020083,48020083,391
48020084,2021S051248020084,48020084,399
48020085,2021S051248020085,48020085,462
48020086,2021S051248020086,48020086,497
48020087,2021S051248020087,48020087,467
48020088,2021S051248020088,48020088,732
48020089,2021S051248020089,48020089,611
48020090,2021S051248020090,48020090,514
48020091,2021S051248020091,48020091,470
48020092,2021S051248020092,48020092,507
48020093,2021S051248020093,48020093,547
48020094,2021S051248020094,48020094,513
48020095,2021S051248020095,48020095,440
48020096,2021S051248020096,48020096,423
48020097,2021S051248020097,48020097,432
48020098,2021S051248020098,48020098,467
48020099,2021S051248020099,48020099,430
48020100,2021S051248020100,48020100,596
48020101,2021S051248020101,48020101,501
48020102,2021S051248020102,48020102,438
48020103,2021S051248020103,48020103,442
48020104,2021S051248020104,48020104,513
48020105,2021S051248020105,48020105,481
48020106,2021S051248020106,48020106,404
48020107,2021S051248020107,48020107,530
48020108,2021S051248020108,48020108,494
48020109,2021S051248020109,48020109,385
48020110,2021S051248020110,48020110,783
48020111,2021S051248020111,48020111,445
48020112,2021S051248020112,48020112,451
48020113,2021S051248020113,48020113,504
48020114,2021S051248020114,48020114,544
48020115,2021S051248020115,48020115,503
48020116,2021S051248020116,48020116,528
48020117,2021S051248020117,48020117,581
48020118,2021S051248020118,48020118,570
48020119,2021S051248020119,48020119,469
48020120,2021S051248020120,48020120,544
48020121,2021S051248020121,48020121,554
48020122,2021S051248020122,48020122,472
48020123,2021S051248020123,48020123,459
48020124,2021S051248020124,48020124,489
48020125,2021S051248020125,48020125,609
48020126,2021S051248020126,48020126,474
48020127,2021S051248020127,48020127,317
48020128,2021S051248020128,48020128,412
48020129,2021S051248020129,48020129,433
48020130,2021S051248020130,48020130,452
48020131,2021S051248020131,48020131,539
48020132,2021S051248020132,48020132,657
48020133,2021S051248020133,48020133,669
48020134,2021S051248020134,48020134,537
48020135,2021S051248020135,48020135,571
48020136,2021S051248020136,48020136,497
48020137,2021S051248020137,48020137,369
48020138,2021S051248020138,48020138,614
48020139,2021S051248020139,48020139,869
48020140,2021S051248020140,48020140,402
48020141,2021S051248020141,48020141,369
48020142,2021S051248020142,48020142,1014
48020143,2021S051248020143,48020143,330
48020145,2021S051248020145,48020145,1413
48020149,2021S051248020149,48020149,457
48020150,2021S051248020150,48020150,635
48020151,2021S051248020151,48020151,474
48020152,2021S051248020152,48020152,334
48020155,2021S051248020155,48020155,568
48020156,2021S051248020156,48020156,993
48020157,2021S051248020157,48020157,813
48020159,2021S051248020159,48020159,321
48020160,2021S051248020160,48020160,550
48020161,2021S051248020161,48020161,604
48020162,2021S051248020162,48020162,534
48020163,2021S051248020163,48020163,521
48020165,2021S051248020165,48020165,821
48020166,2021S051248020166,48020166,654
48020167,2021S051248020167,48020167,420
48020169,2021S051248020169,48020169,1304
48020170,2021S051248020170,48020170,1781
48020171,2021S051248020171,48020171,237
48020172,2021S051248020172,48020172,419
48020173,2021S051248020173,48020173,219
48020203,2021S051248020203,48020203,1032
48020204,2021S051248020204,48020204,430
48020205,2021S051248020205,48020205,769
48020207,2021S051248020207,48020207,391
48020239,2021S051248020239,48020239,755
48020240,2021S051248020240,48020240,735
48020299,2021S051248020299,48020299,25
48020304,2021S051248020304,48020304,250
48020359,2021S051248020359,48020359,864
48020360,2021S051248020360,48020360,714
48020361,2021S051248020361,48020361,867
48020365,2021S051248020365,48020365,457
48020366,2021S051248020366,48020366,472
48020368,2021S051248020368,48020368,1691
48020369,2021S051248020369,48020369,514
48020370,2021S051248020370,48020370,4266
48020371,2021S051248020371,48020371,604
48020372,2021S051248020372,48020372,576
48020373,2021S051248020373,48020373,400
48020374,2021S051248020374,48020374,637
48020375,2021S051248020375,48020375,852
48020376,2021S051248020376,48020376,580
48020377,2021S051248020377,48020377,1272
48020378,2021S051248020378,48020378,375
48020379,2021S051248020379,48020379,658
48020382,2021S051248020382,48020382,530
48020383,2021S051248020383,48020383,467
48020384,2021S051248020384,48020384,529
48020385,2021S051248020385,48020385,483
48020401,2021S051248020401,48020401,2091
48020402,2021S051248020402,48020402,508
48020403,2021S051248020403,48020403,572
48020427,2021S051248020427,48020427,514
48020428,2021S051248020428,48020428,897
48020429,2021S051248020429,48020429,852
48020430,2021S051248020430,48020430,1143
48020431,2021S051248020431,48020431,1134
