va_id,parent_ed_2019,va_number,majority_hybrid_candidate,minority_hybrid_candidate
Fort Saskatchewan-Vegreville|024,Fort Saskatchewan-Vegreville,024,,Lethbridge-Fort MacLeod-Crowsnest Pass
Edmonton-Highlands-Norwood|003,Edmonton-Highlands-Norwood,003,,Edmonton-Highlands-Norwood
Airdrie-Cochrane|013,Airdrie-Cochrane,013,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Fort McMurray-Lac La Biche|002,Fort McMurray-Lac La Biche,002,,Lethbridge-Fort MacLeod-Crowsnest Pass
Vermilion-Lloydminster-Wainwright|017,Vermilion-Lloydminster-Wainwright,017,Lloydminster-Wainwright,
Morinville-St. Albert|017,Morinville-St. Albert,017,St. Albert-Sturgeon,St. Albert-Sturgeon
Edmonton-Beverly-Clareview|004,Edmonton-Beverly-Clareview,004,,Edmonton-Beverly-Clareview
Calgary-North West|015,Calgary-North West,015,,Calgary-North West-Bearspaw
Bonnyville-Cold Lake-St. Paul|047,Bonnyville-Cold Lake-St. Paul,047,Cold Lake-Bonnyville-St. Paul,
Brooks-Medicine Hat|052,Brooks-Medicine Hat,052,Medicine Hat-Brooks,
Brooks-Medicine Hat|051,Brooks-Medicine Hat,051,Medicine Hat-Brooks,
Morinville-St. Albert|019,Morinville-St. Albert,019,St. Albert-Sturgeon,St. Albert-Sturgeon
Morinville-St. Albert|018,Morinville-St. Albert,018,St. Albert-Sturgeon,St. Albert-Sturgeon
Leduc-Beaumont|021,Leduc-Beaumont,021,Leduc-Devon,Edmonton-Beaumont
Bonnyville-Cold Lake-St. Paul|029,Bonnyville-Cold Lake-St. Paul,029,Cold Lake-Bonnyville-St. Paul,
Cypress-Medicine Hat|031,Cypress-Medicine Hat,031,Medicine Hat-Cypress,
Cypress-Medicine Hat|030,Cypress-Medicine Hat,030,Medicine Hat-Cypress,
Drayton Valley-Devon|026,Drayton Valley-Devon,026,,Edmonton-Enoch-Devon
Taber-Warner|018,Taber-Warner,018,,Lethbridge-Taber-Warner
