ed_2015_2010boundaries,ed_2019_2017boundaries,change_type,population_weight,confidence,note
Airdrie,Airdrie-East,split,0.5,high,Old Airdrie split into Airdrie-East + Airdrie-Cochrane (2017 EBC p37)
Airdrie,Airdrie-Cochrane,split,0.5,high,Old Airdrie split into Airdrie-East + Airdrie-Cochrane (2017 EBC p37). Equal-weighted absent precise census split.
Athabasca-Sturgeon-Redwater,Athabasca-Barrhead-Westlock,consolidation,0.4,medium,Central northeast 4->3 consolidation. Athabasca County + Town of Athabasca absorbed into Athabasca-Barrhead (EBC p50).
Athabasca-Sturgeon-Redwater,Fort Saskatchewan-Vegreville,consolidation,0.3,medium,Central northeast 4->3 consolidation. Sturgeon/Redwater area folded into Fort Saskatchewan-Vegreville (EBC p52).
Athabasca-Sturgeon-Redwater,Lesser Slave Lake,consolidation,0.1,medium,Calling Lake reserve moved from Athabasca-Sturgeon-Redwater into Lesser Slave Lake (EBC p53).
Athabasca-Sturgeon-Redwater,Morinville-St. Albert,consolidation,0.2,medium,Central northeast 4->3; Morinville-St. Albert is new blended constituency pulling from Athabasca-Sturgeon-Redwater and Barrhead-Morinville-Westlock.
Banff-Cochrane,Banff-Kananaskis,rename+boundary,1.0,high,Cochrane moved to new Airdrie-Cochrane; remainder renamed Banff-Kananaskis. Livingstone-Macleod section from Chestermere-Rocky View also added (EBC p34-35).
Barrhead-Morinville-Westlock,Athabasca-Barrhead-Westlock,consolidation,0.7,medium,Morinville and adjacent area moved to new Morinville-St. Albert; remainder merged with Athabasca portion. Named Athabasca-Barrhead in 2017 final; de facto Athabasca-Barrhead-Westlock (EBC p49).
Barrhead-Morinville-Westlock,Morinville-St. Albert,consolidation,0.3,medium,Morinville and adjacent area to new Morinville-St. Albert (EBC p49).
Battle River-Wainwright,Vermilion-Lloydminster-Wainwright,consolidation,0.55,medium,Southeast 7->6 consolidation. Wainwright area + eastern Battle River merged with Vermilion-Lloydminster territory (EBC p58).
Battle River-Wainwright,Camrose,consolidation,0.45,medium,Southeast 7->6 consolidation. Western Battle River-Wainwright area merged into new Camrose constituency (EBC p58).
Bonnyville-Cold Lake,Bonnyville-Cold Lake-St. Paul,rename+boundary,0.7,medium,Renamed Cold Lake-St. Paul with added St. Paul area; western section moved to Athabasca-Barrhead (EBC p45-46).
Bonnyville-Cold Lake,Athabasca-Barrhead-Westlock,consolidation,0.2,medium,Western Bonnyville-Cold Lake absorbed into proposed Athabasca-Barrhead (EBC p46).
Bonnyville-Cold Lake,Fort McMurray-Lac La Biche,consolidation,0.1,medium,Some northeast area folded with Lac La Biche into Fort McMurray-Lac La Biche as part of 4->3 consolidation (EBC p50).
Calgary-Acadia,Calgary-Acadia,boundary,1.0,high,Minor boundary adjustment: Chinook Park moved out to Calgary-Glenmore; Bow River now forms eastern boundary (EBC p36).
Calgary-Bow,Calgary-Bow,boundary,1.0,high,Montgomery and Spruce Cliff communities added; Wildwood from Calgary-Currie absorbed (EBC p37).
Calgary-Buffalo,Calgary-Buffalo,boundary,1.0,high,Added northeast downtown plus Ramsay/Inglewood from Calgary-Fort (EBC p37).
Calgary-Cross,Calgary-Cross,boundary,1.0,high,Marlborough/Abbeydale swap with Calgary-East (EBC p38).
Calgary-Currie,Calgary-Currie,boundary,1.0,high,Rutland Park moved in from Calgary-Elbow; Wildwood moved out to Calgary-Bow (EBC p38).
Calgary-East,Calgary-East,boundary,1.0,high,Marlborough/Abbeydale swap; Dover split along 36 St SE (EBC p38). Interim name Calgary-Forest reverted to Calgary-East.
Calgary-Elbow,Calgary-Elbow,boundary,1.0,high,North Glenmore Park / Kelvin Grove swaps with Calgary-Glenmore (EBC p38).
Calgary-Fish Creek,Calgary-Fish Creek,boundary,1.0,high,Shared communities regrouped (EBC p39).
Calgary-Foothills,Calgary-Foothills,boundary,1.0,high,Minor adjustments (EBC p39).
Calgary-Fort,Calgary-Buffalo,boundary,0.6,medium,"Calgary-Fort discontinued. Ramsay/Inglewood/NE downtown to Calgary-Buffalo (EBC p37, 41)."
Calgary-Fort,Calgary-Peigan,rename,0.4,medium,Balance of Calgary-Fort continues as Calgary-Peigan after removal of Fort Calgary area (EBC p41).
Calgary-Glenmore,Calgary-Glenmore,boundary,1.0,high,Minor Kelvin Grove / Chinook Park regroupings (EBC p39).
Calgary-Greenway,Calgary-Bhullar-McCall,boundary,0.4,medium,"Calgary-Greenway discontinued. Most of area went to new Calgary-Bhullar proposal, subsequently merged with Calgary-McCall (2017 EBC final name: Calgary-McCall; 2019 ballot listed Calgary-Bhullar-McCall) (EBC p40, 50)."
Calgary-Greenway,Calgary-Falconridge,consolidation,0.35,medium,NE-Calgary portion of Calgary-Greenway contributed to new Calgary-Falconridge (EBC p39).
Calgary-Greenway,Calgary-North East,consolidation,0.25,medium,Some northern area of Calgary-Greenway became part of new Calgary-North East (EBC p40).
Calgary-Hawkwood,Calgary-Edgemont,rename+boundary,0.7,high,Much of Calgary-Hawkwood became Calgary-Edgemont (EBC p21). Dalhousie reunited here.
Calgary-Hawkwood,Calgary-North,consolidation,0.3,medium,Remaining north-Calgary area contributed to new Calgary-North with Calgary-Northern Hills and Calgary-Mackay-Nose Hill (EBC p40).
Calgary-Hays,Calgary-Hays,boundary,1.0,high,McKenzie Towne re-united with Calgary-Hays from Calgary-Peigan (EBC p39).
Calgary-Klein,Calgary-Klein,boundary,1.0,high,Minor adjustments (EBC p39).
Calgary-Lougheed,Calgary-Lougheed,boundary,1.0,high,Minor adjustments (EBC p39).
Calgary-Mackay-Nose Hill,Calgary-North,consolidation,0.5,medium,Nose Hill name discontinued (EBC p39). Areas contributed to new Calgary-North and Calgary-Beddington.
Calgary-Mackay-Nose Hill,Calgary-Beddington,consolidation,0.5,medium,Parts of Calgary-Mackay-Nose Hill and Calgary-Northern Hills used to form Calgary-Beddington (EBC p36).
Calgary-McCall,Calgary-Bhullar-McCall,boundary,0.7,medium,2017 EBC final report keeps Calgary-McCall name (EBC p40). 2019 ballot listed Calgary-Bhullar-McCall after further naming in 2018; shapefile uses Calgary-McCall.
Calgary-McCall,Calgary-Falconridge,consolidation,0.3,medium,NE portion of Calgary-McCall contributed to new Calgary-Falconridge (EBC p39).
Calgary-Mountain View,Calgary-Mountain View,boundary,1.0,high,Dalhousie/West Hillhurst/Banff Trail swaps with Calgary-Varsity and Calgary-Edgemont (EBC p40).
Calgary-North West,Calgary-North West,direct,1.0,high,Unchanged boundaries (EBC p41).
Calgary-Northern Hills,Calgary-Beddington,consolidation,0.3,medium,Parts contributed to new Calgary-Beddington (EBC p36).
Calgary-Northern Hills,Calgary-North,consolidation,0.3,medium,Northernmost areas formed new Calgary-North (EBC p40). Name Calgary-Northern Hills retired.
Calgary-Northern Hills,Calgary-North East,consolidation,0.4,medium,Community of Livingstone + NE area moved to new Calgary-North East (EBC p40-41).
Calgary-Shaw,Calgary-Shaw,boundary,1.0,high,Minor adjustments; contains high-growth area (EBC p41).
Calgary-South East,Calgary-South East,boundary,1.0,high,Shrunk; contributed new territory to other constituencies (EBC p41). Was largest in province; now at/below average.
