snapshot_date,ucp_share,ndp_share,majority_ndp_seats,minority_ndp_seats,min_minus_maj,maj_advantage
2020-02-23,49.453,37.843,40.0,32.0,-8.0,8.0
2020-03-08,49.466,37.788,40.0,32.0,-8.0,8.0
2020-03-15,45.312,38.838,45.0,38.0,-7.0,7.0
2020-04-12,45.28,38.813,45.0,38.0,-7.0,7.0
2020-05-10,47.43,36.653,41.0,33.0,-8.0,8.0
2020-06-15,44.818,35.48,43.0,36.0,-7.0,7.0
2020-08-01,43.896,35.147,44.0,36.0,-8.0,8.0
2020-09-18,42.397,37.002,46.0,39.0,-7.0,7.0
2020-12-11,42.158,39.903,47.0,42.0,-5.0,5.0
2021-01-09,39.732,44.172,52.0,52.0,0.0,-0.0
2021-03-14,40.218,42.814,51.0,49.0,-2.0,2.0
2021-04-16,39.878,42.749,51.0,50.0,-1.0,1.0
2021-05-25,36.633,41.599,53.0,52.0,-1.0,1.0
2021-06-15,34.324,40.461,53.0,52.0,-1.0,1.0
2021-08-05,37.624,41.809,52.0,52.0,0.0,-0.0
2021-10-24,32.207,45.135,61.0,57.0,-4.0,4.0
2022-01-25,35.15,40.389,53.0,52.0,-1.0,1.0
2022-03-16,36.347,41.387,53.0,52.0,-1.0,1.0
2022-03-19,37.978,40.009,51.0,48.0,-3.0,3.0
2022-06-06,42.374,38.881,47.0,40.0,-7.0,7.0
2022-07-25,42.252,42.196,47.0,43.0,-4.0,4.0
2022-09-11,43.831,40.705,47.0,41.0,-6.0,6.0
2022-10-15,43.281,42.028,47.0,42.0,-5.0,5.0
2022-11-20,42.372,43.834,51.0,44.0,-7.0,7.0
2022-12-03,44.587,45.62,50.0,43.0,-7.0,7.0
2022-12-09,46.872,45.29,47.0,42.0,-5.0,5.0
2022-12-20,45.96,46.112,48.0,43.0,-5.0,5.0
2023-01-29,45.775,44.233,47.0,42.0,-5.0,5.0
2023-02-10,46.937,43.98,47.0,41.0,-6.0,6.0
2023-02-17,45.198,45.49,48.0,43.0,-5.0,5.0
2023-03-11,47.007,43.777,47.0,41.0,-6.0,6.0
2023-03-25,45.894,45.137,47.0,43.0,-4.0,4.0
2023-03-29,46.961,44.129,47.0,41.0,-6.0,6.0
2023-04-10,46.661,44.761,47.0,42.0,-5.0,5.0
2023-04-12,46.531,44.859,47.0,42.0,-5.0,5.0
2023-04-21,47.396,44.074,47.0,40.0,-7.0,7.0
2023-04-26,47.086,44.456,47.0,42.0,-5.0,5.0
2023-04-29,47.087,44.434,47.0,41.0,-6.0,6.0
2023-05-01,47.101,44.432,47.0,41.0,-6.0,6.0
2023-05-02,48.063,43.63,46.0,39.0,-7.0,7.0
2023-05-03,47.926,43.788,47.0,39.0,-8.0,8.0
2023-05-04,46.84,44.803,47.0,42.0,-5.0,5.0
2023-05-05,46.897,44.744,47.0,42.0,-5.0,5.0
2023-05-06,46.865,44.752,47.0,42.0,-5.0,5.0
2023-05-08,47.677,43.987,47.0,40.0,-7.0,7.0
2023-05-10,47.617,43.985,47.0,40.0,-7.0,7.0
2023-05-13,47.197,48.765,51.0,44.0,-7.0,7.0
2023-05-14,48.739,47.14,47.0,42.0,-5.0,5.0
2023-05-15,50.196,45.664,46.0,39.0,-7.0,7.0
2023-05-16,50.176,45.688,46.0,39.0,-7.0,7.0
2023-05-17,50.374,45.537,46.0,39.0,-7.0,7.0
2023-05-18,50.067,45.784,47.0,39.0,-8.0,8.0
2023-05-19,50.203,45.656,46.0,39.0,-7.0,7.0
2023-05-21,50.33,45.523,46.0,39.0,-7.0,7.0
2023-05-22,50.792,45.294,46.0,39.0,-7.0,7.0
2023-05-23,50.695,45.381,46.0,39.0,-7.0,7.0
2023-05-24,50.746,45.31,46.0,39.0,-7.0,7.0
2023-05-25,50.593,45.442,46.0,39.0,-7.0,7.0
2023-05-26,51.184,44.833,45.0,38.0,-7.0,7.0
2023-05-27,51.053,44.99,45.0,38.0,-7.0,7.0
2023-05-28,50.842,45.325,46.0,39.0,-7.0,7.0
2023-05-31,52.563,44.017,45.0,36.0,-9.0,9.0
2023-10-07,52.591,43.147,43.0,36.0,-7.0,7.0
2023-11-09,51.248,44.434,45.0,37.0,-8.0,8.0
2024-01-20,52.291,43.548,44.0,36.0,-8.0,8.0
2024-03-19,52.366,42.808,43.0,35.0,-8.0,8.0
2024-07-07,53.887,41.284,38.0,32.0,-6.0,6.0
2025-02-09,54.349,40.816,34.0,30.0,-4.0,4.0
2025-05-30,55.604,39.565,31.0,29.0,-2.0,2.0
2025-09-13,55.03,39.958,33.0,29.0,-4.0,4.0
2025-09-28,52.345,39.187,36.0,30.0,-6.0,6.0
2025-11-02,52.098,39.626,38.0,32.0,-6.0,6.0
2025-12-20,48.9,42.435,45.0,38.0,-7.0,7.0
2026-02-08,49.78,41.581,45.0,36.0,-9.0,9.0
2026-03-14,50.327,39.763,42.0,33.0,-9.0,9.0
2026-04-12,52.46,37.587,33.0,29.0,-4.0,4.0
