snapshot_date,ucp_share,ndp_share,map,ndp_seats,ucp_seats
2020-02-23,49.453,37.843,majority,40,49
2020-02-23,49.453,37.843,minority,32,57
2020-03-08,49.466,37.788,majority,40,49
2020-03-08,49.466,37.788,minority,32,57
2020-03-15,45.312,38.838,majority,45,44
2020-03-15,45.312,38.838,minority,38,51
2020-04-12,45.28,38.813,majority,45,44
2020-04-12,45.28,38.813,minority,38,51
2020-05-10,47.43,36.653,majority,41,48
2020-05-10,47.43,36.653,minority,33,56
2020-06-15,44.818,35.48,majority,43,46
2020-06-15,44.818,35.48,minority,36,53
2020-08-01,43.896,35.147,majority,44,45
2020-08-01,43.896,35.147,minority,36,53
2020-09-18,42.397,37.002,majority,46,43
2020-09-18,42.397,37.002,minority,39,50
2020-12-11,42.158,39.903,majority,47,42
2020-12-11,42.158,39.903,minority,42,47
2021-01-09,39.732,44.172,majority,52,37
2021-01-09,39.732,44.172,minority,52,37
2021-03-14,40.218,42.814,majority,51,38
2021-03-14,40.218,42.814,minority,49,40
2021-04-16,39.878,42.749,majority,51,38
2021-04-16,39.878,42.749,minority,50,39
2021-05-25,36.633,41.599,majority,53,36
2021-05-25,36.633,41.599,minority,52,37
2021-06-15,34.324,40.461,majority,53,36
2021-06-15,34.324,40.461,minority,52,37
2021-08-05,37.624,41.809,majority,52,37
2021-08-05,37.624,41.809,minority,52,37
2021-10-24,32.207,45.135,majority,61,28
2021-10-24,32.207,45.135,minority,57,32
2022-01-25,35.15,40.389,majority,53,36
2022-01-25,35.15,40.389,minority,52,37
2022-03-16,36.347,41.387,majority,53,36
2022-03-16,36.347,41.387,minority,52,37
2022-03-19,37.978,40.009,majority,51,38
2022-03-19,37.978,40.009,minority,48,41
2022-06-06,42.374,38.881,majority,47,42
2022-06-06,42.374,38.881,minority,40,49
2022-07-25,42.252,42.196,majority,47,42
2022-07-25,42.252,42.196,minority,43,46
2022-09-11,43.831,40.705,majority,47,42
2022-09-11,43.831,40.705,minority,41,48
2022-10-15,43.281,42.028,majority,47,42
2022-10-15,43.281,42.028,minority,42,47
2022-11-20,42.372,43.834,majority,51,38
2022-11-20,42.372,43.834,minority,44,45
2022-12-03,44.587,45.62,majority,50,39
2022-12-03,44.587,45.62,minority,43,46
2022-12-09,46.872,45.29,majority,47,42
2022-12-09,46.872,45.29,minority,42,47
2022-12-20,45.96,46.112,majority,48,41
2022-12-20,45.96,46.112,minority,43,46
2023-01-29,45.775,44.233,majority,47,42
2023-01-29,45.775,44.233,minority,42,47
2023-02-10,46.937,43.98,majority,47,42
2023-02-10,46.937,43.98,minority,41,48
2023-02-17,45.198,45.49,majority,48,41
2023-02-17,45.198,45.49,minority,43,46
2023-03-11,47.007,43.777,majority,47,42
2023-03-11,47.007,43.777,minority,41,48
