parent_ed_2019,VA_NUMBER,election_day_ndp,election_day_ucp,apportioned_advance_ndp,apportioned_advance_ucp,full_ndp,full_ucp,pct_advance_ndp
Fort Saskatchewan-Vegreville,24,58.0,132.5,56.379174187725646,69.6322202166065,114.37917418772565,202.1322202166065,49.29
Lesser Slave Lake,46,5.0,62.0,15.777127420081044,32.42908599729851,20.777127420081044,94.4290859972985,75.94
Edmonton-Highlands-Norwood,3,107.0,61.25,79.9175268973539,21.844613259668506,186.9175268973539,83.0946132596685,42.76
Edmonton-City Centre,48,90.2,21.0,90.54487758172615,24.046942962659006,180.74487758172614,45.046942962659,50.1
Lesser Slave Lake,18,53.0,73.0,29.670418730301666,60.98604232327779,82.67041873030166,133.9860423232778,35.89
Edmonton-City Centre,39,91.875,29.625,98.93167829298318,26.274312679524012,190.80667829298318,55.899312679524016,51.85
Strathcona-Sherwood Park,27,97.8,102.6,50.01644550793995,59.28736132260168,147.81644550793993,161.8873613226017,33.84
Strathcona-Sherwood Park,28,97.8,102.6,50.01644550793995,59.28736132260168,147.81644550793993,161.8873613226017,33.84
Airdrie-Cochrane,13,76.28571428571429,118.14285714285714,69.86745192932636,104.78756911877932,146.15316621504064,222.93042626163646,47.8
Calgary-Beddington,47,105.0,99.8,80.65529880478088,71.80239043824703,185.6552988047809,171.60239043824703,43.44
Calgary-Beddington,46,105.0,99.8,80.65529880478088,71.80239043824703,185.6552988047809,171.60239043824703,43.44
Calgary-Mountain View,10,132.2,78.0,98.3331972361809,47.004522613065326,230.53319723618088,125.00452261306532,42.65
Calgary-Currie,9,157.75,76.5,75.4967848791894,50.757209664848006,233.24678487918942,127.257209664848,32.37
Rimbey-Rocky Mountain House-Sundre,38,14.625,114.875,15.61796801505174,67.53979303857007,30.24296801505174,182.41479303857005,51.64
Calgary-Edgemont,48,61.888888888888886,77.55555555555556,81.81405180669424,85.55152640553105,143.70294069558312,163.1070819610866,56.93
Fort McMurray-Lac La Biche,2,37.22222222222222,122.22222222222223,23.606127543415408,58.113338002621994,60.828349765637626,180.33556022484422,38.81
Calgary-Falconridge,3,88.0,86.2,82.1985931668102,51.414757393051964,170.1985931668102,137.61475739305197,48.3
Vermilion-Lloydminster-Wainwright,17,17.5,233.0,33.61373862613739,116.5960903909609,51.11373862613739,349.5960903909609,65.76
Morinville-St. Albert,17,86.85714285714286,143.57142857142858,71.71998506528448,78.71662475429098,158.57712792242734,222.28805332571955,45.23
Edmonton-Beverly-Clareview,4,104.33333333333333,79.33333333333333,67.31168936446174,38.47977464332037,171.64502269779507,117.8131079766537,39.22
Edmonton-Manning,47,54.77777777777778,42.111111111111114,34.038876678876676,18.472771672771678,88.81665445665445,60.58388278388279,38.32
Calgary-North West,15,92.33333333333333,97.66666666666667,111.41936200955874,109.62431921751694,203.75269534289208,207.2909858841836,54.68
Bonnyville-Cold Lake-St. Paul,47,44.833333333333336,116.33333333333333,30.91411900065746,85.00190664036813,75.7474523339908,201.33523997370145,40.81
Brooks-Medicine Hat,52,78.33333333333333,111.16666666666667,38.84028756695799,93.42326848980358,117.17362090029133,204.58993515647023,33.15
Brooks-Medicine Hat,51,77.42857142857143,121.14285714285714,40.69958516251157,97.8954716930471,118.128156591083,219.03832883590422,34.45
Morinville-St. Albert,19,86.85714285714286,143.57142857142858,71.71998506528448,78.71662475429098,158.57712792242734,222.28805332571955,45.23
Morinville-St. Albert,18,86.85714285714286,143.57142857142858,71.71998506528448,78.71662475429098,158.57712792242734,222.28805332571955,45.23
Sherwood Park,48,117.4,130.6,106.21912444200798,75.31866238546479,223.619124442008,205.91866238546478,47.5
Calgary-Hays,11,97.14285714285714,118.14285714285714,79.13992770469112,95.68478976577933,176.28278484754827,213.82764690863647,44.89
Calgary-Hays,22,85.4,123.2,76.6822312106105,92.71329131784405,162.0822312106105,215.91329131784406,47.31
Calgary-Fish Creek,5,126.33333333333333,153.83333333333334,56.33469582885143,64.99384486673837,182.66802916218475,218.82717820007173,30.84
Banff-Kananaskis,44,95.33333333333333,42.666666666666664,97.71783716594157,68.27097576134246,193.05117049927492,110.93764242800913,50.62
Edmonton-Meadows,34,78.8,56.4,56.736949846468775,29.295639713408388,135.53694984646876,85.69563971340838,41.86
Calgary-Lougheed,39,53.166666666666664,88.5,39.049039098740884,61.249171636845595,92.21570576540755,149.7491716368456,42.35
Edmonton-South West,73,70.42857142857143,50.0,55.46157954707307,40.87327303802877,125.8901509756445,90.87327303802877,44.06
Calgary-Elbow,11,77.75,80.75,84.6795224106889,75.90817776935471,162.4295224106889,156.65817776935472,52.13
Leduc-Beaumont,21,88.2,115.8,83.22827062760142,107.31935036317635,171.42827062760142,223.11935036317635,48.55
Central Peace-Notley,48,12.0,128.0,16.124244090159426,56.62726772952172,28.124244090159426,184.62726772952172,57.33
