origin_csd,origin_dguid,origin_csd_code,dest_csd,workers_total,workers_men,workers_women,pct_all_workers,pct_out_commuters
Airdrie,2021A00054806021,3971.3968,"Calgary (CY), Alta.",10260,5665,4595,45.93,76.20
Airdrie,2021A00054806021,3971.3971,"Airdrie (CY), Alta.",8875,3500,5375,39.73,
Airdrie,2021A00054806021,3971.3967,"Rocky View County (MD), Alta.",1650,910,735,7.39,12.25
Airdrie,2021A00054806021,3971.4212,"Wood Buffalo (SM), Alta.",265,235,40,1.19,1.97
Airdrie,2021A00054806021,3971.3974,"Crossfield (T), Alta.",230,150,80,1.03,1.71
Airdrie,2021A00054806021,3971.3970,"Cochrane (T), Alta.",155,50,105,0.69,1.15
Airdrie,2021A00054806021,3971.3979,"Olds (T), Alta.",115,70,50,0.51,0.85
Airdrie,2021A00054806021,3971.3978,"Didsbury (T), Alta.",90,40,55,0.40,0.67
Airdrie,2021A00054806021,3971.3976,"Carstairs (T), Alta.",65,25,35,0.29,0.48
Airdrie,2021A00054806021,3971.4017,"Innisfail (T), Alta.",60,40,20,0.27,0.45
Airdrie,2021A00054806021,3971.3949,"Drumheller (T), Alta.",55,30,25,0.25,0.41
Airdrie,2021A00054806021,3971.3969,"Chestermere (CY), Alta.",50,15,35,0.22,0.37
Airdrie,2021A00054806021,3971.4116,"Edmonton (CY), Alta.",35,30,10,0.16,0.26
Airdrie,2021A00054806021,3971.3894,"Lethbridge (CY), Alta.",30,10,20,0.13,0.22
Airdrie,2021A00054806021,3971.3955,"Carbon (VL), Alta.",25,10,15,0.11,0.19
Airdrie,2021A00054806021,3971.3944,"Wheatland County (MD), Alta.",20,20,0,0.09,0.15
Airdrie,2021A00054806021,3971.3956,"Acme (VL), Alta.",20,15,0,0.09,0.15
Airdrie,2021A00054806021,3971.3957,"Linden (VL), Alta.",20,20,0,0.09,0.15
Airdrie,2021A00054806021,3971.3966,"Okotoks (T), Alta.",20,20,0,0.09,0.15
Airdrie,2021A00054806021,3971.3975,"Mountain View County (MD), Alta.",20,15,0,0.09,0.15
Airdrie,2021A00054806021,3971.4019,"Red Deer (CY), Alta.",20,10,10,0.09,0.15
Airdrie,2021A00054806021,3971.4185,"Athabasca (T), Alta.",20,0,10,0.09,0.15
Airdrie,2021A00054806021,3971.4202,"Canmore (T), Alta.",20,15,0,0.09,0.15
Airdrie,2021A00054806021,3971.4207,"Banff (T), Alta.",20,10,0,0.09,0.15
Airdrie,2021A00054806021,3971.4924,"Kitimat (DM), B.C.",20,15,0,0.09,0.15
Airdrie,2021A00054806021,3971.3945,"Strathmore (T), Alta.",15,0,10,0.07,0.11
Airdrie,2021A00054806021,3971.3961,"Foothills County (MD), Alta.",15,10,0,0.07,0.11
Airdrie,2021A00054806021,3971.3980,"Sundre (T), Alta.",15,0,0,0.07,0.11
Airdrie,2021A00054806021,3971.4012,"Red Deer County (MD), Alta.",15,10,0,0.07,0.11
Airdrie,2021A00054806021,3971.4013,"Elnora (VL), Alta.",15,0,15,0.07,0.11
Airdrie,2021A00054806021,3971.4113,"Strathcona County (SM), Alta.",15,10,0,0.07,0.11
Airdrie,2021A00054806021,3971.4304,"Elkford (DM), B.C.",15,15,0,0.07,0.11
Airdrie,2021A00054806021,3971.4305,"Sparwood (DM), B.C.",15,15,0,0.07,0.11
Airdrie,2021A00054806021,3971.2219,"Toronto (C), Ont.",10,0,10,0.04,0.07
Airdrie,2021A00054806021,3971.4006,"Hardisty (T), Alta.",10,10,0,0.04,0.07
Airdrie,2021A00054806021,3971.4091,"Leduc County (MD), Alta.",10,10,0,0.04,0.07
Airdrie,2021A00054806021,3971.4314,"Radium Hot Springs (VL), B.C.",10,0,0,0.04,0.07
Airdrie,2021A00054806021,3971.4493,"Victoria (CY), B.C.",10,0,10,0.04,0.07
Airdrie,2021A00054806021,3971.5130,"Region 6, Unorganized (NO), N.W.T.",10,10,0,0.04,0.07
