ed_2026,ndp,ucp,other,n_vas,map
Airdrie-East,3706.8333333333335,8032.666666666667,414.33333333333337,59,majority
Airdrie-West,2949.6666666666665,4897.666666666667,238.0,46,majority
Barrhead-Westlock-Athabasca,3060.0,10613.0,181.5,61,majority
Calgary-Acadia,5835.0,5977.25,446.0,54,majority
Calgary-Beddington,5098.0,5320.0,402.0,54,majority
Calgary-Bhullar-McCall,2959.913636363636,2080.7454545454543,0.0,27,majority
Calgary-Bow,5275.0,5923.0,382.0,53,majority
Calgary-Buffalo,3742.111111111111,2479.777777777778,154.88888888888889,45,majority
Calgary-Confluence,4766.125,5016.75,396.25,64,majority
Calgary-Cross,4244.0,3943.0,334.0,50,majority
Calgary-Currie,5625.0,4639.0,541.0,49,majority
Calgary-East,4040.875,4809.916666666667,453.75,63,majority
Calgary-Edgemont,5060.6,5162.8,362.6,54,majority
Calgary-Elbow,5250.138888888889,5085.222222222223,565.3611111111111,53,majority
Calgary-Falconridge-Conrich,3540.45,2475.4666666666667,148.0,37,majority
Calgary-Fish Creek,6515.666666666666,8807.0,420.0,64,majority
Calgary-Glenmore-Tsuut'ina,6372.75,6783.75,361.75,56,majority
Calgary-Hays,3596.0,4965.0,233.0,40,majority
Calgary-Klein,5777.5,5374.5,319.0,50,majority
Calgary-Lougheed,4720.333333333333,6343.0,317.0,51,majority
Calgary-McKenzie,5410.0,8443.0,460.0,60,majority
Calgary-Mountain View,7036.5,4112.5,277.0,66,majority
Calgary-North,3774.457142857143,4138.571428571428,9.028571428571428,40,majority
Calgary-North East,1865.6363636363637,1295.4545454545455,0.0,23,majority
Calgary-North West,4243.0,4754.0,465.0,53,majority
Calgary-Nose Creek,3460.714285714286,3711.4285714285716,33.0,37,majority
Calgary-Shaw,4065.0,5888.0,107.0,47,majority
Calgary-South East,2852.0,4410.0,128.0,36,majority
Calgary-Symons Valley,3547.2285714285713,3605.2,97.37142857142857,39,majority
Calgary-Varsity,6792.0,5031.0,157.0,52,majority
Calgary-West-Elbow Valley,4060.0,6240.6,165.0,51,majority
Camrose,3361.3333333333335,8978.166666666666,1322.1666666666667,67,majority
Canmore-Banff,3133.25,2627.5,190.91666666666666,39,majority
Central Peace-Notley,1287.0,5989.0,277.0,49,majority
Chestermere-Strathmore,2510.2809523809524,5902.057142857143,253.4952380952381,48,majority
Cochrane-Springbank,4165.083333333334,7787.233333333334,353.75,64,majority
Cold Lake-Bonnyville-St. Paul,2437.4545454545455,8280.09090909091,0.0,62,majority
Drumheller-Stettler,2010.5,12212.904761904761,803.3333333333334,69,majority
Edmonton-Beaumont,3615.0142857142855,3724.342857142857,142.18571428571428,34,majority
Edmonton-Beverly-Clareview,5463.0,3937.5,374.75,51,majority
Edmonton-Castle Downs,4638.0,3865.0,361.0,50,majority
Edmonton-City Centre,6022.883333333333,1930.6666666666667,237.95,68,majority
Edmonton-Decore,4473.0,3754.0,562.0,54,majority
Edmonton-Ellerslie,5961.966666666667,4261.933333333333,118.03333333333333,50,majority
Edmonton-Enoch,4473.333333333333,3937.1666666666665,210.0,48,majority
Edmonton-Glenora-Riverview,8511.516666666666,4382.833333333333,441.34999999999997,54,majority
Edmonton-Gold Bar,8899.25,4077.7,436.8,60,majority
Edmonton-Highlands-Norwood,5122.2,2223.0,279.8,47,majority
Edmonton-Manning,3984.0,3180.5,151.25,48,majority
Edmonton-McClung,7272.4,4888.5,382.4,58,majority
Edmonton-Meadows,3419.583333333333,2013.9166666666667,87.66666666666667,29,majority
Edmonton-Mill Woods,7092.75,4629.75,71.0,54,majority
Edmonton-North West,5402.0,3829.0,232.0,49,majority
Edmonton-Rutherford,7011.0,4062.0,396.5,55,majority
Edmonton-South,4084.342857142857,2974.3142857142857,134.27142857142857,47,majority
Edmonton-Strathcona,8030.75,2177.3,359.2,52,majority
Edmonton-West Henday,6654.666666666667,4941.833333333333,551.5,50,majority
Edmonton-Whitemud,6304.666666666667,4655.0,333.6666666666667,55,majority
Edmonton-Windermere,3242.190476190476,2719.0857142857144,84.36190476190477,47,majority
Fort McMurray-Lac La Biche,1567.1010101010102,5330.464646464647,118.77777777777777,47,majority
Fort McMurray-Wood Buffalo,1121.4444444444446,3988.4444444444443,668.2222222222223,39,majority
Fort Saskatchewan-Vegreville,4422.0,7777.0,678.0,67,majority
Grande Prairie,2614.0,6485.0,462.0,45,majority
Grande Prairie-Wapiti,2299.0,10015.0,444.0,69,majority
High River-Vulcan-Siksika,2516.6434894053314,8491.162354750513,858.6479038505354,67,majority
Lacombe-Clearwater,2027.229761904762,8737.076190476191,1779.3154761904761,65,majority
Leduc-Devon,4200.152380952381,8640.990476190476,551.6476190476191,62,majority
Lesser Slave Lake,1658.0,3467.5,76.0,55,majority
Lethbridge-East,5019.0,6155.0,310.25,67,majority
Lethbridge-West,5008.0,4875.0,408.75,47,majority
Livingstone-Macleod,2563.0,8086.0,690.5,66,majority
