va_id,parent_ed_2019,va_ndp,va_ucp,va_other,assigned_2026_majority,maj_method,maj_confidence,assigned_2026_minority,min_method,min_confidence
Fort Saskatchewan-Vegreville|024,Fort Saskatchewan-Vegreville,58.0,132.5,14.5,Fort Saskatchewan-Vegreville,crosswalk,high,Fort Saskatchewan-Vegreville,crosswalk,high
Lesser Slave Lake|046,Lesser Slave Lake,5.0,62.0,0.0,Lesser Slave Lake,crosswalk,high,Lesser Slave Lake,crosswalk,high
Edmonton-Highlands-Norwood|003,Edmonton-Highlands-Norwood,107.0,61.25,7.0,Edmonton-Highlands-Norwood,crosswalk,high,Edmonton-Highlands-Norwood,crosswalk,high
Edmonton-City Centre|048,Edmonton-City Centre,90.2,21.0,4.6,Edmonton-City Centre,crosswalk,high,Edmonton-City Centre,crosswalk,high
Lesser Slave Lake|018,Lesser Slave Lake,53.0,73.0,3.0,Lesser Slave Lake,crosswalk,high,Lesser Slave Lake,crosswalk,high
Edmonton-City Centre|039,Edmonton-City Centre,91.875,29.625,3.875,Edmonton-City Centre,crosswalk,high,Edmonton-City Centre,crosswalk,high
Strathcona-Sherwood Park|027,Strathcona-Sherwood Park,97.8,102.6,5.4,Strathcona-Sherwood Park,crosswalk,high,Edmonton-Gold Bar,spatial,high
Strathcona-Sherwood Park|028,Strathcona-Sherwood Park,97.8,102.6,5.4,Strathcona-Sherwood Park,crosswalk,high,Edmonton-Gold Bar,spatial,high
Airdrie-Cochrane|013,Airdrie-Cochrane,76.28571428571429,118.14285714285714,7.571428571428571,Cochrane-Springbank,spatial,high,Calgary-Airdrie,spatial,high
Calgary-Beddington|047,Calgary-Beddington,105.0,99.8,9.0,Calgary-Klein,spatial,high,Calgary-Beddington,crosswalk,high
Calgary-Beddington|046,Calgary-Beddington,105.0,99.8,9.0,Calgary-Klein,spatial,high,Calgary-Beddington,crosswalk,high
Calgary-Mountain View|010,Calgary-Mountain View,132.2,78.0,5.0,Calgary-Mountain View,crosswalk,high,Calgary-Mountain View,crosswalk,high
Calgary-Currie|009,Calgary-Currie,157.75,76.5,12.0,Calgary-Currie,crosswalk,high,Calgary-Currie,crosswalk,high
Rimbey-Rocky Mountain House-Sundre|038,Rimbey-Rocky Mountain House-Sundre,14.625,114.875,23.875,Sylvan Lake-Innisfail,nearest_ed,low,Rocky Mountain House-Banff Park,spatial,high
