OBJECTID,VA_NUMBER,parent_ed_2019,va_ndp,va_ucp,va_other,ed_2026_maj,ed_2026_min
1,024,Fort Saskatchewan-Vegreville,58.0,132.5,14.5,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville
2,046,Lesser Slave Lake,5.0,62.0,0.0,Lesser Slave Lake,Lesser Slave Lake
3,003,Edmonton-Highlands-Norwood,107.0,61.25,7.0,Edmonton-Highlands-Norwood,Edmonton-Highlands-Norwood
4,048,Edmonton-City Centre,90.2,21.0,4.6,Edmonton-City Centre,Edmonton-City Centre
5,018,Lesser Slave Lake,53.0,73.0,3.0,Lesser Slave Lake,Lesser Slave Lake
6,039,Edmonton-City Centre,91.875,29.625,3.875,Edmonton-City Centre,Edmonton-City Centre
7,027,Strathcona-Sherwood Park,97.8,102.6,5.4,Strathcona-Sherwood Park,Sherwood Park-Strathcona
8,028,Strathcona-Sherwood Park,97.8,102.6,5.4,Strathcona-Sherwood Park,Sherwood Park-Strathcona
9,013,Airdrie-Cochrane,76.28571428571429,118.14285714285714,7.571428571428571,Cochrane-Springbank,Calgary-Nolan Hill-Cochrane
10,047,Calgary-Beddington,105.0,99.8,9.0,Calgary-Beddington,Calgary-Beddington
11,046,Calgary-Beddington,105.0,99.8,9.0,Calgary-Beddington,Calgary-Beddington
12,010,Calgary-Mountain View,132.2,78.0,5.0,Calgary-Mountain View,Calgary-Mountainview
13,009,Calgary-Currie,157.75,76.5,12.0,Calgary-Currie,Calgary-Currie
14,038,Rimbey-Rocky Mountain House-Sundre,14.625,114.875,23.875,Lacombe-Clearwater,Rocky Mountain House-Banff Park
15,048,Calgary-Edgemont,61.888888888888886,77.55555555555556,4.777777777777778,Calgary-Beddington,Calgary-Edgemont
16,002,Fort McMurray-Lac La Biche,37.22222222222222,122.22222222222223,4.111111111111111,Fort McMurray-Wood Buffalo,Fort McMurray-Lac La Biche
17,003,Calgary-Falconridge,88.0,86.2,10.2,Calgary-Cross,Calgary-Falconridge
18,017,Vermilion-Lloydminster-Wainwright,17.5,233.0,20.5,Lloydminster-Wainwright,Lloydminster-Wainwright
19,017,Morinville-St. Albert,86.85714285714286,143.57142857142858,6.285714285714286,St. Albert-Sturgeon,St Albert-Sturgeon
20,004,Edmonton-Beverly-Clareview,104.33333333333333,79.33333333333333,7.333333333333333,Edmonton-Beverly-Clareview,Edmonton-Beverly-Clareview
21,047,Edmonton-Manning,54.77777777777778,42.111111111111114,1.1111111111111112,Edmonton-Manning,Edmonton-Manning
22,015,Calgary-North West,92.33333333333333,97.66666666666667,9.333333333333334,Calgary-North West,Calgary-North West-Bearspaw
23,047,Bonnyville-Cold Lake-St. Paul,44.833333333333336,116.33333333333333,0.0,Cold Lake-Bonnyville-St. Paul,Cold Lake-Bonnyville-St. Paul
24,052,Brooks-Medicine Hat,78.33333333333333,111.16666666666667,9.833333333333334,Medicine Hat-Brooks,Medicine Hat-Brooks
25,051,Brooks-Medicine Hat,77.42857142857143,121.14285714285714,8.285714285714286,Medicine Hat-Brooks,Medicine Hat-Brooks
26,019,Morinville-St. Albert,86.85714285714286,143.57142857142858,6.285714285714286,St. Albert-Sturgeon,St Albert-Sturgeon
27,018,Morinville-St. Albert,86.85714285714286,143.57142857142858,6.285714285714286,St. Albert-Sturgeon,St Albert-Sturgeon
28,048,Sherwood Park,117.4,130.6,12.6,Sherwood Park,Sherwood Park
29,011,Calgary-Hays,97.14285714285714,118.14285714285714,5.571428571428571,Calgary-Hays,Calgary-Hays
30,022,Calgary-Hays,85.4,123.2,3.8,Calgary-Hays,Calgary-Hays
31,005,Calgary-Fish Creek,126.33333333333333,153.83333333333334,6.833333333333333,Calgary-Fish Creek,Calgary-Fish Creek
