substrate,kind,target,metric,real,geography,drawing,real_gap,geography_gap,drawing_gap,pct_drawing
v2_full_va_splat,map,2019,efficiency_gap,-0.026364586849705562,0.0148631102765353,-0.04122769712624086,,,,
v2_full_va_splat,map,2019,mean_median,-0.02215491339662612,-0.01911215949935335,-0.0030427538972727687,,,,
v2_full_va_splat,map,2019,declination,0.05701176055727874,0.0032950607766048497,0.053716699780673886,,,,
v2_full_va_splat,map,2019,seats_at_50_50,0.47126436781609193,0.4482758620689655,0.02298850574712641,,,,
v2_full_va_splat,map,majority,efficiency_gap,-0.023261565068687776,0.0148631102765353,-0.038124675345223076,,,,
v2_full_va_splat,map,majority,mean_median,-0.016245189131634308,-0.01911215949935335,0.0028669703677190427,,,,
v2_full_va_splat,map,majority,declination,0.041847005513148905,0.0032950607766048497,0.03855194473654405,,,,
v2_full_va_splat,map,majority,seats_at_50_50,0.4659090909090909,0.4482758620689655,0.01763322884012536,,,,
v2_full_va_splat,map,minority,efficiency_gap,0.018221798255422063,0.0148631102765353,0.0033586879788867624,,,,
v2_full_va_splat,map,minority,mean_median,-0.013902057812669066,-0.01911215949935335,0.005210101686684284,,,,
v2_full_va_splat,map,minority,declination,-0.030488484741184013,0.0032950607766048497,-0.033783545517788865,,,,
v2_full_va_splat,map,minority,seats_at_50_50,0.5057471264367817,0.4482758620689655,0.05747126436781613,,,,
v2_full_va_splat,gap,2019_to_majority,efficiency_gap,,,,0.003103021781017786,0.0,0.0031030217810177826,99.9999999999999
v2_full_va_splat,gap,2019_to_majority,mean_median,,,,0.005909724264991811,0.0,0.005909724264991811,100.0
v2_full_va_splat,gap,2019_to_majority,declination,,,,-0.015164755044129834,0.0,-0.015164755044129834,100.0
v2_full_va_splat,gap,2019_to_majority,seats_at_50_50,,,,-0.00535527690700105,0.0,-0.00535527690700105,100.0
v2_full_va_splat,gap,2019_to_minority,efficiency_gap,,,,0.04458638510512762,0.0,0.04458638510512762,100.0
v2_full_va_splat,gap,2019_to_minority,mean_median,,,,0.008252855583957053,0.0,0.008252855583957053,100.0
v2_full_va_splat,gap,2019_to_minority,declination,,,,-0.08750024529846276,0.0,-0.08750024529846276,99.99999999999999
v2_full_va_splat,gap,2019_to_minority,seats_at_50_50,,,,0.034482758620689724,0.0,0.034482758620689724,100.0
v2_full_va_splat,gap,majority_to_minority,efficiency_gap,,,,0.04148336332410984,0.0,0.04148336332410984,100.0
v2_full_va_splat,gap,majority_to_minority,mean_median,,,,0.0023431313189652414,0.0,0.0023431313189652414,100.0
v2_full_va_splat,gap,majority_to_minority,declination,,,,-0.07233549025433292,0.0,-0.07233549025433292,100.0
v2_full_va_splat,gap,majority_to_minority,seats_at_50_50,,,,0.039838035527690774,0.0,0.039838035527690774,100.0
election_day_only,map,2019,efficiency_gap,0.024119940578423545,0.0148631102765353,0.009256830301888244,,,,
election_day_only,map,2019,mean_median,-0.007671760176883757,-0.01911215949935335,0.011440399322469593,,,,
election_day_only,map,2019,declination,-0.04509237880431511,0.0032950607766048497,-0.04838743958091996,,,,
election_day_only,map,2019,seats_at_50_50,0.45977011494252873,0.4482758620689655,0.011494252873563204,,,,
election_day_only,map,majority,efficiency_gap,0.024119940578423545,0.0148631102765353,0.009256830301888244,,,,
election_day_only,map,majority,mean_median,-0.00766964936075476,-0.01911215949935335,0.01144251013859859,,,,
election_day_only,map,majority,declination,-0.04659474896803661,0.0032950607766048497,-0.04988980974464146,,,,
election_day_only,map,majority,seats_at_50_50,0.4588235294117647,0.4482758620689655,0.01054766734279916,,,,
election_day_only,map,minority,efficiency_gap,0.035864847141117324,0.0148631102765353,0.021001736864582024,,,,
election_day_only,map,minority,mean_median,-0.0009301349063708386,-0.01911215949935335,0.018182024592982512,,,,
election_day_only,map,minority,declination,-0.0704058308129219,0.0032950607766048497,-0.07370089158952675,,,,
election_day_only,map,minority,seats_at_50_50,0.4823529411764706,0.4482758620689655,0.03407707910750507,,,,
election_day_only,gap,2019_to_majority,efficiency_gap,,,,0.0,0.0,0.0,100.0
election_day_only,gap,2019_to_majority,mean_median,,,,2.110816128997328e-06,0.0,2.110816128997328e-06,100.0
election_day_only,gap,2019_to_majority,declination,,,,-0.0015023701637214976,0.0,-0.0015023701637214976,100.0
election_day_only,gap,2019_to_majority,seats_at_50_50,,,,-0.0009465855307640436,0.0,-0.0009465855307640436,100.0
election_day_only,gap,2019_to_minority,efficiency_gap,,,,0.01174490656269378,0.0,0.01174490656269378,100.0
election_day_only,gap,2019_to_minority,mean_median,,,,0.006741625270512919,0.0,0.006741625270512919,100.0
election_day_only,gap,2019_to_minority,declination,,,,-0.02531345200860679,0.0,-0.02531345200860679,99.99999999999999
election_day_only,gap,2019_to_minority,seats_at_50_50,,,,0.022582826233941866,0.0,0.022582826233941866,99.99999999999999
election_day_only,gap,majority_to_minority,efficiency_gap,,,,0.01174490656269378,0.0,0.01174490656269378,100.0
election_day_only,gap,majority_to_minority,mean_median,,,,0.006739514454383921,0.0,0.006739514454383921,100.0
election_day_only,gap,majority_to_minority,declination,,,,-0.02381108184488529,0.0,-0.02381108184488529,100.0
election_day_only,gap,majority_to_minority,seats_at_50_50,,,,0.02352941176470591,0.0,0.02352941176470591,100.0
