plan_idx,n,eg,mm,ndp_seats,pop_min,pop_max,attempts,accepted
0,87,0.027231543399609984,-0.01644976645539331,30,4965.1,12862.700000000006,1118,500
1,87,0.027101056829689333,-0.01503820857243432,30,4965.1,12842.926190476197,1105,500
2,87,0.03724443591882628,-0.01368327652108875,29,5347.100000000001,12859.592857142861,1263,500
3,87,0.03917273745209919,-0.011400583479888649,29,5450.100000000001,12850.473809523808,1191,500
4,87,0.03694665887464823,-0.00798643613637584,29,5450.100000000001,12878.957142857142,1242,500
5,87,0.0378109929916444,-0.012246514455659385,29,5450.100000000001,12861.687301587302,1248,500
6,87,0.04037388305726695,-0.017244608689863383,29,5450.100000000001,12877.100000000002,1211,500
7,87,0.04120698961906845,-0.01615058798132557,29,5450.100000000001,12867.376923076921,1191,500
8,87,0.04143227412440168,-0.013197892373145004,29,5450.100000000001,12833.155555555557,1199,500
9,87,0.03889503526483201,-0.010215147521735912,29,5551.850000000001,12882.391666666666,1238,500
10,87,0.030664343931370783,-0.012148425420808795,30,5551.850000000001,12876.657142857144,1162,500
11,87,0.041163494095761595,-0.010654951081264685,29,5551.850000000001,12858.485714285713,1149,500
12,87,0.03945267017902313,-0.00842548152804945,29,5681.35,12829.557967032966,1193,500
13,87,0.037306891029215646,-0.007004467642097556,29,5964.35,12872.363095238095,1192,500
14,87,0.03534401613126273,-0.008703813727408194,29,6055.35,12849.512626262627,1172,500
15,87,0.0333097639642935,-0.007928362230735564,29,6055.35,12864.590476190477,1158,500
16,87,0.03545888892358623,-0.0076262183827110475,29,6055.35,12838.336507936508,1202,500
17,87,0.03773515464331433,-0.005784608362456145,29,6469.35,12869.153174603174,1222,500
18,87,0.03710725772993515,-0.005373416662977193,29,6705.35,12854.698701298707,1161,500
19,87,0.03568751923840447,-0.006613817154013546,29,6705.35,12866.203174603175,1111,500
20,87,0.03400680760703248,-0.0060226172472570005,29,6705.35,12872.378571428575,1120,500
21,87,0.04738558446830624,-0.008524715721380582,28,6705.35,12866.589682539685,1202,500
22,87,0.03291049736573254,-0.006372902818226001,29,7005.35,12879.070085470088,1214,500
23,87,0.04724282993027331,-0.0093414919244445,28,7005.35,12860.228571428575,1237,500
24,87,0.03554922577968513,-0.012596925132911663,29,7245.350000000001,12868.760173160175,1070,500
25,87,0.034590093727276255,-0.007198746407009682,29,7475.850000000001,12871.96666666667,1192,500
26,87,0.03341906040747495,-0.0015297463022418967,29,7475.850000000001,12859.057142857146,1246,500
27,87,0.03518007146649076,-0.01043056961070038,29,7475.850000000001,12841.446520146521,1141,500
28,87,0.03369564732491367,-0.005102455993880262,29,7663.183333333334,12879.430952380953,1180,500
29,87,0.03454994401345455,-0.005762833954116087,29,7742.516666666666,12877.021428571428,1214,500
30,87,0.0351878783552893,-0.011382738066485987,29,7730.719696969694,12857.213919413916,1125,500
31,87,0.03610686069387629,-0.008352633609936322,29,7744.391666666667,12873.400000000007,1222,500
32,87,0.03645370961050327,-0.005249422313905683,29,7767.6130952380945,12847.744047619048,1075,500
33,87,0.036187160121519665,-0.010056937561054524,29,7734.391666666667,12870.719413919409,1156,500
34,87,0.03732585061629811,-0.012935472437982154,29,7734.391666666667,12875.07142857143,1119,500
35,87,0.03651170364157897,-0.008537567820280145,29,7737.886363636361,12868.309523809527,1176,500
36,87,0.02619014470749953,-0.00945920194529204,30,7743.966666666668,12858.28333333333,1139,500
37,87,0.03588261710704962,-0.010080367778919297,29,7756.035714285715,12880.25833333333,1113,500
38,87,0.025642283894165292,-0.009175440372032495,30,7764.386363636361,12869.75833333333,1160,500
39,87,0.025917755541775746,-0.006701985284409906,30,7733.721445221445,12868.72063492064,1181,500
40,87,0.02506234358340657,-0.011469113305764833,30,7731.767857142859,12832.366269841272,1174,500
41,87,0.02471103358746625,-0.01348134216125274,30,7731.011363636361,12787.027380952382,1137,500
