origin_csd,origin_dguid,origin_csd_code,dest_csd,workers_total,workers_men,workers_women,pct_all_workers,pct_out_commuters
Chestermere,2021A00054806017,3969.3968,"Calgary (CY), Alta.",4470,2240,2235,71.41,86.04
Chestermere,2021A00054806017,3969.3969,"Chestermere (CY), Alta.",1065,410,650,17.01,
Chestermere,2021A00054806017,3969.3967,"Rocky View County (MD), Alta.",390,245,145,6.23,7.51
Chestermere,2021A00054806017,3969.3945,"Strathmore (T), Alta.",95,35,60,1.52,1.83
Chestermere,2021A00054806017,3969.3971,"Airdrie (CY), Alta.",95,55,50,1.52,1.83
Chestermere,2021A00054806017,3969.4212,"Wood Buffalo (SM), Alta.",70,65,0,1.12,1.35
Chestermere,2021A00054806017,3969.3961,"Foothills County (MD), Alta.",25,15,10,0.40,0.48
Chestermere,2021A00054806017,3969.3944,"Wheatland County (MD), Alta.",20,10,0,0.32,0.38
Chestermere,2021A00054806017,3969.3949,"Drumheller (T), Alta.",10,0,0,0.16,0.19
Chestermere,2021A00054806017,3969.3966,"Okotoks (T), Alta.",10,10,0,0.16,0.19
Chestermere,2021A00054806017,3969.4019,"Red Deer (CY), Alta.",10,0,0,0.16,0.19
