OBJECTID,va_pop_total_est,va_visible_min_est,va_indigenous_est,VA_NUMBER,va_ndp,va_ucp,va_other,pct_visible_min,pct_indigenous
1,0.0,0.0,0.0,024,58.0,132.5,14.5,0.0,0.0
2,0.0,0.0,0.0,046,5.0,62.0,0.0,0.0,0.0
3,0.0,0.0,0.0,003,107.0,61.25,7.0,0.0,0.0
4,0.0,0.0,0.0,048,90.2,21.0,4.6,0.0,0.0
5,0.0,0.0,0.0,018,53.0,73.0,3.0,0.0,0.0
6,0.0,0.0,0.0,039,91.875,29.625,3.875,0.0,0.0
7,0.0,0.0,0.0,027,97.8,102.6,5.4,0.0,0.0
8,0.0,0.0,0.0,028,97.8,102.6,5.4,0.0,0.0
9,0.0,0.0,0.0,013,76.28571428571429,118.14285714285714,7.571428571428571,0.0,0.0
10,0.0,0.0,0.0,047,105.0,99.8,9.0,0.0,0.0
11,0.0,0.0,0.0,046,105.0,99.8,9.0,0.0,0.0
12,0.0,0.0,0.0,010,132.2,78.0,5.0,0.0,0.0
13,0.0,0.0,0.0,009,157.75,76.5,12.0,0.0,0.0
14,0.0,0.0,0.0,038,14.625,114.875,23.875,0.0,0.0
15,0.0,0.0,0.0,048,61.888888888888886,77.55555555555556,4.777777777777778,0.0,0.0
16,0.0,0.0,0.0,002,37.22222222222222,122.22222222222223,4.111111111111111,0.0,0.0
17,0.0,0.0,0.0,003,88.0,86.2,10.2,0.0,0.0
18,0.0,0.0,0.0,017,17.5,233.0,20.5,0.0,0.0
19,0.0,0.0,0.0,017,86.85714285714286,143.57142857142858,6.285714285714286,0.0,0.0
20,0.0,0.0,0.0,004,104.33333333333333,79.33333333333333,7.333333333333333,0.0,0.0
21,0.0,0.0,0.0,047,54.77777777777778,42.111111111111114,1.1111111111111112,0.0,0.0
22,0.0,0.0,0.0,015,92.33333333333333,97.66666666666667,9.333333333333334,0.0,0.0
23,0.0,0.0,0.0,047,44.833333333333336,116.33333333333333,0.0,0.0,0.0
24,0.0,0.0,0.0,052,78.33333333333333,111.16666666666667,9.833333333333334,0.0,0.0
25,0.0,0.0,0.0,051,77.42857142857143,121.14285714285714,8.285714285714286,0.0,0.0
26,0.0,0.0,0.0,019,86.85714285714286,143.57142857142858,6.285714285714286,0.0,0.0
27,0.0,0.0,0.0,018,86.85714285714286,143.57142857142858,6.285714285714286,0.0,0.0
28,0.0,0.0,0.0,048,117.4,130.6,12.6,0.0,0.0
29,0.0,0.0,0.0,011,97.14285714285714,118.14285714285714,5.571428571428571,0.0,0.0
30,0.0,0.0,0.0,022,85.4,123.2,3.8,0.0,0.0
31,0.0,0.0,0.0,005,126.33333333333333,153.83333333333334,6.833333333333333,0.0,0.0
32,0.0,0.0,0.0,044,95.33333333333333,42.666666666666664,5.0,0.0,0.0
33,0.0,0.0,0.0,034,78.8,56.4,3.2,0.0,0.0
34,0.0,0.0,0.0,039,53.166666666666664,88.5,5.5,0.0,0.0
35,0.0,0.0,0.0,073,70.42857142857143,50.0,1.7142857142857142,0.0,0.0
36,0.0,0.0,0.0,011,77.75,80.75,10.75,0.0,0.0
37,0.0,0.0,0.0,021,88.2,115.8,5.6,0.0,0.0
38,0.0,0.0,0.0,048,12.0,128.0,5.0,0.0,0.0
39,0.0,0.0,0.0,009,83.0,84.5,5.0,0.0,0.0
40,0.0,0.0,0.0,032,45.875,159.875,4.75,0.0,0.0
41,0.0,0.0,0.0,002,27.571428571428573,78.28571428571429,3.857142857142857,0.0,0.0
42,0.0,0.0,0.0,009,96.66666666666667,94.0,3.6666666666666665,0.0,0.0
43,0.0,0.0,0.0,029,49.54545454545455,111.9090909090909,0.0,0.0,0.0
44,0.0,0.0,0.0,031,121.33333333333333,197.66666666666666,9.333333333333334,0.0,0.0
45,0.0,0.0,0.0,030,121.33333333333333,197.66666666666666,9.333333333333334,0.0,0.0
46,0.0,0.0,0.0,047,104.88888888888889,75.22222222222223,6.888888888888889,0.0,0.0
47,0.0,0.0,0.0,026,36.0,132.0,8.0,0.0,0.0
