turn_id,timestamp,rows_emitted
hansard_r1-00005,2026-05-10T04:01:08.539793,1
hansard_r1-00064,2026-05-10T04:01:43.878620,1
hansard_r1-00084,2026-05-10T04:02:24.500014,3
hansard_r1-00127,2026-05-10T04:03:07.120729,1
hansard_r1-00130,2026-05-10T04:03:43.179454,1
hansard_r1-00135,2026-05-10T04:04:11.066926,0
hansard_r1-00138,2026-05-10T04:04:31.348596,0
hansard_r1-00146,2026-05-10T04:04:57.719646,1
hansard_r1-00190,2026-05-10T04:05:41.626597,1
hansard_r1-00216,2026-05-10T04:06:08.904642,1
hansard_r1-00235,2026-05-10T04:06:28.466559,2
hansard_r1-00238,2026-05-10T04:06:59.079565,2
hansard_r1-00334,2026-05-10T04:07:24.810316,0
hansard_r1-00519,2026-05-10T04:07:49.383544,1
hansard_r1-00528,2026-05-10T04:08:26.081983,1
hansard_r1-00548,2026-05-10T04:08:52.452225,1
hansard_r1-00552,2026-05-10T04:09:16.230863,1
hansard_r1-00633,2026-05-10T04:10:01.104163,1
hansard_r1-00634,2026-05-10T04:10:15.589366,1
hansard_r1-00702,2026-05-10T04:11:49.772052,2
hansard_r1-00741,2026-05-10T04:13:10.632804,4
hansard_r1-00742,2026-05-10T04:13:35.219056,2
hansard_r1-00744,2026-05-10T04:14:19.618782,3
hansard_r1-00745,2026-05-10T04:14:57.755571,2
hansard_r1-00762,2026-05-10T04:15:41.252474,2
hansard_r1-00767,2026-05-10T04:16:00.114805,0
hansard_r1-00772,2026-05-10T04:16:31.257150,1
hansard_r1-00775,2026-05-10T04:16:53.363949,1
hansard_r1-00808,2026-05-10T04:17:34.433055,2
hansard_r1-00812,2026-05-10T04:19:29.043594,3
hansard_r1-00828,2026-05-10T04:20:33.146682,1
hansard_r1-00857,2026-05-10T04:21:03.155372,1
hansard_r1-00869,2026-05-10T04:21:27.097418,1
hansard_r1-00874,2026-05-10T04:21:51.882741,0
hansard_r1-00912,2026-05-10T04:22:05.841308,0
hansard_r1-00936,2026-05-10T04:22:35.847957,1
hansard_r1-00998,2026-05-10T04:23:16.976946,2
hansard_r1-00999,2026-05-10T04:23:44.525461,1
hansard_r1-01002,2026-05-10T04:24:11.506900,1
hansard_r1-01008,2026-05-10T04:24:35.332230,1
hansard_r1-01011,2026-05-10T04:25:01.839036,1
hansard_r1-01013,2026-05-10T04:25:24.765177,1
hansard_r1-01072,2026-05-10T04:26:22.539271,2
hansard_r1-01119,2026-05-10T04:26:48.336391,1
hansard_r1-01123,2026-05-10T04:27:31.308536,1
hansard_r1-01128,2026-05-10T04:27:57.851030,1
hansard_r1-01190,2026-05-10T04:28:24.874605,1
hansard_r1-01326,2026-05-10T04:28:40.213270,0
hansard_r1-01371,2026-05-10T04:29:04.517888,1
hansard_r1-01396,2026-05-10T04:29:50.281416,1
