origin_csd,origin_dguid,origin_csd_code,dest_csd,workers_total,workers_men,workers_women,pct_all_workers,pct_out_commuters
Innisfail,2021A00054808008,4017.4017,"Innisfail (T), Alta.",1585,710,875,65.50,
Innisfail,2021A00054808008,4017.4019,"Red Deer (CY), Alta.",385,165,220,15.91,46.11
Innisfail,2021A00054808008,4017.4012,"Red Deer County (MD), Alta.",165,100,65,6.82,19.76
Innisfail,2021A00054808008,4017.3979,"Olds (T), Alta.",125,80,50,5.17,14.97
Innisfail,2021A00054808008,4017.4016,"Bowden (T), Alta.",35,20,15,1.45,4.19
Innisfail,2021A00054808008,4017.3968,"Calgary (CY), Alta.",20,15,0,0.83,2.40
Innisfail,2021A00054808008,4017.4018,"Penhold (T), Alta.",20,10,15,0.83,2.40
Innisfail,2021A00054808008,4017.4022,"Lacombe County (MD), Alta.",20,20,0,0.83,2.40
Innisfail,2021A00054808008,4017.4020,"Sylvan Lake (T), Alta.",15,15,0,0.62,1.80
Innisfail,2021A00054808008,4017.4030,"Lacombe (CY), Alta.",15,0,10,0.62,1.80
Innisfail,2021A00054808008,4017.4212,"Wood Buffalo (SM), Alta.",15,15,0,0.62,1.80
Innisfail,2021A00054808008,4017.3976,"Carstairs (T), Alta.",10,0,10,0.41,1.20
Innisfail,2021A00054808008,4017.4029,"Blackfalds (T), Alta.",10,10,0,0.41,1.20
