ed_2026,ucp,ndp,other,n_va_intersections,total
Airdrie-East,7823.486109480588,3643.6689771194283,402.5886468608366,70,11869.743733460853
Airdrie-West,4932.040846260806,2954.8509000628387,240.6118817002292,51,8127.503628023874
Barrhead-Westlock-Athabasca,10473.584655108803,3043.416784258301,186.8780021703157,75,13703.87944153742
Calgary-Acadia,6088.044341451603,5940.343737877119,450.6097349698066,64,12478.997814298527
Calgary-Beddington,5342.827106506993,5116.298639034205,403.5503193915199,59,10862.676064932717
Calgary-Bhullar-McCall,2198.171507841623,3111.303569408201,5.792499645293403e-10,36,5309.475077250404
Calgary-Bow,5883.498803029221,5234.477786527605,378.69442230821534,53,11496.67101186504
Calgary-Buffalo,2493.5607305883304,3812.8840675454235,155.23090738123443,50,6461.675705514989
Calgary-Confluence,5038.924913845933,4794.887955970261,399.9669513881594,79,10233.779821204353
Calgary-Cross,3868.071229919453,4185.084429575345,327.26279663250614,53,8380.418456127303
Calgary-Currie,4639.615975573306,5625.5973800843,541.1208706785355,50,10806.334226336141
Calgary-East,4859.667871086494,4064.957874453851,453.89492039849506,76,9378.520665938842
Calgary-Edgemont,5162.997744113201,5060.807954221326,362.62247691008713,62,10586.428175244613
Calgary-Elbow,5100.763233807137,5204.443385934856,577.5517796766625,55,10882.758399418655
Calgary-Falconridge-Conrich,2374.909648826194,3399.657243781791,148.8047469442446,52,5923.37163955223
Calgary-Fish Creek,8750.78509264184,6474.699396752449,415.96116988653927,77,15641.445659280827
Calgary-Glenmore-Tsuut'ina,6625.898129239674,6221.187932086656,343.30450686275384,63,13190.390568189083
Calgary-Hays,5042.586788501307,3662.3250290022443,239.67473324185517,43,8944.586550745405
Calgary-Klein,5307.874312406876,5679.166867752958,315.44552491624637,58,11302.48670507608
Calgary-Lougheed,6318.066171865868,4695.187715105125,317.283718166943,64,11330.537605137937
Calgary-McKenzie,8432.829681764895,5404.146482299323,459.66099796660296,73,14296.63716203082
Calgary-Mountain View,4179.021734875429,7132.325619371505,280.4749403592576,75,11591.82229460619
Calgary-North,4077.5069797915653,3716.2337917681484,9.02857554521762,42,7802.7693471049315
Calgary-North East,1295.4383727605796,1865.5978503004344,0.0,27,3161.036223061014
Calgary-North West,4753.999965673506,4242.999964737479,464.99999604775627,53,9461.99992645874
Calgary-Nose Creek,3748.9871248662366,3500.11084505264,31.40945288990385,45,7280.507422808781
Calgary-Shaw,5931.628977667494,4101.219254503438,108.29787299789896,55,10141.14610516883
Calgary-South East,4425.330818138589,2861.7022171212966,128.55546009296933,45,7415.588495352855
Calgary-Symons Valley,3605.6462702244135,3547.5069741755083,97.38921275735957,44,7250.542457157282
Calgary-Varsity,5070.50119697078,6832.522213472395,160.30557769178463,56,12063.328988134961
Calgary-West-Elbow Valley,6313.799764857919,4087.6888195469282,165.78314929597138,57,10567.27173370082
Camrose,9149.90264030334,3409.8426118181487,1339.9723738878772,80,13899.717626009366
Canmore-Banff,2481.216514478867,3092.4386054359625,197.24144963949388,42,5770.896569554323
Central Peace-Notley,5988.959049737427,1286.9856101775356,276.9983404095191,55,7552.943000324482
Chestermere-Strathmore,6024.774269230773,2528.2752001468134,262.2061994401166,56,8815.255668817705
Cochrane-Springbank,7698.138226636424,4132.596798136878,352.4536316235409,71,12183.188656396842
Cold Lake-Bonnyville-St. Paul,8280.05726259774,2437.4396491598445,0.0,62,10717.496911757586
Drumheller-Stettler,12036.273255944536,1981.1001491944157,774.2680234447346,78,14791.641428583685
Edmonton-Beaumont,3699.926453105853,3559.8132363697296,142.04278743005543,44,7401.782476905638
Edmonton-Beverly-Clareview,4212.755715422503,5740.7732664293035,392.12509362715116,64,10345.654075478958
Edmonton-Castle Downs,3865.0,4638.0,361.0,50,8864.0
Edmonton-City Centre,1931.4140216191884,6005.654920335868,239.4928473255731,75,8176.5617892806295
Edmonton-Decore,3688.1086161332737,4392.870507123859,553.1173282003551,54,8634.096451457488
Edmonton-Ellerslie,4243.759061142695,5947.10998739549,117.44297046465178,67,10308.312019002837
Edmonton-Enoch,4045.620007010909,4588.548983464848,214.7027340312405,64,8848.871724506997
Edmonton-Glenora-Riverview,4314.919532530508,8427.189939143085,432.60849367151866,69,13174.717965345111
Edmonton-Gold Bar,4023.8611442451693,8647.147421072546,426.5449799276149,61,13097.553545245331
Edmonton-Highlands-Norwood,2222.73048539699,5121.778544051391,279.7815012052487,50,7624.2905306536295
Edmonton-Manning,2971.1356684442226,3786.356226446837,142.7575781724937,48,6900.2494730635535
Edmonton-McClung,4891.221467526828,7276.289145383407,382.66516236300237,71,12550.175775273237
Edmonton-Meadows,1986.8350754807616,3386.512259947156,86.92002427467676,37,5460.267359702594
Edmonton-Mill Woods,4642.444651061964,7101.349657999002,71.04935790385731,70,11814.843666964824
Edmonton-North West,3828.7101336758415,5401.627785288296,231.96157075247896,49,9462.299489716617
Edmonton-Rutherford,4071.495546090106,7017.439261869158,396.7637640290709,65,11485.698571988334
Edmonton-South,3069.782937579762,4200.716544631628,137.439904658239,64,7407.939386869629
Edmonton-Strathcona,2222.7651696493604,8268.629672142672,368.73305715444445,56,10860.127898946477
Edmonton-West Henday,4976.32718987625,6721.2024588568065,556.495336839611,60,12254.024985572667
Edmonton-Whitemud,4617.089132574682,6268.5353495520385,332.6578060030931,61,11218.282288129814
Edmonton-Windermere,2675.020414205895,3202.9482222657266,83.11854099711428,54,5961.087177468736
Fort McMurray-Lac La Biche,5559.214537120748,1625.2006008110025,121.86525502457806,52,7306.280392956328
Fort McMurray-Wood Buffalo,3920.843769539571,1102.652420723415,665.134744975422,39,5688.630935238408
Fort Saskatchewan-Vegreville,7985.431280372213,4469.1881646364645,690.497723939138,71,13145.117168947814
Grande Prairie,6554.334629109957,2638.5578223255543,465.73140056536687,48,9658.623852000877
Grande Prairie-Wapiti,9945.665370890043,2274.4421776744457,440.26859943463313,69,12660.376147999123
High River-Vulcan-Siksika,8771.508975040293,2613.7636258888897,864.0160915901973,94,12249.288692519382
Lacombe-Clearwater,8642.773204034562,2021.7182936780564,1734.8284648515335,78,12399.31996256415
Leduc-Devon,8513.830173242712,4143.73556994273,548.789458837229,76,13206.35520202267
Lesser Slave Lake,3349.195452317131,1633.0368070701913,76.00000000128209,59,5058.232259388605
Lethbridge-East,6153.404920352201,5016.520545921637,310.08870813597844,68,11480.014174409816
Lethbridge-West,4876.595079647799,5010.479454078363,408.91129186402156,49,10295.985825590184
Livingstone-Macleod,8293.168247072592,2574.9325370236975,713.5526949235513,74,11581.65347901984
Lloydminster-Wainwright,8789.69856354493,1758.4428248678971,946.8635502688409,61,11495.004938681668
Medicine Hat-Brooks,7609.0,3032.0,704.0,67,11345.0
Medicine Hat-Cypress,8685.752497186699,4676.760399549872,439.31107254312934,53,13801.8239692797
Mountain View-Kneehill,10314.329268270225,2279.4139385966496,1093.806168417094,60,13687.549375283968
Okotoks-Diamond Valley,8993.898952292833,3403.802775529105,337.7478134446821,76,12735.449541266622
Peace River,4072.0409502285975,1531.0143898218232,276.0016595891988,64,5879.056999639619
Red Deer-North,6098.0,3530.0,454.0,49,10082.0
Red Deer-South,8377.0,5665.0,369.0,58,14411.0
Sherwood Park,6543.112890753029,6516.348907740439,901.8445411106396,56,13961.306339604109
Spruce Grove,7010.533747093869,4405.3338443613975,380.23848940718153,64,11796.106080862448
St. Albert,6544.0,8170.0,352.0,64,15066.0
St. Albert-Sturgeon,8009.839129522099,5113.634466366315,483.9849323341169,71,13607.45852822253
Stony Plain-Drayton Valley,10130.896697821889,3356.583635148593,570.8379457424063,81,14058.318278712888
Strathcona-Sherwood Park,8156.329189514007,5979.9305384035215,444.1444170341867,61,14580.404144951715
Sylvan Lake-Innisfail,9603.544162113365,2649.2089866886986,849.8256277127075,78,13102.57877651477
Taber-Cardston,7711.2413128777835,1296.4352789994946,967.8265013320365,67,9975.503093209314
West Yellowhead,9172.478651961408,2829.45006206482,71.71597160794315,73,12073.64468563417
Wetaskiwin-Ponoka-Maskwacis,8304.028606690918,2827.9382593450996,1117.6426717056447,74,12249.60953774166
