ed_2026,ucp,ndp,other,n_va_intersections,total
Airdrie-East,6708.628587355866,3560.7372685280798,335.7856022319295,75,10605.151458115875
Barrhead-Westlock-Athabasca,8628.622530004664,2598.313047242097,12.998227301186935,54,11239.933804547947
Calgary-Acadia,5756.164361905063,5612.812019148723,457.827609583276,56,11826.803990637061
Calgary-Airdrie,4619.685607420734,3661.3249095958986,101.5699519701495,59,8382.580468986784
Calgary-Beddington,6092.094531223907,5768.2767718926825,391.1379102920288,72,12251.509213408619
Calgary-Bow-Springbank,6824.901796890914,4833.72352049933,292.21060259456357,82,11950.835919984807
Calgary-Buffalo,2708.0322125355897,4101.857971069248,166.60208150865245,72,6976.49226511349
Calgary-Cross,4969.186855515813,4321.16751410247,400.00973150497936,75,9690.364101123261
Calgary-Currie,4770.525371748815,5710.91993277948,564.5912607091166,79,11046.036565237411
Calgary-De Winton,5680.286304724814,3285.45596882546,158.4477243474374,72,9124.18999789771
Calgary-East,4777.723575876739,3847.7891766088937,395.1224351771098,78,9020.635187662743
Calgary-Edgemont,5575.811191806591,5116.326397312933,304.61957009688854,79,10996.757159216413
Calgary-Elbow,5115.229277249923,6004.288148384961,550.0381769208084,77,11669.555602555693
Calgary-Falconridge,3635.0292954941965,4547.67649361001,348.1985164166925,68,8530.904305520899
Calgary-Fish Creek,8976.7706164705,6798.566687958079,396.1661350371096,82,16171.503439465687
Calgary-Foothills-Airdrie West,4431.753120378613,3485.893606931443,154.55366632151532,70,8072.200393631571
Calgary-Glenmore,6643.968721360878,6077.344936933104,282.9906391214112,65,13004.304297415392
Calgary-Hays,4980.66039732981,3588.5809731899767,233.10994185446225,50,8802.351312374249
Calgary-Klein,5881.566565375772,6971.255194219768,306.8255201472816,76,13159.647279742821
Calgary-Lougheed,5883.483740563725,4221.093000903276,324.16121363694253,64,10428.737955103943
Calgary-McCall-Bhullar,2728.7131387564223,3867.2515067148474,14.435717706722729,68,6610.400363177992
Calgary-Mountainview,4828.576965426804,8073.768253063221,296.6566788158631,103,13199.001897305889
Calgary-Nolan Hill-Cochrane,6183.501932269023,3900.14205167424,331.91722113249955,70,10415.561205075765
Calgary-North,3613.652857778914,3285.99508912976,0.2903604199426336,56,6899.938307328616
Calgary-North East,1762.7978819802963,2493.199659333567,0.004046790416737534,34,4256.00158810428
Calgary-North West-Bearspaw,5558.11702513395,4653.347646666192,494.2307041473942,82,10705.695375947536
Calgary-Peigan-Chestermere,6943.176791245478,4941.104915200645,485.4462190401683,87,12369.727925486291
Calgary-South,6654.057247657262,3976.2119802997277,193.64590171235108,72,10823.91512966934
Calgary-South East,4472.156293102338,2866.7692868716285,132.06397031058845,51,7470.989550284555
Calgary-Varsity,5628.96321038447,7109.706391270492,374.22092118201425,84,13112.890522836975
Calgary-West-Tsuut'ina,6281.098237813033,4343.900290790084,253.15666507517838,88,10878.155193678296
Camrose,8234.068451332369,2971.822621998888,1310.4615733518267,66,12516.352646683084
Canmore-Kananaskis,4952.222698237925,3505.3011910296404,373.10734464961126,78,8830.631233917178
Central Peace-Notley,6364.727166424175,1338.5357701234605,295.73868471189274,60,7999.001621259528
Chestermere-Strathmore,5959.745731126272,2425.253150027304,275.68858873214964,58,8660.687469885726
Cold Lake-Bonnyville-St. Paul,8280.08919412249,2437.453786187455,0.0,63,10717.542980309947
Drumheller-Stettler,10975.92298358546,1839.9213616071543,540.3719242186492,70,13356.216269411263
Edmonton-Beaumont,3699.926453105853,3559.8132363697296,142.04278743005543,44,7401.782476905638
Edmonton-Beverly-Clareview,4212.726405435069,5740.73804085132,392.1235336889216,63,10345.587979975311
Edmonton-Castledowns,3865.0,4638.0,361.0,50,8864.0
Edmonton-City Centre,1931.4140216201413,6005.654920338067,239.49284732566315,75,8176.561789283872
Edmonton-Decore,3688.1133511404587,4392.875803911557,553.1179541843559,54,8634.107109236373
Edmonton-Ellerslie,4243.181854180368,5946.278811840232,117.42437157742027,67,10306.885037598022
Edmonton-Enoch-Devon,5342.279183324516,4456.9730389023525,283.44422207669805,66,10082.696444303567
Edmonton-Glenora-Riverview,4519.867563274003,8713.769764045523,464.8485605972778,71,13698.485887916804
Edmonton-Gold Bar,4023.8611442451693,8647.147421072546,426.5449799276149,61,13097.553545245331
Edmonton-Highlands-Norwood,2222.73048539699,5121.778544051391,279.7815012052487,50,7624.2905306536295
Edmonton-Manning,2971.160243424473,3786.3861552371222,142.75851212672254,48,6900.304910788318
Edmonton-McClung,4891.221467526828,7276.289145383407,382.66516236300237,71,12550.175775273237
Edmonton-Meadows,1987.4122824430954,3387.3434355024237,86.93862316190845,37,5461.694341107427
Edmonton-Mill Woods,4642.444651061958,7101.349657998993,71.04935790385714,70,11814.843666964809
Edmonton-North West,3828.5708056431595,5401.448875428147,231.9430992329946,49,9461.9627803043
Edmonton-Rutherford,4071.495546090106,7017.439261869158,396.7637640290709,65,11485.698571988334
Edmonton-South,3069.783605590253,4200.7169256845655,137.43995737834766,64,7407.940488653166
Edmonton-Spruce Grove,6828.9925425361125,4906.457927332991,357.6351800885058,61,12093.08564995761
Edmonton-Strathcona,2222.722413731257,8268.550987333436,368.72901562339445,56,10860.002416688087
Edmonton-West Henday,4889.92986791518,6670.617954040166,548.044002511142,65,12108.591824466488
Edmonton-Whitemud,4617.131888492786,6268.614034361274,332.66184753414313,61,11218.407770388205
Edmonton-Windermere,2675.020414205895,3202.9482222657266,83.11854099711428,54,5961.087177468736
Fort McMurray-Lac La Biche,4505.707412339282,1225.8307609932438,117.00177343550729,43,5848.539946768033
Fort McMurray-Wood Buffalo,3679.0,1029.0,657.0,36,5365.0
Fort Saskatchewan-Vegreville,7971.246885665503,4461.9283756882405,689.222986705278,71,13122.39824805902
Grande Prairie,6485.0,2614.0,462.0,45,9561.0
Grande Prairie-Wapiti,9639.231883313278,2247.44984005409,425.25965569762735,67,12311.941379064996
Highwood,7795.818203966382,3047.2905565657084,397.8987751600903,74,11241.00753569218
Lac Ste Anne-Parkland,9387.62602570515,3175.093890085314,506.40781800701353,88,13069.127733797479
Leduc,7096.226462429435,3633.761532433521,444.4539069647773,66,11174.441901827735
Lesser Slave Lake,3456.6914047389782,1655.0306349115567,75.99982015496937,60,5187.721859805504
Lethbridge-Cardston,6066.606988275163,3108.955568407472,775.3210581564988,69,9950.883614839133
Lethbridge-Fort Macleod-Crowsnest Pass,7227.2460496154745,3813.0577000934145,720.6356619070763,69,11760.939411615964
Lethbridge-Little Bow,7493.632377302989,4040.2535765932007,509.9404140583814,81,12043.82636795457
Lethbridge-Taber-Warner,7613.626087761861,3433.032515409392,640.3820826995827,84,11687.040685870836
Lloydminster-Wainwright,8489.00180277691,1717.5007981424988,901.5,59,11108.002600919408
Medicine Hat-Brooks,7609.0,3032.0,704.0,67,11345.0
Medicine Hat-Cypress,9752.967620514442,4811.069772285995,525.249483652357,62,15089.286876452794
Olds-Three Hills-Didsbury,10519.542483074054,2353.192127496449,867.8874245109671,60,13740.622035081471
Peace River,4072.044906853218,1531.0205405225092,276.00183943551053,65,5879.067286811238
Red Deer-Blackfalds,7493.224146647595,3412.222566104034,682.2618638034799,74,11587.70857655511
Red Deer-Innisfail,8794.938644270655,4569.0689595524655,414.76998399518254,71,13778.777587818302
Red Deer-Lacombe,7713.850346265077,2650.378842377678,1083.691753364857,84,11447.920942007613
Red Deer-Sylvan Lake,7572.048875067651,3199.0901927086193,599.6529629478903,82,11370.79203072416
Rocky Mountain House-Banff Park,5900.307629977061,1375.758010772183,1333.7733468899874,62,8609.838987639232
Sherwood Park,6919.044616871195,6775.712461353518,936.767085241838,60,14631.52416346655
Sherwood Park-Strathcona,8469.445418524456,6018.3742392431595,504.6150387154577,61,14992.434696483073
St Albert,5838.93981013223,7492.53502783633,311.56909968554703,62,13643.043937654107
St Albert-Sturgeon,7657.014341464889,5141.468490932691,488.30939315207473,68,13286.792225549654
Stony Plain-Drayton Valley,8841.51350086557,2520.0449388939164,578.441760956021,81,11940.000200715507
West Yellowhead,7340.572606163435,2454.7517140546443,0.0,59,9795.324320218078
Wetaskiwin-Ponoka-Maskwacis,6784.184811424782,2538.845710943805,942.0141509677578,60,10265.044673336344
