metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95
efficiency_gap,2019 enacted (full),0.024134996721106704,73.58,-0.0052750204139439,0.014597965415988,0.038143314955489
efficiency_gap,majority 2026 (full coverage),0.024134996721106704,73.58,-0.0052750204139439,0.014597965415988,0.038143314955489
efficiency_gap,minority 2026 v6 (full coverage),0.05862676082518076,100.0,-0.0052750204139439,0.014597965415988,0.038143314955489
mean_median,2019 enacted (full),-0.007671760176883757,96.1,-0.03218967576162841,-0.019544647727506602,-0.008754270562879505
mean_median,majority 2026 (full coverage),-0.007671760176883757,96.1,-0.03218967576162841,-0.019544647727506602,-0.008754270562879505
mean_median,minority 2026 v6 (full coverage),-0.008422558601740904,95.35,-0.03218967576162841,-0.019544647727506602,-0.008754270562879505
declination,2019 enacted (full),-0.04509237880431511,7.61,-0.04887506844003606,0.00417594428975125,0.044994053084670485
declination,majority 2026 (full coverage),-0.04509237880431511,7.61,-0.04887506844003606,0.00417594428975125,0.044994053084670485
declination,minority 2026 v6 (full coverage),-0.06518771880567283,2.44,-0.04887506844003606,0.00417594428975125,0.044994053084670485
seats_at_50_50,2019 enacted (full),0.45977011494252873,89.72,0.425287356321839,0.4482758620689655,0.4712643678160919
seats_at_50_50,majority 2026 (full coverage),0.45977011494252873,89.72,0.425287356321839,0.4482758620689655,0.4712643678160919
seats_at_50_50,minority 2026 v6 (full coverage),0.4642857142857143,89.72,0.425287356321839,0.4482758620689655,0.4712643678160919
