metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95,n_ensemble
efficiency_gap,2019 enacted (full),0.024119940578423545,73.366,-0.0096530946439604,0.0148631102765353,0.03943994061312091,100000
efficiency_gap,majority 2026 (full coverage),0.024119940578423545,73.366,-0.0096530946439604,0.0148631102765353,0.03943994061312091,100000
efficiency_gap,minority 2026 v6 (full coverage),0.035864847141117324,92.105,-0.0096530946439604,0.0148631102765353,0.03943994061312091,100000
mean_median,2019 enacted (full),-0.007671760176883757,92.66,-0.03125510456654778,-0.01911215949935335,-0.006095613807177869,100000
mean_median,majority 2026 (full coverage),-0.00766964936075476,92.662,-0.03125510456654778,-0.01911215949935335,-0.006095613807177869,100000
mean_median,minority 2026 v6 (full coverage),-0.0009301349063708386,98.763,-0.03125510456654778,-0.01911215949935335,-0.006095613807177869,100000
declination,2019 enacted (full),-0.04509237880431511,7.19,-0.05029823693474519,0.0032950607766048497,0.05602443882944572,100000
declination,majority 2026 (full coverage),-0.04659474896803661,6.306,-0.05029823693474519,0.0032950607766048497,0.05602443882944572,100000
declination,minority 2026 v6 (full coverage),-0.0704058308129219,1.562,-0.05029823693474519,0.0032950607766048497,0.05602443882944572,100000
seats_at_50_50,2019 enacted (full),0.45977011494252873,80.908,0.425287356321839,0.4482758620689655,0.4827586206896552,100000
seats_at_50_50,majority 2026 (full coverage),0.4588235294117647,57.862,0.425287356321839,0.4482758620689655,0.4827586206896552,100000
seats_at_50_50,minority 2026 v6 (full coverage),0.4823529411764706,94.268,0.425287356321839,0.4482758620689655,0.4827586206896552,100000
