metric,map,real_value,multichain_percentile,canonical_50k_percentile,drift_pp,pool_size,r_hat_max,ess_min
efficiency_gap,minority 2026 canonical,0.04019385991913548,93.94,94.218,0.28,5001,1.0099,643
efficiency_gap,majority 2026 canonical,0.0009823668405000681,14.48,14.972,0.49,5001,1.0099,643
efficiency_gap,2019 enacted,0.024119940578423545,67.95,69.045,1.10,5001,1.0099,643
mean_median,minority 2026 canonical,0.010401768621624785,99.94,99.985,0.05,5001,1.0099,643
mean_median,majority 2026 canonical,-0.036190901059016234,0.84,0.848,0.01,5001,1.0099,643
mean_median,2019 enacted,-0.007671760176883757,90.66,92.052,1.39,5001,1.0099,643
declination,minority 2026 canonical,-0.07700256493469557,1.10,1.027,0.07,5001,1.0099,643
declination,majority 2026 canonical,0.026675251362353544,80.24,80.631,0.39,5001,1.0099,643
declination,2019 enacted,-0.04509237880431511,9.60,9.423,0.18,5001,1.0099,643
seats_at_50_50,minority 2026 canonical,0.5168539325842697,99.98,100.0,0.02,5001,1.0099,643
seats_at_50_50,majority 2026 canonical,0.4606741573033708,77.86,78.628,0.77,5001,1.0099,643
seats_at_50_50,2019 enacted,0.45977011494252873,77.86,78.628,0.77,5001,1.0099,643
