current_2019,proposed_2026,type,source
Airdrie-Cochrane,Calgary-Airdrie,split_primary,"reall_multi (split_primary_largest, opts=2)"
Airdrie-East,Airdrie East,rename,gpkg_parents (rename)
Athabasca-Barrhead-Westlock,Barrhead-Westlock-Athabasca,rename,reall_single (rename_or_split_primary)
Banff-Kananaskis,Canmore-Kananaskis,rename,gpkg_parents (rename)
Bonnyville-Cold Lake-St. Paul,Cold Lake-Bonnyville-St. Paul,rename,reall_single (rename_or_split_primary)
Brooks-Medicine Hat,Medicine Hat-Brooks,rename,gpkg_parents (rename)
Calgary-Acadia,Calgary-Acadia,identity,gpkg_parents (identity)
Calgary-Beddington,Calgary-Beddington,identity,gpkg_parents (identity)
Calgary-Bow,Calgary-Bow-Springbank,rename,hybrid_xwalk (hybrid)
Calgary-Buffalo,Calgary-Buffalo,identity,gpkg_parents (identity)
Calgary-Cross,Calgary-Cross,identity,gpkg_parents (identity)
Calgary-Currie,Calgary-Currie,identity,gpkg_parents (identity)
Calgary-East,Calgary-East,identity,gpkg_parents (identity)
Calgary-Edgemont,Calgary-Edgemont,identity,gpkg_parents (identity)
Calgary-Elbow,Calgary-Elbow,identity,gpkg_parents (identity)
Calgary-Falconridge,Calgary-Falconridge,identity,gpkg_parents (identity)
Calgary-Fish Creek,Calgary-Fish Creek,identity,gpkg_parents (identity)
Calgary-Foothills,Calgary-Foothills-Airdrie West,rename,hybrid_xwalk (hybrid)
Calgary-Glenmore,Calgary-Glenmore,identity,gpkg_parents (identity)
Calgary-Hays,Calgary-Hays,identity,gpkg_parents (identity)
Calgary-Klein,Calgary-Klein,identity,gpkg_parents (identity)
Calgary-Lougheed,Calgary-Lougheed,identity,gpkg_parents (identity)
Calgary-McCall,Calgary-McCall-Bhullar,rename,hybrid_xwalk (hybrid)
Calgary-Mountain View,Calgary-Mountain View,identity,gpkg_parents (identity)
Calgary-North,Calgary-North,identity,gpkg_parents (identity)
Calgary-North East,Calgary-North East,identity,gpkg_parents (identity)
Calgary-North West,Calgary-North West-Bearspaw,rename,hybrid_xwalk (hybrid)
Calgary-Peigan,Calgary-Peigan-Chestermere,rename,hybrid_xwalk (hybrid)
Calgary-Shaw,Calgary-De Winton,rename,gpkg_parents (rename)
Calgary-South East,Calgary-South East,identity,gpkg_parents (identity)
Calgary-Varsity,Calgary-Varsity,identity,gpkg_parents (identity)
Calgary-West,Calgary-West-Tsuut'ina,rename,hybrid_xwalk (hybrid)
Camrose,Camrose,identity,gpkg_parents (identity)
Cardston-Siksika,Lethbridge-Cardston,rename,gpkg_parents (rename)
Central Peace-Notley,Central Peace-Notley,identity,gpkg_parents (identity)
Chestermere-Strathmore,Chestermere-Strathmore,identity,gpkg_parents (identity)
Cypress-Medicine Hat,Medicine Hat-Cypress,rename,gpkg_parents (rename)
Drayton Valley-Devon,Stony Plain-Drayton Valley,rename,gpkg_parents (rename)
Drumheller-Stettler,Drumheller-Stettler,identity,gpkg_parents (identity)
Edmonton-Beverly-Clareview,Edmonton-Beverly-Clareview,identity,gpkg_parents (identity)
Edmonton-Castle Downs,Edmonton-Castledowns,rename,gpkg_parents (rename)
Edmonton-City Centre,Edmonton-City Centre,identity,gpkg_parents (identity)
Edmonton-Decore,Edmonton-Decore,identity,gpkg_parents (identity)
Edmonton-Ellerslie,Edmonton-Ellerslie,identity,gpkg_parents (identity)
Edmonton-Glenora,Edmonton-Glenora-Riverview,rename,hybrid_xwalk (hybrid)
Edmonton-Gold Bar,Edmonton-Gold Bar,identity,gpkg_parents (identity)
Edmonton-Highlands-Norwood,Edmonton-Highlands-Norwood,identity,gpkg_parents (identity)
Edmonton-Manning,Edmonton-Manning,identity,gpkg_parents (identity)
Edmonton-McClung,Edmonton-McClung,identity,gpkg_parents (identity)
Edmonton-Meadows,Edmonton-Meadows,identity,gpkg_parents (identity)
Edmonton-Mill Woods,Edmonton-Mill Woods,identity,gpkg_parents (identity)
Edmonton-North West,Edmonton-North West,identity,gpkg_parents (identity)
Edmonton-Riverview,Edmonton-Glenora-Riverview,rename,reall_single (rename_or_split_primary)
Edmonton-Rutherford,Edmonton-Rutherford,identity,gpkg_parents (identity)
Edmonton-South,Edmonton-South,identity,gpkg_parents (identity)
Edmonton-South West,Edmonton-Windermere,rename,gpkg_parents (rename)
Edmonton-Strathcona,Edmonton-Strathcona,identity,gpkg_parents (identity)
Edmonton-West Henday,Edmonton-West Henday,identity,gpkg_parents (identity)
Edmonton-Whitemud,Edmonton-Whitemud,identity,gpkg_parents (identity)
Fort McMurray-Lac La Biche,Fort McMurray-Lac La Biche,identity,gpkg_parents (identity)
Fort McMurray-Wood Buffalo,Fort McMurray-Wood Buffalo,identity,gpkg_parents (identity)
Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville,identity,gpkg_parents (identity)
Grande Prairie,Grande Prairie,identity,gpkg_parents (identity)
Grande Prairie-Wapiti,Grande Prairie-Wapiti,identity,gpkg_parents (identity)
Highwood,Calgary-De Winton,rename,gpkg_parents (rename)
Innisfail-Sylvan Lake,Red Deer-Sylvan Lake,rename,gpkg_parents (rename)
Lac Ste. Anne-Parkland,Lac Ste. Anne-Parkland,identity,gpkg_parents (identity)
Lacombe-Ponoka,Red Deer-Lacombe,rename,gpkg_parents (rename)
Leduc-Beaumont,Leduc,rename,gpkg_parents (rename)
