ed_name,ndp,ucp,other,n_vas,pop_census,ndp_share
Airdrie-East,3706.8333333333335,8032.666666666667,414.33333333333337,59,53809,0.315757
Airdrie-West,2949.6666666666665,4897.666666666667,238.0,46,48145,0.375881
Barrhead-Westlock-Athabasca,3060.0,10613.0,181.5,61,52249,0.223799
Calgary-Acadia,5957.0,6107.0,448.0,55,55789,0.493783
Calgary-Beddington,5098.0,5320.0,402.0,54,56024,0.489345
Calgary-Bhullar-McCall,2959.913636363636,2080.7454545454543,0.0,27,55887,0.587208
Calgary-Bow,5275.0,5923.0,382.0,53,54982,0.471066
Calgary-Buffalo,3742.111111111111,2479.777777777778,154.88888888888889,45,58777,0.601443
Calgary-Confluence,4766.125,5016.75,396.25,64,58632,0.487191
Calgary-Cross,4244.0,3943.0,334.0,50,59491,0.518383
Calgary-Currie,5625.0,4639.0,541.0,49,58111,0.548032
Calgary-East,4040.875,4809.916666666667,453.75,63,58308,0.456555
Calgary-Edgemont,5060.6,5162.8,362.6,54,55141,0.495002
Calgary-Elbow,5250.138888888889,5085.222222222223,565.3611111111111,53,55297,0.507978
Calgary-Falconridge-Conrich,3540.45,2475.4666666666667,148.0,37,56661,0.588514
Calgary-Fish Creek,6515.666666666666,8807.0,420.0,64,55403,0.425231
Calgary-Glenmore-Tsuut'ina,6250.75,6654.0,359.75,55,56970,0.484376
Calgary-Hays,3596.0,4965.0,233.0,40,52147,0.420044
Calgary-Klein,5777.5,5374.5,319.0,50,56292,0.518069
Calgary-Lougheed,4720.333333333333,6343.0,317.0,51,59554,0.426665
Calgary-McKenzie,5410.0,8443.0,460.0,60,62772,0.390529
Calgary-Mountain View,7036.5,4112.5,277.0,66,54396,0.631133
Calgary-North,3657.7428571428572,4016.1428571428573,9.028571428571428,39,57945,0.476648
Calgary-North East,1865.6363636363637,1295.4545454545455,0.0,23,54541,0.590188
Calgary-North West,4243.0,4754.0,465.0,53,52488,0.471602
Calgary-Nose Creek,3577.4285714285716,3833.8571428571427,33.0,38,55155,0.4827
Calgary-Shaw,4065.0,5888.0,107.0,47,58171,0.40842
Calgary-South East,2852.0,4410.0,128.0,36,53551,0.392729
Calgary-Symons Valley,3547.2285714285713,3605.2,97.37142857142857,39,54797,0.495947
Calgary-Varsity,6792.0,5031.0,157.0,52,57166,0.574473
