ed_name,ndp,ucp,other,n_vas,pop_census,ndp_share
Airdrie-East,3522.866666666667,6548.7,321.56666666666666,57,50797,0.349783
Barrhead-Westlock-Athabasca,2575.5454545454545,8572.90909090909,14.0,48,46892,0.231023
Calgary-Acadia,5614.2,5765.6,458.4,53,53346,0.493348
Calgary-Airdrie,3712.964285714286,4804.428571428572,108.75,48,58820,0.435927
Calgary-Beddington,5767.0,6094.0,392.0,57,61320,0.486215
Calgary-Bow-Springbank,5001.85,7048.933333333333,304.1166666666667,55,55560,0.415064
Calgary-Buffalo,4075.111111111111,2697.777777777778,165.88888888888889,52,66801,0.60168
Calgary-Cross,4445.142857142857,5102.880952380952,404.95238095238096,58,63064,0.465556
Calgary-Currie,5687.0,4755.0,563.6666666666666,51,60141,0.544627
Calgary-De Winton,3217.314393939394,5584.756818181818,155.2409090909091,44,47732,0.365518
Calgary-East,3896.732142857143,4836.785714285714,397.9642857142857,61,57107,0.446181
Calgary-Edgemont,5102.0,5561.0,303.0,59,56584,0.478477
Calgary-Elbow,6061.438888888889,5139.622222222222,552.7944444444445,58,59034,0.541149
Calgary-Falconridge,4422.733333333334,3540.3333333333335,342.21666666666664,51,63986,0.555406
Calgary-Fish Creek,6809.0,8977.0,397.0,63,57894,0.431332
Calgary-Foothills-Airdrie West,3469.254761904762,4235.942857142857,145.78333333333333,42,58436,0.450249
Calgary-Glenmore,6126.25,6693.0,284.25,52,53096,0.477895
Calgary-Hays,3596.0,4965.0,233.0,40,52395,0.420044
Calgary-Klein,6881.666666666667,5800.666666666667,301.3333333333333,54,61817,0.542618
Calgary-Lougheed,4257.833333333333,5942.3,326.1,50,56122,0.417429
Calgary-McCall-Bhullar,3832.0545454545454,2723.056818181818,18.2,38,66474,0.58459
Calgary-Mountainview,8143.333333333333,4889.333333333333,299.6666666666667,74,62634,0.62484
Calgary-Nolan Hill-Cochrane,3739.154761904762,5997.785714285715,318.82142857142856,54,56282,0.384017
Calgary-North,3239.5714285714284,3566.1428571428573,0.0,35,56981,0.476008
Calgary-North East,2576.5454545454545,1824.4431818181818,0.0,27,68145,0.585447
Calgary-North West-Bearspaw,4568.238095238095,5457.0,489.42857142857144,60,57246,0.455674
Calgary-Peigan-Chestermere,4887.258333333333,6995.9,487.23333333333335,57,52639,0.411276
Calgary-South,4027.4545454545455,6750.272727272727,196.27272727272728,48,55134,0.373683
Calgary-South East,2899.75,4555.25,137.0,37,54045,0.388967
Calgary-Varsity,7070.5,5584.166666666667,370.8333333333333,61,64932,0.558727
Calgary-West-Tsuut'ina,4275.4,6171.4,248.8,53,57827,0.409255
Camrose,2942.0,8159.833333333333,1301.3333333333333,61,48536,0.265001
Canmore-Kananaskis,3659.2134502923977,5132.175438596491,383.64619883040933,62,49542,0.416227
Central Peace-Notley,1333.0,6320.0,294.0,51,30446,0.17418
Chestermere-Strathmore,2329.7833333333333,5659.35,263.43333333333334,44,52982,0.291619
Cold Lake-Bonnyville-St. Paul,2437.4545454545455,8280.09090909091,0.0,62,55713,0.227427
Drumheller-Stettler,1860.0,11060.0,550.0,63,51370,0.143963
Edmonton-Beaumont,3615.0142857142855,3724.342857142857,142.18571428571428,34,55802,0.492552
Edmonton-Beverly-Clareview,5639.066666666667,4073.733333333333,385.4166666666667,53,57481,0.580581
Edmonton-Castledowns,4638.0,3865.0,361.0,50,59612,0.545455
Edmonton-City Centre,5877.383333333333,1876.4166666666667,229.7,67,57312,0.758
Edmonton-Decore,4386.6,3688.6,553.0,53,57959,0.543219
Edmonton-Ellerslie,5961.966666666667,4261.933333333333,118.03333333333333,50,59760,0.58314
Edmonton-Enoch-Devon,4291.555555555556,5016.277777777777,271.22222222222223,51,55043,0.461069
Edmonton-Glenora-Riverview,8959.016666666666,4653.083333333333,483.6,58,59708,0.658166
Edmonton-Gold Bar,8899.25,4077.7,436.8,60,54981,0.685774
Edmonton-Highlands-Norwood,5122.2,2223.0,279.8,47,51806,0.697353
Edmonton-Manning,3894.3333333333335,3109.6666666666665,149.58333333333334,47,56901,0.556016
Edmonton-McClung,7272.4,4888.5,382.4,58,61859,0.598015
Edmonton-Meadows,3419.583333333333,2013.9166666666667,87.66666666666667,29,56880,0.629352
Edmonton-Mill Woods,7092.75,4629.75,71.0,54,59673,0.605054
Edmonton-North West,5402.0,3829.0,232.0,49,61226,0.585202
Edmonton-Rutherford,7011.0,4062.0,396.5,55,58082,0.633162
Edmonton-South,4012.342857142857,2927.0920634920635,131.60476190476192,46,60775,0.578194
Edmonton-Spruce Grove,4914.071428571428,6860.857142857143,357.92857142857144,53,59524,0.417333
Edmonton-Strathcona,8030.75,2177.3,359.2,52,56165,0.786708
Edmonton-West Henday,6585.5,4846.5,543.0,52,62510,0.576058
Edmonton-Whitemud,6304.666666666667,4655.0,333.6666666666667,55,60347,0.575261
Edmonton-Windermere,3314.190476190476,2766.3079365079366,87.02857142857142,48,56944,0.545052
Fort McMurray-Lac La Biche,1221.0,4433.0,116.0,41,44719,0.215953
Fort McMurray-Wood Buffalo,1029.0,3679.0,657.0,36,46721,0.218564
Fort Saskatchewan-Vegreville,4422.0,7777.0,678.0,67,54274,0.362489
Grande Prairie,2614.0,6485.0,462.0,45,50352,0.287284
Grande Prairie-Wapiti,2253.0,9684.0,427.0,67,52041,0.188741
Highwood,3026.1842769803297,7719.495015948964,395.2401648059543,62,54375,0.281619
Lac Ste Anne-Parkland,3182.3809523809523,9733.261904761905,518.2857142857143,65,47017,0.246397
Leduc,3802.013492063492,7612.462698412698,483.00873015873015,54,52328,0.333087
Lesser Slave Lake,1658.0,3467.5,76.0,55,30011,0.323481
Lethbridge-Cardston,3112.3488095238095,6026.253571428571,771.2904761904762,59,51831,0.340572
Lethbridge-Fort Macleod-Crowsnest Pass,3828.8416666666667,7356.175,728.4,58,54564,0.342319
Lethbridge-Little Bow,3950.121212121212,7490.477272727273,518.8484848484849,70,56212,0.345272
Lethbridge-Taber-Warner,3506.938311688312,7548.427489177489,626.711038961039,71,60906,0.317216
Lloydminster-Wainwright,1748.0,8664.0,911.0,59,49365,0.167883
Medicine Hat-Brooks,3032.0,7609.0,704.0,67,54898,0.284936
Medicine Hat-Cypress,4816.75,9796.666666666666,530.25,60,60690,0.329611
Olds-Three Hills-Didsbury,2369.2,10603.5,870.9,49,49436,0.18263
Peace River,1531.0,4072.0,276.0,60,43408,0.273246
Red Deer-Blackfalds,3272.516666666667,7153.171428571429,661.85,49,52827,0.31389
Red Deer-Innisfail,4657.422222222222,8959.2,423.1777777777778,57,52961,0.342039
Red Deer-Lacombe,2614.85,7601.861904761905,1060.9333333333334,53,56180,0.255939
Red Deer-Sylvan Lake,3242.786111111111,7604.466666666667,591.6138888888889,57,52454,0.29895
Rocky Mountain House-Banff Park,1413.6964285714287,6061.714285714285,1375.482142857143,52,38298,0.189113
Sherwood Park,6721.0,6740.5,926.25,55,55311,0.499276
Sherwood Park-Strathcona,6108.666666666666,8727.5,525.25,58,51826,0.411742
St Albert,7508.5,5841.633333333333,309.1666666666667,58,54589,0.562429
St Albert-Sturgeon,5147.0,7506.2,486.0,56,52334,0.406775
Stony Plain-Drayton Valley,2506.214285714286,8745.214285714286,557.452380952381,57,48032,0.222746
West Yellowhead,2444.0,7295.0,0.0,58,49766,0.25095
Wetaskiwin-Ponoka-Maskwacis,2486.3119047619048,6699.502380952381,929.8595238095238,49,48775,0.270669
