ed_2019,sheet_num,poll_letter,poll_name,ballot_type,ndp_votes,ucp_votes,other_votes,valid_votes,voting_areas,lat,lon,ed_2026_majority,ed_2026_minority
Calgary-Acadia,01,A,Woodgreen Presbyterian Church,Election Day,301,288,21,610,"001,002,003",,,,
Calgary-Acadia,01,B,Robert Warren School,Election Day,790,725,53,1568,"004,005,006,007,008,009",,,,
Calgary-Acadia,01,C,Southwood United Church,Election Day,418,365,32,815,"012,013,014,034",,,,
Calgary-Acadia,01,D,Haysboro School,Election Day,541,482,31,1054,"035,036,037,038",,,,
Calgary-Acadia,01,E,St. Augustine School,Election Day,541,443,42,1026,"047,048,049,050",,,,
Calgary-Acadia,01,F,St. Stephen School,Election Day,401,477,34,912,"010,011,015,033",,,,
Calgary-Acadia,01,G,Le Roi Daniels School,Election Day,468,536,51,1055,"044,045,046,051",,,,
Calgary-Acadia,01,H,Manchester Neighbour Centre - Mustard Seed,Election Day,106,63,10,179,"052,053",,,,
Calgary-Acadia,01,I,Acadia School,Election Day,578,642,56,1276,"026,027,028,029,043",,,,
Calgary-Acadia,01,J,Lord Beaverbrook School,Election Day,624,631,69,1324,"025,030,031,032,039,040,041,042",,,,
Calgary-Acadia,01,K,Willow Park School,Election Day,421,469,23,913,"016,017,020,023,024",,,,
Calgary-Acadia,01,L,R.T. Alderman School,Election Day,386,530,28,944,"018,019,021,022",,,,
Calgary-Acadia,01,,"Haysboro Community Association, Lutheran Church",Advance,1808,1827,78,3713,,,,,
Calgary-Acadia,01,,Southcentre Mall,Advance,2172,2261,78,4511,,,,,
Calgary-Acadia,01,,Vote Anywhere (Out of ED),Advance,788,566,31,1385,,,,,
Calgary-Acadia,01,,"Southwood CC, Trico LivingWell, Calgary Dream Centre",Mobile,46,76,12,134,,,,,
Calgary-Acadia,01,,Returning Office,Special Ballot,378,428,13,819,,,,,
Calgary-Acadia,01,,Centralized,Special Ballot,192,128,4,324,,,,,
Calgary-Beddington,02,A,Simons Valley School,Election Day,632,696,43,1371,"010,011,022,023,024,025",,,,
Calgary-Beddington,02,B,Monsignor Neville Anderson School,Election Day,613,656,43,1312,"013,019,020,021,026,027",,,,
Calgary-Beddington,02,C,Valley Creek School,Election Day,605,593,38,1236,"001,002,007,008,009",,,,
Calgary-Beddington,02,D,St. Elizabeth Seton School,Election Day,475,521,33,1029,"003,004,005,006,012",,,,
Calgary-Beddington,02,E,Beddington Heights School,Election Day,705,593,43,1341,"018,028,029,030,038,039",,,,
Calgary-Beddington,02,F,Harvest Hills Alliance Church,Election Day,390,487,33,910,"014,015,016,017",,,,
Calgary-Beddington,02,G,Alex Munro School,Election Day,480,574,56,1110,"031,032,033,034,035,036",,,,
Calgary-Beddington,02,H,Dr. J.K. Mulloy School,Election Day,506,490,58,1054,"037,040,041,042,043,049",,,,
Calgary-Beddington,02,I,St. Hubert School,Election Day,525,499,45,1069,"044,045,046,047,048",,,,
Calgary-Beddington,02,,Huntington Hills Community Hall & Sportsplex,Advance,3468,3109,177,6754,,,,,
Calgary-Beddington,02,,Vote Anywhere (Out of ED),Advance,1384,1097,83,2564,,,,,
Calgary-Beddington,02,,Manor Village - Life Centres,Mobile,35,31,8,74,,,,,
Calgary-Beddington,02,,Returning Office,Special Ballot,324,295,12,631,,,,,
Calgary-Beddington,02,,Centralized,Special Ballot,127,85,11,223,,,,,
Calgary-Bow,03,A,West Springs School,Election Day,296,424,9,729,"027,028,029",,,,
Calgary-Bow,03,B,Bethel United Reformed Church,Election Day,355,450,20,825,"024,025,026,030",,,,
Calgary-Bow,03,C,Crestmont Community Center,Election Day,344,456,50,850,"032,033",,,,
Calgary-Bow,03,D,Valley Ridge Golf Course,Election Day,693,927,42,1662,"034,035,036,037,038,039",,,,
Calgary-Bow,03,E,Bowness High School,Election Day,784,546,63,1393,"042,043,044,045,047,048",,,,
Calgary-Bow,03,F,RockPointe Church - Bowridge,Election Day,148,160,21,329,"031,040,041",,,,
Calgary-Bow,03,G,West Springs Church,Election Day,415,463,21,899,"012,013,014,020,021,022,023",,,,
Calgary-Bow,03,H,Our Lady of the Assumption School,Election Day,715,615,61,1391,"046,049,050,051,052,053",,,,
Calgary-Bow,03,I,Montgomery Community Centre,Election Day,494,299,36,829,"054,055,056,057,058,059",,,,
Calgary-Bow,03,J,Badminton Alberta,Election Day,445,535,31,1011,"004,005,009,010,011",,,,
Calgary-Bow,03,K,St. Joan of Arc,Election Day,707,967,32,1706,"006,007,008,015,016,017,018,019",,,,
Calgary-Bow,03,L,Wildwood School,Election Day,373,380,32,785,"001,002,003",,,,
Calgary-Bow,03,,Montgomery Community Centre,Advance,2223,1919,103,4245,,,,,
Calgary-Bow,03,,West Springs Church,Advance,2395,3092,112,5599,,,,,
Calgary-Bow,03,,Vote Anywhere (Out of ED),Advance,1489,1195,59,2743,,,,,
