origin_csd,origin_dguid,origin_csd_code,dest_csd,workers_total,workers_men,workers_women,pct_all_workers,pct_out_commuters
Red Deer,2021A00054808011,4019.4019,"Red Deer (CY), Alta.",25660,10925,14730,77.90,
Red Deer,2021A00054808011,4019.4012,"Red Deer County (MD), Alta.",2975,1755,1220,9.03,40.87
Red Deer,2021A00054808011,4019.4022,"Lacombe County (MD), Alta.",750,620,125,2.28,10.30
Red Deer,2021A00054808011,4019.4029,"Blackfalds (T), Alta.",625,460,170,1.90,8.59
Red Deer,2021A00054808011,4019.4030,"Lacombe (CY), Alta.",480,280,200,1.46,6.59
Red Deer,2021A00054808011,4019.4017,"Innisfail (T), Alta.",455,270,185,1.38,6.25
Red Deer,2021A00054808011,4019.4020,"Sylvan Lake (T), Alta.",380,180,200,1.15,5.22
Red Deer,2021A00054808011,4019.4212,"Wood Buffalo (SM), Alta.",225,210,15,0.68,3.09
Red Deer,2021A00054808011,4019.4034,"Ponoka (T), Alta.",175,85,90,0.53,2.40
Red Deer,2021A00054808011,4019.4116,"Edmonton (CY), Alta.",175,135,45,0.53,2.40
Red Deer,2021A00054808011,4019.3968,"Calgary (CY), Alta.",125,90,45,0.38,1.72
Red Deer,2021A00054808011,4019.3979,"Olds (T), Alta.",110,55,55,0.33,1.51
Red Deer,2021A00054808011,4019.4018,"Penhold (T), Alta.",80,40,40,0.24,1.10
Red Deer,2021A00054808011,4019.3994,"Stettler (T), Alta.",55,25,30,0.17,0.76
Red Deer,2021A00054808011,4019.4043,"Rocky Mountain House (T), Alta.",55,35,20,0.17,0.76
Red Deer,2021A00054808011,4019.4014,"Delburne (VL), Alta.",50,20,30,0.15,0.69
Red Deer,2021A00054808011,4019.4113,"Strathcona County (SM), Alta.",50,45,0,0.15,0.69
Red Deer,2021A00054808011,4019.4091,"Leduc County (MD), Alta.",40,35,10,0.12,0.55
Red Deer,2021A00054808011,4019.4024,"Eckville (T), Alta.",30,15,15,0.09,0.41
Red Deer,2021A00054808011,4019.4036,"Rimbey (T), Alta.",30,15,20,0.09,0.41
Red Deer,2021A00054808011,4019.3958,"Three Hills (T), Alta.",25,10,15,0.08,0.34
Red Deer,2021A00054808011,4019.4026,"Bentley (T), Alta.",25,15,0,0.08,0.34
Red Deer,2021A00054808011,4019.4040,"Clearwater County (MD), Alta.",25,15,10,0.08,0.34
Red Deer,2021A00054808011,4019.4031,"Clive (VL), Alta.",20,15,0,0.06,0.27
Red Deer,2021A00054808011,4019.4214,"Fort Mckay 174 (IRI), Alta.",20,20,0,0.06,0.27
Red Deer,2021A00054808011,4019.3172,"Regina (CY), Sask.",15,10,0,0.05,0.21
Red Deer,2021A00054808011,4019.4033,"Ponoka County (MD), Alta.",15,0,10,0.05,0.21
Red Deer,2021A00054808011,4019.4082,"Wetaskiwin (CY), Alta.",15,0,15,0.05,0.21
Red Deer,2021A00054808011,4019.4284,"Grande Prairie (CY), Alta.",15,15,0,0.05,0.21
Red Deer,2021A00054808011,4019.4766,"Kelowna (CY), B.C.",15,0,15,0.05,0.21
Red Deer,2021A00054808011,4019.4924,"Kitimat (DM), B.C.",15,15,0,0.05,0.21
Red Deer,2021A00054808011,4019.3894,"Lethbridge (CY), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.3944,"Wheatland County (MD), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.3959,"Trochu (T), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.3971,"Airdrie (CY), Alta.",10,0,10,0.03,0.14
Red Deer,2021A00054808011,4019.3974,"Crossfield (T), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.3980,"Sundre (T), Alta.",10,0,0,0.03,0.14
Red Deer,2021A00054808011,4019.4032,"Alix (VL), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.4042,"Caroline (VL), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.4052,"Camrose (CY), Alta.",10,0,0,0.03,0.14
Red Deer,2021A00054808011,4019.4081,"Wetaskiwin County No. 10 (MD), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.4093,"Leduc (CY), Alta.",10,0,0,0.03,0.14
Red Deer,2021A00054808011,4019.4117,"St. Albert (CY), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.4132,"Bonnyville (T), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.4144,"Lac la Biche County (SM), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.4196,"Hinton (T), Alta.",10,0,10,0.03,0.14
Red Deer,2021A00054808011,4019.4202,"Canmore (T), Alta.",10,0,0,0.03,0.14
Red Deer,2021A00054808011,4019.4275,"Fox Creek (T), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.4276,"Greenview No. 16 (MD), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.4280,"Grande Prairie County No. 1 (MD), Alta.",10,10,0,0.03,0.14
Red Deer,2021A00054808011,4019.5031,"Fort St. John (CY), B.C.",10,0,0,0.03,0.14
Red Deer,2021A00054808011,4019.5130,"Region 6, Unorganized (NO), N.W.T.",10,10,0,0.03,0.14
