ed_name,population,deviation_pct,predecessors_2019,ucp_share_2019,ndp_share_2019,ucp_share_2023,ndp_share_2023,preds_matched_2019,preds_matched_2023
Central Peace-Notley,28715,-47.72,Central Peace-Notley,75.17,19.5,77.68,18.55,Central Peace-Notley,Central Peace-Notley
Lesser Slave Lake,30011,-45.36,Lesser Slave Lake,57.69,36.11,65.04,33.15,Lesser Slave Lake,Lesser Slave Lake
Canmore-Banff,39961,-27.25,Canmore-Banff,51.34,42.03,48.4,49.7,Canmore-Banff,Canmore-Banff
Peace River,43399,-20.99,Peace River,69.4,22.3,72.84,22.88,Peace River,Peace River
Airdrie-West,48145,-12.35,Airdrie-Cochrane,65.99,25.24,60.1,37.32,Airdrie-Cochrane,Airdrie-Cochrane
Fort McMurray-Wood Buffalo,49615,-9.67,Fort McMurray-Wood Buffalo,71.06,21.65,67.69,19.67,Fort McMurray-Wood Buffalo,Fort McMurray-Wood Buffalo
Lloydminster-Wainwright,50139,-8.72,Vermilion-Lloydminster-Wainwright,78.84,9.93,74.4,17.47,Vermilion-Lloydminster-Wainwright,Vermilion-Lloydminster-Wainwright
Livingstone-Macleod,50144,-8.71,Livingstone-Macleod,70.64,20.52,66.94,26.35,Livingstone-Macleod,Livingstone-Macleod
Grande Prairie,50352,-8.33,Grande Prairie,63.02,21.62,63.94,31.26,Grande Prairie,Grande Prairie
Drumheller-Stettler,50626,-7.83,Drumheller-Stettler,76.69,6.54,82.14,14.44,Drumheller-Stettler,Drumheller-Stettler
