metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95
efficiency_gap,2019 enacted,0.024119940578423545,69.46138613861386,-0.00982435503221611,0.016273008845367448,0.0408383352863265
efficiency_gap,majority 2026 canonical,0.0009823668405000681,16.517029702970298,-0.00982435503221611,0.016273008845367448,0.0408383352863265
efficiency_gap,minority 2026 canonical,0.04019385991913548,94.53772277227723,-0.00982435503221611,0.016273008845367448,0.0408383352863265
mean_median,2019 enacted,-0.007671760176883757,91.81207920792079,-0.031090215328174093,-0.01895605089161265,-0.005592683135323104
mean_median,majority 2026 canonical,-0.036190901059016234,0.9911881188118812,-0.031090215328174093,-0.01895605089161265,-0.005592683135323104
mean_median,minority 2026 canonical,0.010401768621624785,99.96653465346535,-0.031090215328174093,-0.01895605089161265,-0.005592683135323104
declination,2019 enacted,0.04509237880431511,91.32554455445545,-0.05499657659743018,0.0002536504613777,0.0588744354785337
declination,majority 2026 canonical,-0.026675251362353544,21.849009900990097,-0.05499657659743018,0.0002536504613777,0.0588744354785337
declination,minority 2026 canonical,0.07700256493469557,98.78811881188119,-0.05499657659743018,0.0002536504613777,0.0588744354785337
seats_at_50_50,2019 enacted,0.45977011494252873,78.53841584158415,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,majority 2026 canonical,0.4606741573033708,78.53841584158415,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,minority 2026 canonical,0.5168539325842697,99.99316831683169,0.425287356321839,0.4482758620689655,0.4827586206896552
population_mad,2019 enacted,,,2612.025303424627,3160.5747695297105,3701.0492149234483
population_mad,majority 2026 canonical,2826.8945263667047,15.87009900990099,2612.025303424627,3160.5747695297105,3701.0492149234483
population_mad,minority 2026 canonical,3938.1069235499162,99.13455445544554,2612.025303424627,3160.5747695297105,3701.0492149234483
reock_proxy_median,2019 enacted,,,0.4296432667325036,0.4544570536680611,0.4806409322500282
reock_proxy_median,majority 2026 canonical,0.5681238648363268,100.0,0.4296432667325036,0.4544570536680611,0.4806409322500282
reock_proxy_median,minority 2026 canonical,0.5784679859542419,100.0,0.4296432667325036,0.4544570536680611,0.4806409322500282
reock_proxy_pct_below_030,2019 enacted,,,0.0344827586206896,0.0689655172413793,0.1149425287356321
reock_proxy_pct_below_030,majority 2026 canonical,0.02247191011235955,0.7895049504950495,0.0344827586206896,0.0689655172413793,0.1149425287356321
reock_proxy_pct_below_030,minority 2026 canonical,0.011235955056179775,0.08762376237623762,0.0344827586206896,0.0689655172413793,0.1149425287356321
