metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95
efficiency_gap,2019 enacted,0.024119940578423545,70.3179207920792,-0.0107838781090092,0.0156857271060068,0.0410865877116141
efficiency_gap,majority 2026 canonical,0.0009823668405000681,17.86227722772277,-0.0107838781090092,0.0156857271060068,0.0410865877116141
efficiency_gap,minority 2026 canonical,0.04019385991913548,94.37722772277228,-0.0107838781090092,0.0156857271060068,0.0410865877116141
mean_median,2019 enacted,-0.007671760176883757,90.71435643564357,-0.030923478401477984,-0.018651289405964902,-0.004587825306642114
mean_median,majority 2026 canonical,-0.036190901059016234,0.9272277227722773,-0.030923478401477984,-0.018651289405964902,-0.004587825306642114
mean_median,minority 2026 canonical,0.010401768621624785,99.96415841584158,-0.030923478401477984,-0.018651289405964902,-0.004587825306642114
declination,2019 enacted,0.04509237880431511,90.75316831683168,-0.05705611618307046,-0.00085741004041415,0.056231901064101794
declination,majority 2026 canonical,-0.026675251362353544,22.623267326732673,-0.05705611618307046,-0.00085741004041415,0.056231901064101794
declination,minority 2026 canonical,0.07700256493469557,98.73970297029703,-0.05705611618307046,-0.00085741004041415,0.056231901064101794
seats_at_50_50,2019 enacted,0.45977011494252873,76.31970297029703,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,majority 2026 canonical,0.4606741573033708,76.31970297029703,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,minority 2026 canonical,0.5168539325842697,99.96584158415841,0.425287356321839,0.4482758620689655,0.4827586206896552
population_mad,2019 enacted,,,5264.8488781762135,6378.811664650333,7464.311502081448
population_mad,majority 2026 canonical,2826.8945263667047,0.0,5264.8488781762135,6378.811664650333,7464.311502081448
population_mad,minority 2026 canonical,3938.1069235499162,0.013366336633663366,5264.8488781762135,6378.811664650333,7464.311502081448
reock_proxy_median,2019 enacted,,,0.4307690932287563,0.4559293310150601,0.4823894306286918
reock_proxy_median,majority 2026 canonical,0.5681238648363268,100.0,0.4307690932287563,0.4559293310150601,0.4823894306286918
reock_proxy_median,minority 2026 canonical,0.5784679859542419,100.0,0.4307690932287563,0.4559293310150601,0.4823894306286918
reock_proxy_pct_below_030,2019 enacted,,,0.0344827586206896,0.0689655172413793,0.1149425287356321
reock_proxy_pct_below_030,majority 2026 canonical,0.02247191011235955,0.8836633663366337,0.0344827586206896,0.0689655172413793,0.1149425287356321
reock_proxy_pct_below_030,minority 2026 canonical,0.011235955056179775,0.0898019801980198,0.0344827586206896,0.0689655172413793,0.1149425287356321
