metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95
efficiency_gap,2019 enacted,0.024119940578423545,67.679,-0.010452245365423038,0.016728547324581,0.041196443559979104
efficiency_gap,majority 2026 canonical,0.0009823668405000681,17.412,-0.010452245365423038,0.016728547324581,0.041196443559979104
efficiency_gap,minority 2026 canonical,0.04019385991913548,94.298,-0.010452245365423038,0.016728547324581,0.041196443559979104
mean_median,2019 enacted,-0.007671760176883757,89.488,-0.03037253637146828,-0.018768661457862303,-0.003914901297043097
mean_median,majority 2026 canonical,-0.036190901059016234,0.585,-0.03037253637146828,-0.018768661457862303,-0.003914901297043097
mean_median,minority 2026 canonical,0.010401768621624785,99.907,-0.03037253637146828,-0.018768661457862303,-0.003914901297043097
declination,2019 enacted,0.04509237880431511,90.425,-0.05712894951280634,0.0008962433406229,0.055682472839096976
declination,majority 2026 canonical,-0.026675251362353544,22.961,-0.05712894951280634,0.0008962433406229,0.055682472839096976
declination,minority 2026 canonical,0.07700256493469557,98.918,-0.05712894951280634,0.0008962433406229,0.055682472839096976
seats_at_50_50,2019 enacted,0.45977011494252873,79.683,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,majority 2026 canonical,0.4606741573033708,79.683,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,minority 2026 canonical,0.5168539325842697,99.979,0.425287356321839,0.4482758620689655,0.4827586206896552
population_mad,2019 enacted,,,5228.842636826987,6392.588935012493,7461.163173114564
population_mad,majority 2026 canonical,2826.8945263667047,0.0,5228.842636826987,6392.588935012493,7461.163173114564
population_mad,minority 2026 canonical,3938.1069235499162,0.002,5228.842636826987,6392.588935012493,7461.163173114564
reock_proxy_median,2019 enacted,,,0.429252479746046,0.4553104897390265,0.4826668082938155
reock_proxy_median,majority 2026 canonical,0.5681238648363268,100.0,0.429252479746046,0.4553104897390265,0.4826668082938155
reock_proxy_median,minority 2026 canonical,0.5784679859542419,100.0,0.429252479746046,0.4553104897390265,0.4826668082938155
reock_proxy_pct_below_030,2019 enacted,,,0.0344827586206896,0.0689655172413793,0.1149425287356321
reock_proxy_pct_below_030,majority 2026 canonical,0.02247191011235955,1.074,0.0344827586206896,0.0689655172413793,0.1149425287356321
reock_proxy_pct_below_030,minority 2026 canonical,0.011235955056179775,0.151,0.0344827586206896,0.0689655172413793,0.1149425287356321
