origin_csd,origin_dguid,origin_csd_code,dest_csd,workers_total,workers_men,workers_women,pct_all_workers,pct_out_commuters
Sylvan Lake,2021A00054808012,4020.4020,"Sylvan Lake (T), Alta.",1830,650,1175,39.57,
Sylvan Lake,2021A00054808012,4020.4019,"Red Deer (CY), Alta.",1520,640,885,32.86,54.38
Sylvan Lake,2021A00054808012,4020.4012,"Red Deer County (MD), Alta.",330,210,115,7.14,11.81
Sylvan Lake,2021A00054808012,4020.4022,"Lacombe County (MD), Alta.",100,90,10,2.16,3.58
Sylvan Lake,2021A00054808012,4020.4017,"Innisfail (T), Alta.",95,40,55,2.05,3.40
Sylvan Lake,2021A00054808012,4020.4029,"Blackfalds (T), Alta.",95,70,25,2.05,3.40
Sylvan Lake,2021A00054808012,4020.4036,"Rimbey (T), Alta.",95,45,45,2.05,3.40
Sylvan Lake,2021A00054808012,4020.4043,"Rocky Mountain House (T), Alta.",75,45,25,1.62,2.68
Sylvan Lake,2021A00054808012,4020.4024,"Eckville (T), Alta.",65,40,25,1.41,2.33
Sylvan Lake,2021A00054808012,4020.4212,"Wood Buffalo (SM), Alta.",65,55,10,1.41,2.33
Sylvan Lake,2021A00054808012,4020.4030,"Lacombe (CY), Alta.",55,20,40,1.19,1.97
Sylvan Lake,2021A00054808012,4020.3968,"Calgary (CY), Alta.",50,30,20,1.08,1.79
Sylvan Lake,2021A00054808012,4020.4116,"Edmonton (CY), Alta.",35,30,0,0.76,1.25
Sylvan Lake,2021A00054808012,4020.4026,"Bentley (T), Alta.",30,10,20,0.65,1.07
Sylvan Lake,2021A00054808012,4020.4034,"Ponoka (T), Alta.",30,10,25,0.65,1.07
Sylvan Lake,2021A00054808012,4020.4040,"Clearwater County (MD), Alta.",30,20,15,0.65,1.07
Sylvan Lake,2021A00054808012,4020.4094,"Devon (T), Alta.",15,10,0,0.32,0.54
Sylvan Lake,2021A00054808012,4020.3958,"Three Hills (T), Alta.",10,0,10,0.22,0.36
Sylvan Lake,2021A00054808012,4020.3979,"Olds (T), Alta.",10,0,10,0.22,0.36
Sylvan Lake,2021A00054808012,4020.3980,"Sundre (T), Alta.",10,0,0,0.22,0.36
Sylvan Lake,2021A00054808012,4020.3994,"Stettler (T), Alta.",10,10,0,0.22,0.36
Sylvan Lake,2021A00054808012,4020.4004,"Sedgewick (T), Alta.",10,10,0,0.22,0.36
Sylvan Lake,2021A00054808012,4020.4042,"Caroline (VL), Alta.",10,10,0,0.22,0.36
Sylvan Lake,2021A00054808012,4020.4082,"Wetaskiwin (CY), Alta.",10,0,0,0.22,0.36
Sylvan Lake,2021A00054808012,4020.4102,"Drayton Valley (T), Alta.",10,10,0,0.22,0.36
Sylvan Lake,2021A00054808012,4020.4176,"Whitecourt (T), Alta.",10,0,0,0.22,0.36
Sylvan Lake,2021A00054808012,4020.4304,"Elkford (DM), B.C.",10,0,0,0.22,0.36
Sylvan Lake,2021A00054808012,4020.5031,"Fort St. John (CY), B.C.",10,10,0,0.22,0.36
