ed_a,ed_b,overlap_km2,ed_a_km2,ed_b_km2,frac_of_smaller
Airdrie-East,Calgary-Falconridge-Conrich,141.94456442473955,717.6450601601765,141.9445644247396,0.9999999999999996
Calgary-West-Elbow Valley,Canmore-Banff,15.016265686121564,558.7410829473218,15329.92036264263,0.026875177330637236
Calgary-Glenmore-Tsuut'ina,Canmore-Banff,0.1322496595847549,176.20099365065275,15329.92036264263,0.0007505613722415292
Edmonton-Rutherford,Edmonton-Whitemud,0.0005342790595384704,31.57645745678048,19.180037504415374,2.7855996601439164e-05
Airdrie-East,Calgary-North East,0.0005312545010381343,717.6450601601765,28.99522248424082,1.832213914988499e-05
Calgary-McKenzie,Calgary-West-Elbow Valley,0.0004299496677927178,14.46811319816254,558.7410829473218,2.9717051691807454e-05
Calgary-McKenzie,High River-Vulcan-Siksika,0.00021245187077438015,14.46811319816254,1.7268911254615926,0.00012302563122941086
Edmonton-City Centre,West Yellowhead,0.00014677781689463915,30.15018082085613,93599.17713910298,4.8682234367598505e-06
Calgary-Beddington,Cochrane-Springbank,0.0001250360873867603,55.91695266023047,649.4929120041197,2.2361033897272637e-06
Edmonton-Rutherford,West Yellowhead,0.00011167862166556691,31.57645745678048,93599.17713910298,3.536768550380433e-06
Fort Saskatchewan-Vegreville,West Yellowhead,0.0001017761705363834,9115.54555690166,93599.17713910298,1.116512115496209e-08
Calgary-Buffalo,Calgary-Glenmore-Tsuut'ina,9.814446213354343e-05,3.6178532501173892,176.20099365065275,2.7127817340396247e-05
Calgary-Lougheed,Calgary-Mountain View,8.878671162486178e-05,922.6323876595407,17.370605071925887,5.111319453595635e-06
Calgary-Lougheed,Calgary-South East,6.59195307447051e-05,922.6323876595407,68.69096755258381,9.596535482520734e-07
Calgary-Bow,Calgary-Edgemont,6.572852982720594e-05,27.21639290563617,25.523596497925013,2.575206430353554e-06
Airdrie-East,Calgary-Beddington,6.477773723671914e-05,717.6450601601765,55.91695266023047,1.1584632952072632e-06
Cold Lake-Bonnyville-St. Paul,Lloydminster-Wainwright,4.932578899107407e-05,15906.640602123418,10089.582684650912,4.888783860814427e-09
Airdrie-West,Cochrane-Springbank,4.328742056676678e-05,104.42821353497561,649.4929120041197,4.1451844383288945e-07
Edmonton-Mill Woods,West Yellowhead,3.882435030662626e-05,26.47137046164513,93599.17713910298,1.4666543374805471e-06
Edmonton-Rutherford,Edmonton-Strathcona,3.752438954326249e-05,31.57645745678048,15.416475702386725,2.4340446070597764e-06
Edmonton-Enoch,Edmonton-Whitemud,3.595885306251922e-05,57.92797108156273,19.180037504415374,1.8748061912934867e-06
Calgary-East,Calgary-Lougheed,3.5701415659449245e-05,0.00015635486416428116,922.6323876595407,0.22833581705483733
Calgary-Beddington,Calgary-Bow,3.275866417915671e-05,55.91695266023047,27.21639290563617,1.2036372451241622e-06
Canmore-Banff,Cochrane-Springbank,2.795733593637284e-05,15329.92036264263,649.4929120041197,4.304486687946412e-08
Edmonton-Decore,West Yellowhead,1.9992725568744146e-05,2.3962168985270784,93599.17713910298,8.343454042509006e-06
Calgary-Glenmore-Tsuut'ina,Calgary-North West,1.917339376211138e-05,176.20099365065275,3.876447439870378e-05,0.4946125043488918
Mountain View-Kneehill,Sylvan Lake-Innisfail,1.738458748538621e-05,10488.888775197833,3639.9132233177033,4.776099433914672e-09
Edmonton-Beverly-Clareview,Fort Saskatchewan-Vegreville,1.529530482731393e-05,0.00038536650480279516,9115.54555690166,0.0396902809058121
