ed_name,ucp_2023,ndp_2023,other_2023,total_votes
Calgary-Acadia,20532.470285197538,18999.84893631587,1283.7847044407115,40816.103925954114
Calgary-Beddington,61.175838288917795,65.54232444419493,4.403089735458493,131.1212524685712
Calgary-Bhullar-McCall,8802.446913509786,12007.004852536655,3.4520083798606254,20812.9037744263
Calgary-Bow,20780.64939760227,20368.060762999638,1352.1274276772124,42500.837588279115
Calgary-Buffalo,3708.6252113225664,5752.053287462005,315.44584720656377,9776.124345991135
Calgary-Confluence,5927.94165546062,10653.465444262118,384.64717687975826,16966.054276602496
Calgary-Cross,10744.993847835118,11380.275181213921,783.1119059708092,22908.38093501985
Calgary-Currie,7714.51123009798,9980.933572628746,763.0337963858441,18458.478599112572
Calgary-East,4262.1481356936565,3978.420820331765,385.6859979654051,8626.254953990827
Calgary-Edgemont,19216.244593327156,19264.86960272054,1015.2801246653423,39496.394320713036
Calgary-Elbow,13121.379131188502,13841.556184737785,1219.3905950339924,28182.32591096028
Calgary-Falconridge-Conrich,2246.1125639004567,3399.6032942640004,217.29899012510202,5863.014848289559
Calgary-Fish Creek,9816.896533557761,8183.909388431447,409.55623544302694,18410.362157432235
Calgary-Glenmore-Tsuut'ina,8387.205380378593,7099.099984939137,237.88915328452617,15724.194518602257
Calgary-Hays,4407.354411933281,3316.1162939952574,159.4757256876642,7882.946431616203
Calgary-Klein,8899.473209406098,9737.061295782789,459.70846379699776,19096.242968985884
Calgary-Lougheed,6780.240865709536,4765.597367675793,372.11162172103343,11917.949855106363
Calgary-McKenzie,12482.573668797733,9094.291127721803,575.6730269892125,22152.53782350875
Calgary-Mountain View,8417.324694722362,16415.096715087355,539.8567168953352,25372.27812670505
Calgary-North,7904.9043496451895,7775.543611891324,0.00010345102614545887,15680.448064987539
Calgary-North East,5547.687817120152,6388.745299437253,0.0,11936.433116557406
Calgary-North West,1674.5026721496154,1663.7691452002762,139.08786065557882,3477.3596780054704
Calgary-Nose Creek,15048.199547577824,15746.087450303376,802.7177380132621,31597.004735894465
Calgary-Shaw,13750.597686362418,10411.304624080301,235.41021134044684,24397.312521783166
Calgary-South East,19015.70393840444,13535.646495050545,617.450706170816,33168.8011396258
Calgary-Symons Valley,108.78088063873317,110.60334931132081,2.8267504951353604,222.21098044518934
Calgary-Varsity,9459.912804113344,13532.243237828186,260.03049917054466,23252.186541112078
Calgary-West-Elbow Valley,20672.643172130796,17284.072407159096,714.5532712029676,38671.26885049286
Edmonton-Beaumont,5428.644339629564,4425.995021397487,234.60032720242523,10089.239688229474
Edmonton-Beverly-Clareview,5679.119472518674,8494.102462942295,557.8790305483645,14731.100966009335
Edmonton-Castle Downs,15940.874655795018,22134.20063173897,1614.4911804442831,39689.56646797827
Edmonton-City Centre,7802.518469740849,22927.961950672998,973.9519120079841,31704.43233242183
Edmonton-Decore,1921.9108097391381,3027.493291357682,250.52139622082484,5199.925497317645
Edmonton-Ellerslie,7392.005328599096,12189.396384740583,288.63937709976045,19870.041090439438
Edmonton-Enoch,27238.924895102304,27143.113058249815,2026.611731353518,56408.64968470564
Edmonton-Glenora-Riverview,3042.2472321887144,7525.5536368205385,411.57633254457755,10979.37720155383
Edmonton-Gold Bar,6022.612804817591,14914.295854282987,625.7189157355282,21562.627574836104
Edmonton-Highlands-Norwood,3377.4281024208444,9531.704177378322,444.4860569668299,13353.618336765998
Edmonton-Manning,3361.945811167747,5327.061433143086,164.2417157215082,8853.24896003234
Edmonton-McClung,636.1081829569804,975.072760577036,48.07481793735187,1659.2557614713683
Edmonton-Meadows,6365.072837287233,10992.62420625239,212.46095043637064,17570.15799397599
Edmonton-Mill Woods,6875.500824753495,11076.03109626957,1.1897374253370059,17952.721658448405
Edmonton-North West,6094.885255885546,9477.46935856342,318.8964526718458,15891.251067120813
Edmonton-Rutherford,5966.972801470626,12246.098311208842,585.4191774597009,18798.49029013917
Edmonton-South,8589.574541682327,12864.55071510513,332.645844406565,21786.77110119402
Edmonton-Strathcona,3055.8813040397836,14043.992331452779,525.7360492044958,17625.60968469706
Edmonton-West Henday,5380.851109904802,7469.599607017991,439.86956655826214,13290.320283481055
Edmonton-Whitemud,7294.739496501601,12006.705051140909,554.9272155336422,19856.371763176154
Edmonton-Windermere,10360.066412404736,13848.28704338941,308.0398886810678,24516.393344475215
Airdrie-East,15188.474083900392,8683.479547508854,621.858605284923,24493.81223669417
Airdrie-West,461.71686079324365,238.57389118242958,17.224920581070094,717.5156725567433
Barrhead-Westlock-Athabasca,15634.012216391971,5403.446244334017,0.25749032204860817,21037.715951048038
Camrose,13036.474268709819,5581.586452481464,1945.0253801056654,20563.086101296947
Canmore-Banff,8512.885698177774,9198.883598686183,343.7779205729626,18055.54721743692
Central Peace-Notley,9285.957951176955,2217.724135982532,450.19898582760607,11953.881072987093
Chestermere-Strathmore,15372.26143241768,6131.452101261559,567.4762833535482,22071.189817032788
Cochrane-Springbank,17727.1983062815,11088.980321112991,765.9901366357649,29582.16876403026
Cold Lake-Bonnyville-St. Paul,13314.529954690559,4326.929406085884,0.09265430067378351,17641.55201507712
Drumheller-Stettler,15264.338523889712,2683.200408710066,636.1311581569524,18583.670090756732
Fort McMurray-Lac La Biche,7676.406851065025,2554.354416840789,201.44454615238823,10432.205814058203
Fort McMurray-Wood Buffalo,6499.020414752172,1889.905161102818,1211.4503271236276,9600.375902978618
Fort Saskatchewan-Vegreville,14124.513647245485,9063.2466605885,1135.894324939668,24323.654632773654
Grande Prairie,10027.28314614887,4899.364464045175,751.3330543090285,15677.980664503073
Grande Prairie-Wapiti,15098.336281279979,4066.505380101733,643.5309131875622,19808.372574569272
High River-Vulcan-Siksika,10557.96716880546,2532.612774616092,1156.2479408535721,14246.827884275124
Lacombe-Clearwater,29892.380733631137,8112.178391804789,5607.655284381815,43612.21440981774
Leduc-Devon,9145.93874477723,6244.03087483006,476.6338290438678,15866.603448651158
Lesser Slave Lake,5168.691166196435,2634.7272458865536,143.90756423991047,7947.325976322899
Lethbridge-East,10979.508299541954,10344.362171794639,487.15134878913506,21811.02182012573
Lethbridge-West,9527.742738018736,12083.771129854056,800.0216908771209,22411.535558749914
Livingstone-Macleod,16499.30575616842,6494.205664662627,1652.998552644228,24646.509973475277
Lloydminster-Wainwright,13096.028207115234,3074.853975586128,1431.8773356919728,17602.759518393334
Medicine Hat-Brooks,13228.707945069313,5439.366174375611,1225.7765206477613,19893.85064009268
Medicine Hat-Cypress,13578.433724730112,7735.3831474891995,616.4475631259053,21930.264435345216
Mountain View-Kneehill,18234.910605833134,4554.5718725511515,1428.3411841665552,24217.82366255084
Okotoks-Diamond Valley,17549.00506009507,7389.9368246043605,563.8230002432781,25502.76488494271
Peace River,8234.186699231075,2586.4467339445896,483.9509993442421,11304.584432519907
Red Deer-North,10684.426932675335,7186.713971566294,724.154925811523,18595.29583005315
Red Deer-South,13403.81730615288,9924.086992769135,576.2786865977985,23904.182985519812
Sherwood Park,11509.03983934904,13177.579392876169,1521.3215703554308,26207.94080258064
Spruce Grove,14370.260965403644,10199.333427809235,645.3349640501642,25214.929357263045
St. Albert,10237.939601136472,15062.502134070497,457.25051981666,25757.692255023627
St. Albert-Sturgeon,13381.849683577248,11646.452115586506,813.7193331788496,25842.021132342605
Stony Plain-Drayton Valley,16531.711201766477,5008.913885429604,889.9881416432758,22430.613228839356
Strathcona-Sherwood Park,13793.675430009054,11580.971513195866,610.8123073150024,25985.45925051992
Sylvan Lake-Innisfail,16395.47793067978,5709.344687372273,797.6588030966218,22902.481421148674
Taber-Cardston,12400.134156021935,2834.0218323951567,1247.148119369461,16481.304107786553
West Yellowhead,14423.489095810588,5666.17811278543,0.12007305430912729,20089.787281650326
Wetaskiwin-Ponoka-Maskwacis,11531.405593574122,4761.718617736717,786.7079583694697,17079.832169680307
