map,ed_name,area_m2,perimeter_m,polsby_popper
minority,Calgary-Acadia,27113447.132502235,29076.297869265327,0.40301051876804195
minority,Calgary-Airdrie,66958275.28742345,39991.467659802904,0.5261134893752764
minority,Calgary-Beddington,34038090.09161217,30131.39135353512,0.47112556906571235
minority,Calgary-Bow-Springbank,208572618.4655093,79538.38679856676,0.4142987287627567
minority,Calgary-Buffalo,5828929.302516865,11247.981028451948,0.5789612557601941
minority,Calgary-Cross,93282577.86615998,53507.907030267546,0.4094251112583925
minority,Calgary-Currie,17314839.354292456,22700.229840352877,0.4222482143577725
minority,Calgary-De Winton,465066102.65054226,131849.07419873378,0.3361788450787513
minority,Calgary-East,26159067.89302335,27954.93914684029,0.42064431773281885
minority,Calgary-Edgemont,20557098.651938442,20469.28146875243,0.616547424888775
minority,Calgary-Elbow,31512001.639415897,29384.987127103068,0.4586008388932641
minority,Calgary-Falconridge,16340253.72652472,19847.94421472564,0.5212398349769741
minority,Calgary-Fish Creek,31287065.857680384,28156.377758796596,0.49593086013855364
minority,Calgary-Foothills-Airdrie West,99343425.26415846,54860.122900051974,0.41479684229733044
minority,Calgary-Glenmore,31473116.741180014,32853.17616153061,0.3664332646531755
minority,Calgary-Hays,42659292.923757,37942.150474425594,0.3723742423950984
minority,Calgary-Klein,25311319.699173514,28082.904712093026,0.40331149531977595
minority,Calgary-Lougheed,15278127.227965597,20699.250999225376,0.44809564662326556
minority,Calgary-McCall-Bhullar,57557081.06177614,39348.71150990945,0.4671405778009986
minority,Calgary-Mountainview,19403604.98617404,27469.712462460426,0.32313504549152183
minority,Calgary-Nolan Hill-Cochrane,745325439.1671069,199314.83599153184,0.23576349203701802
minority,Calgary-North,13469836.950111074,15866.377601258502,0.672382855435124
minority,Calgary-North East,19003240.18819935,23392.557722751702,0.43639734728967516
minority,Calgary-North West-Bearspaw,69413583.82296698,39737.79702390317,0.5523912077276895
minority,Calgary-Peigan-Chestermere,234003276.18163925,91327.12210229984,0.3525593664492447
minority,Calgary-South,23586751.63020161,25708.47690309044,0.4484616419057187
minority,Calgary-South East,224311517.40257186,75851.36465138014,0.4899306841611237
minority,Calgary-Varsity,29786396.878649145,25593.30237631502,0.5714459779532636
minority,Calgary-West-Tsuut'ina,375602006.37155175,120698.11073618963,0.32399389214281893
minority,Edmonton-Beaumont,75091005.03940089,42569.49092411829,0.5207159346275503
minority,Edmonton-Beverly-Clareview,56488831.29077462,36296.25229100708,0.5388264219018216
minority,Edmonton-Castledowns,20859177.16837699,21364.798429890394,0.5742611513742472
minority,Edmonton-City Centre,15186988.45269851,18535.937874365543,0.5554594967887486
minority,Edmonton-Decore,18145764.041451197,18760.916903166246,0.6478537896515842
minority,Edmonton-Ellerslie,23156150.00278854,24622.52456952662,0.4799666470862545
minority,Edmonton-Enoch-Devon,418406474.4249323,99196.03351903356,0.5343424124174411
minority,Edmonton-Glenora-Riverview,26672798.557441317,28003.57376999502,0.42741674380680084
minority,Edmonton-Gold Bar,56600371.58660483,38914.81848423406,0.4696768214745518
minority,Edmonton-Highlands-Norwood,18774221.96905981,22269.610030263222,0.4757147180628623
minority,Edmonton-Manning,97345552.04047436,46573.464781335526,0.5639607512119105
minority,Edmonton-McClung,27545059.768188607,29464.908981239907,0.3986973741096866
minority,Edmonton-Meadows,13435800.447869599,15396.181753337865,0.7122744241823324
minority,Edmonton-Mill Woods,24352600.778612018,22402.858475310484,0.6097451332316063
minority,Edmonton-North West,32000909.843090475,33483.247038692185,0.3586881723170268
minority,Edmonton-Rutherford,26069237.7494551,30502.825398765217,0.3520935418421022
minority,Edmonton-South,54269149.784858644,54537.69113641562,0.22928169603323356
minority,Edmonton-Spruce Grove,234729845.6515797,69114.51375816105,0.6175038409020437
minority,Edmonton-Strathcona,26230415.851829637,26806.046209513792,0.45872194397428284
minority,Edmonton-West Henday,61493053.688558735,41340.708809681404,0.45214745129179035
minority,Edmonton-Whitemud,27052844.360973287,37703.20229384422,0.2391477622625204
minority,Edmonton-Windermere,55196902.77346191,54489.50800432801,0.2336139647034437
minority,Airdrie-East,1079586070.1562674,170217.71739153846,0.4682282486526061
minority,Barrhead-Westlock-Athabasca,16355153741.900434,815082.6621722035,0.3093578811167172
minority,Camrose,11350065356.091276,742964.6057021305,0.2583877836624235
minority,Canmore-Kananaskis,11890461191.029367,922875.5477352943,0.17543744160176186
minority,Cold Lake-Bonnyville-St. Paul,16458381920.360815,686253.9424720268,0.4391645693624968
minority,Central Peace-Notley,48044352022.66192,1463059.962963644,0.28205120055749094
minority,Chestermere-Strathmore,1147212204.3676417,171337.27646520117,0.49107735063163466
minority,Drumheller-Stettler,41271429385.64679,1341069.60397914,0.28837442141909675
minority,Fort McMurray-Lac La Biche,30621463528.78778,931281.3563159223,0.4436842273919846
minority,Fort McMurray-Wood Buffalo,86358803742.80196,1519065.3978964845,0.4702876123200677
minority,Fort Saskatchewan-Vegreville,8292956614.467117,547666.6479826736,0.34744548267095543
minority,Grande Prairie,111134420.62590364,59300.94013179156,0.397132378346802
minority,Grande Prairie-Wapiti,15282399815.423107,679677.4457370783,0.4157150086233822
minority,Highwood,988500448.5397506,150244.25196821068,0.5502892174116354
minority,Lac Ste Anne-Parkland,7930578976.763672,532845.6023918699,0.3510039361759803
minority,Leduc,1109481227.4634428,168933.38365197214,0.488538574265477
minority,Lesser Slave Lake,75768189678.94067,1321212.465638927,0.5454456086579608
minority,Lethbridge-Cardston,8707354521.937485,613215.8416915415,0.29098416753300954
minority,Lethbridge-Fort Macleod-Crowsnest Pass,6779150152.814677,614522.4051271718,0.22558471725518536
minority,Lethbridge-Little Bow,8955001017.184626,594337.9661210715,0.3185726998151384
minority,Lethbridge-Taber-Warner,6314846675.790528,510297.6586659388,0.3047372351728182
minority,Lloydminster-Wainwright,11034670599.663126,563568.0780734685,0.4365926963517947
minority,Medicine Hat-Brooks,13741554954.232904,753511.0946614846,0.304135027121571
minority,Medicine Hat-Cypress,13527488046.764233,543552.7927896649,0.5753651590557096
minority,Olds-Three Hills-Didsbury,6790773129.378598,405830.25324353704,0.5181317997319906
minority,Peace River,109232794131.98412,1693453.833834099,0.4786479284838594
minority,Red Deer-Blackfalds,2048231560.2411866,252638.5909013555,0.40326407739951375
minority,Red Deer-Innisfail,2219010108.2611556,255223.06524320293,0.4280843036495298
minority,Red Deer-Lacombe,1790739682.6435816,223546.0410317512,0.45030664498585143
minority,Red Deer-Sylvan Lake,1805651700.8080037,209553.65755580916,0.5167177191010512
minority,Rocky Mountain House-Banff Park,28935371223.38086,1021411.243088757,0.3485279842367647
minority,Sherwood Park,121000921.11030926,66931.6885004982,0.3394180843577655
minority,St Albert,29762776.776184365,27487.649651310443,0.49500330375640755
minority,St Albert-Sturgeon,1918098571.8336709,236552.94682166167,0.43074878472582206
minority,Stony Plain-Drayton Valley,6114904702.487238,497810.7219872819,0.3100780787919736
minority,Sherwood Park-Strathcona,996360628.2297127,169166.92026168454,0.43751760801397677
minority,West Yellowhead,48064173265.45407,1545432.2691443507,0.2528898437847495
minority,Wetaskiwin-Ponoka-Maskwacis,4911854205.766034,385586.36507444095,0.41515664649641804
majority,Calgary-Acadia,27227145.028751988,25697.81980947557,0.518106939896365
majority,Calgary-Beddington,29514559.465531923,29248.540324319692,0.4335485870394109
majority,Calgary-Bhullar-McCall,40769394.37968083,33468.209113339115,0.4573821129831084
majority,Calgary-Bow,31898586.017079595,32971.113654796434,0.3687347462164519
majority,Calgary-Buffalo,4202662.877253004,8414.400880207222,0.7459127317624469
majority,Calgary-Confluence,49078741.30588867,31139.287328215407,0.6360422166547296
majority,Calgary-Cross,15857922.31677679,16272.045983211998,0.7526131883228124
majority,Calgary-Currie,15930163.497897794,21412.408614727206,0.43661540248844244
majority,Calgary-East,68371071.6576916,35682.95095233501,0.6747777054872663
majority,Calgary-Edgemont,19899601.07196424,20555.115721147835,0.5918537204511317
majority,Calgary-Elbow,17604689.266371556,20401.166737625957,0.5315305333430743
majority,Calgary-Falconridge-Conrich,46289846.379521094,35700.894482839336,0.45639135418663446
majority,Calgary-Fish Creek,32684316.70896218,35884.434976275435,0.31896060719544606
majority,Calgary-Glenmore-Tsuut'ina,334242981.05324817,112729.30761523987,0.3305205607807565
majority,Calgary-Hays,63077249.22367489,37192.11781456283,0.5730345291001065
majority,Calgary-Klein,36736917.36791337,30735.657431961365,0.48868337130489514
majority,Calgary-Lougheed,34418837.06716451,29310.991922839057,0.503436877251086
majority,Calgary-McKenzie,30929150.401403002,38062.746080653065,0.2682734034415725
