snapshot_date,ucp_share,ndp_share,ptpa_share,gpa_share,rep_share,ucp_seats,ndp_seats,ucp_majority_prob,ucp_plurality_prob,ndp_majority_prob,ndp_plurality_prob
2020-02-23,49.453,37.843,7.353,0.676,0.0,52.0,35.0,94.511,0.0,5.029,0.0
2020-03-08,49.466,37.788,7.399,0.673,0.0,52.0,35.0,94.469,0.0,5.132,0.0
2020-03-15,45.312,38.838,7.489,0.687,0.0,48.0,39.0,70.816,0.0,27.214,0.0
2020-04-12,45.28,38.813,7.504,0.688,0.0,48.0,39.0,68.766,0.0,29.435,0.0
2020-05-10,47.43,36.653,7.533,0.704,0.0,52.0,35.0,92.011,0.0,7.139,0.0
2020-06-15,44.818,35.48,9.505,0.698,0.0,54.0,33.0,94.631,0.0,3.76,0.0
2020-08-01,43.896,35.147,9.53,0.706,0.0,53.0,33.0,92.191,0.0,5.609,0.0
2020-09-18,42.397,37.002,9.544,0.711,0.0,48.0,39.0,67.446,0.0,30.027,0.0
2020-12-11,42.158,39.903,8.628,0.732,0.0,47.0,40.0,58.356,0.0,40.932,0.0
2021-01-09,39.732,44.172,5.0,0.794,0.0,40.0,47.0,32.001,0.0,67.999,0.0
2021-03-14,40.218,42.814,5.747,0.8,0.0,45.0,42.0,44.33,0.0,55.67,0.0
2021-04-16,39.878,42.749,5.879,0.815,0.0,38.0,49.0,30.11,0.0,69.89,0.0
2021-05-25,36.633,41.599,5.888,0.903,0.0,38.0,49.0,22.646,0.001,77.308,0.007
2021-06-15,34.324,40.461,5.875,0.921,0.0,38.0,49.0,17.193,0.095,82.309,0.165
2021-08-05,37.624,41.809,6.098,0.955,0.0,37.0,50.0,17.699,0.0,82.301,0.0
2021-10-24,32.207,45.135,6.067,0.94,0.0,27.0,60.0,0.408,0.0,99.592,0.0
2022-01-25,35.15,40.389,6.33,0.992,0.0,41.0,46.0,28.266,0.0,71.733,0.0
2022-03-16,36.347,41.387,5.157,0.838,0.0,39.0,48.0,22.833,0.0,77.167,0.0
2022-03-19,37.978,40.009,5.101,0.837,0.0,43.0,44.0,49.746,0.0,50.253,0.0
2022-06-06,42.374,38.881,4.106,0.832,0.0,52.0,35.0,81.194,0.0,18.806,0.0
2022-07-25,42.252,42.196,4.117,0.831,0.0,47.0,40.0,55.706,0.0,44.294,0.0
2022-09-11,43.831,40.705,4.091,0.828,0.0,51.0,36.0,71.427,0.0,28.573,0.0
2022-10-15,43.281,42.028,3.718,0.835,0.0,46.0,41.0,57.685,0.0,42.315,0.0
2022-11-20,42.372,43.834,3.608,0.847,0.0,41.0,46.0,45.62,0.0,54.38,0.0
2022-12-03,44.587,45.62,3.353,0.534,0.0,41.0,46.0,46.294,0.0,53.706,0.0
2022-12-09,46.872,45.29,3.056,0.539,0.0,47.0,40.0,65.978,0.0,34.022,0.0
2022-12-20,45.96,46.112,3.105,0.545,0.0,43.0,44.0,59.512,0.0,40.488,0.0
2023-01-29,45.775,44.233,4.231,0.547,0.0,45.0,42.0,68.4,0.0,31.6,0.0
2023-02-10,46.937,43.98,4.331,0.557,0.0,49.0,38.0,75.36,0.0,24.64,0.0
2023-02-17,45.198,45.49,4.326,0.555,0.0,49.0,38.0,71.702,0.0,28.298,0.0
2023-03-11,47.007,43.777,4.291,0.549,0.0,49.0,38.0,80.954,0.0,19.046,0.0
2023-03-25,45.894,45.137,4.34,0.555,0.0,46.0,41.0,62.908,0.0,37.092,0.0
2023-03-29,46.961,44.129,4.273,0.557,0.0,47.0,40.0,72.661,0.0,27.339,0.0
2023-04-10,46.661,44.761,4.039,0.558,0.0,48.0,39.0,68.939,0.0,31.061,0.0
2023-04-12,46.531,44.859,4.062,0.559,0.0,44.0,43.0,63.098,0.0,36.902,0.0
2023-04-21,47.396,44.074,4.025,0.557,0.0,45.0,42.0,70.885,0.0,29.115,0.0
2023-04-26,47.086,44.456,3.986,0.555,0.0,49.0,38.0,71.826,0.0,28.174,0.0
2023-04-29,47.087,44.434,3.984,0.552,0.0,49.0,38.0,72.368,0.0,27.632,0.0
2023-05-01,47.101,44.432,3.986,0.554,0.0,49.0,38.0,72.828,0.0,27.172,0.0
2023-05-02,48.063,43.63,4.012,1.367,0.0,48.0,39.0,80.268,0.0,19.732,0.0
2023-05-03,47.926,43.788,3.995,1.365,0.0,48.0,39.0,78.284,0.0,21.716,0.0
2023-05-04,46.84,44.803,4.036,1.374,0.0,53.0,34.0,76.352,0.0,23.648,0.0
2023-05-05,46.897,44.744,4.036,1.374,0.0,51.0,36.0,74.61,0.0,25.39,0.0
2023-05-06,46.865,44.752,4.058,1.376,0.0,50.0,37.0,74.656,0.0,25.344,0.0
2023-05-08,47.677,43.987,4.037,1.363,0.0,45.0,42.0,76.505,0.0,23.495,0.0
2023-05-10,47.617,43.985,4.086,1.365,0.0,45.0,42.0,75.023,0.0,24.978,0.0
2023-05-13,47.197,48.765,1.422,1.045,0.0,41.0,46.0,47.962,0.0,52.038,0.0
2023-05-14,48.739,47.14,1.411,1.04,0.0,44.0,43.0,58.962,0.0,41.038,0.0
2023-05-15,50.196,45.664,1.418,1.048,0.0,49.0,38.0,72.854,0.0,27.146,0.0
2023-05-16,50.176,45.688,1.417,1.047,0.0,48.0,39.0,71.896,0.0,28.104,0.0
2023-05-17,50.374,45.537,1.363,1.052,0.0,49.0,38.0,72.368,0.0,27.632,0.0
2023-05-18,50.067,45.784,1.393,1.051,0.0,47.0,40.0,69.462,0.0,30.538,0.0
2023-05-19,50.203,45.656,1.394,1.054,0.0,46.0,41.0,68.274,0.0,31.726,0.0
2023-05-21,50.33,45.523,1.396,1.046,0.0,48.0,39.0,69.73,0.0,30.27,0.0
2023-05-22,50.792,45.294,1.404,0.796,0.0,49.0,38.0,75.135,0.0,24.865,0.0
2023-05-23,50.695,45.381,1.388,0.8,0.0,48.0,39.0,72.79,0.0,27.21,0.0
2023-05-24,50.746,45.31,1.386,0.798,0.0,48.0,39.0,72.532,0.0,27.468,0.0
2023-05-25,50.593,45.442,1.386,0.8,0.0,47.0,40.0,70.11,0.0,29.89,0.0
2023-05-26,51.184,44.833,1.39,0.799,0.0,51.0,36.0,77.598,0.0,22.402,0.0
2023-05-27,51.053,44.99,1.366,0.798,0.0,50.0,37.0,75.224,0.0,24.776,0.0
2023-05-28,50.842,45.325,1.238,0.798,0.0,52.0,35.0,75.87,0.0,24.13,0.0
2023-05-31,52.563,44.017,0.772,0.799,0.0,49.0,38.0,99.994,0.0,0.006,0.0
2023-10-07,52.591,43.147,1.189,0.796,0.0,52.0,35.0,97.43,0.0,2.57,0.0
2023-11-09,51.248,44.434,1.201,0.801,0.0,46.0,41.0,78.991,0.0,21.009,0.0
2024-01-20,52.291,43.548,1.2,0.884,0.0,52.0,35.0,93.05,0.0,6.95,0.0
2024-03-19,52.366,42.808,1.792,0.963,0.0,56.0,31.0,95.425,0.0,4.575,0.0
2024-07-07,53.887,41.284,1.793,0.963,0.0,59.0,28.0,97.795,0.0,2.205,0.0
2025-02-09,54.349,40.816,1.792,0.97,0.0,60.0,27.0,98.656,0.0,1.344,0.0
2025-02-09,54.349,40.816,1.792,0.97,0.0,60.0,27.0,98.656,0.0,1.344,0.0
2025-05-30,55.604,39.565,1.789,0.968,0.0,61.0,26.0,99.952,0.0,0.048,0.0
2025-09-13,55.03,39.958,1.957,0.963,0.0,61.0,26.0,99.933,0.0,0.067,0.0
2025-09-28,52.345,39.187,2.078,0.952,4.745,59.0,28.0,99.628,0.0,0.372,0.0
2025-11-02,52.098,39.626,3.088,0.957,3.098,59.0,28.0,99.287,0.0,0.713,0.0
2025-12-20,48.9,42.435,3.198,0.986,3.3,50.0,37.0,80.976,0.0,19.024,0.0
2026-02-08,49.78,41.581,3.195,0.985,3.283,53.0,34.0,89.288,0.0,10.712,0.0
2026-03-14,50.327,39.763,3.248,2.007,2.958,56.0,31.0,98.912,0.0,1.088,0.0
2026-04-12,52.46,37.587,3.271,2.022,2.963,63.0,24.0,99.98,0.0,0.02,0.0
