DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,population_2021
2021A00054801003,4801003,Census subdivision,"Cypress County, Municipal district (MD)",7524
2021A00054801006,4801006,Census subdivision,"Medicine Hat, City (CY)",63271
2021A00054801008,4801008,Census subdivision,"Forty Mile County No. 8, Municipal district (MD)",3471
2021A00054801009,4801009,Census subdivision,"Foremost, Village (VL)",630
2021A00054801014,4801014,Census subdivision,"Bow Island, Town (T)",2036
2021A00054801018,4801018,Census subdivision,"Redcliff, Town (T)",5581
2021A00054802001,4802001,Census subdivision,"Warner County No. 5, Municipal district (MD)",4290
2021A00054802002,4802002,Census subdivision,"Coutts, Village (VL)",224
2021A00054802004,4802004,Census subdivision,"Milk River, Town (T)",824
2021A00054802006,4802006,Census subdivision,"Warner, Village (VL)",364
2021A00054802008,4802008,Census subdivision,"Raymond, Town (T)",4199
2021A00054802009,4802009,Census subdivision,"Stirling, Village (VL)",1164
2021A00054802011,4802011,Census subdivision,"Lethbridge County, Municipal district (MD)",10120
2021A00054802012,4802012,Census subdivision,"Lethbridge, City (CY)",98406
2021A00054802013,4802013,Census subdivision,"Coalhurst, Town (T)",2869
2021A00054802014,4802014,Census subdivision,"Nobleford, Town (T)",1438
2021A00054802016,4802016,Census subdivision,"Barons, Village (VL)",313
2021A00054802018,4802018,Census subdivision,"Picture Butte, Town (T)",1930
2021A00054802019,4802019,Census subdivision,"Coaldale, Town (T)",8771
2021A00054802021,4802021,Census subdivision,"Taber, Municipal district (MD)",7447
2021A00054802022,4802022,Census subdivision,"Taber, Town (T)",8862
2021A00054802023,4802023,Census subdivision,"Barnwell, Village (VL)",978
2021A00054802029,4802029,Census subdivision,"Vauxhall, Town (T)",1286
2021A00054802031,4802031,Census subdivision,"Newell County, Municipal district (MD)",7465
2021A00054802034,4802034,Census subdivision,"Brooks, City (CY)",14924
2021A00054802036,4802036,Census subdivision,"Duchess, Village (VL)",1053
2021A00054802038,4802038,Census subdivision,"Rosemary, Village (VL)",370
2021A00054802039,4802039,Census subdivision,"Bassano, Town (T)",1216
2021A00054803001,4803001,Census subdivision,"Cardston County, Municipal district (MD)",4856
2021A00054803002,4803002,Census subdivision,"Magrath, Town (T)",2481
2021A00054803003,4803003,Census subdivision,"Improvement District No. 4 Waterton, Improvement district (ID)",158
2021A00054803004,4803004,Census subdivision,"Cardston, Town (T)",3724
2021A00054803006,4803006,Census subdivision,"Glenwood, Village (VL)",272
