ed,kind,sources,ucp,ndp,winner,note
Calgary-Acadia,direct,Calgary-Acadia,44.0,47.0,NDP,
Calgary-Beddington,direct,Calgary-Beddington,44.0,48.0,NDP,
Calgary-Bhullar-McCall,direct,Calgary-Bhullar-McCall,32.0,62.0,NDP,
Calgary-Bow,direct,Calgary-Bow,47.0,47.0,TIE,
Calgary-Buffalo,direct,Calgary-Buffalo,32.0,61.0,NDP,
Calgary-Confluence,direct,Calgary-Buffalo,32.0,61.0,NDP,
Calgary-Cross,direct,Calgary-Cross,44.0,49.0,NDP,
Calgary-Currie,direct,Calgary-Currie,40.0,51.0,NDP,
Calgary-Edgemont,direct,Calgary-Edgemont,46.0,47.0,NDP,
Calgary-Elbow,direct,Calgary-Elbow,41.0,44.0,NDP,
Calgary-Fish Creek,direct,Calgary-Fish Creek,53.0,44.0,UCP,
Calgary-Hays,direct,Calgary-Hays,53.0,38.0,UCP,
Calgary-Klein,direct,Calgary-Klein,41.0,51.0,NDP,
Calgary-Lougheed,direct,Calgary-Lougheed,55.0,35.0,UCP,
Calgary-McKenzie,direct,Calgary-Hays,53.0,38.0,UCP,
Calgary-Mountain View,direct,Calgary-Mountain View,32.0,60.0,NDP,
Calgary-North,direct,Calgary-North,50.0,50.0,TIE,
Calgary-North East,direct,Calgary-North East,42.0,49.0,NDP,
Calgary-North West,direct,Calgary-North West,46.0,45.0,UCP,
Calgary-Nose Creek,direct,Calgary-Beddington,44.0,48.0,NDP,
Calgary-Shaw,direct,Calgary-Shaw,55.0,36.0,UCP,
Calgary-South East,direct,Calgary-South East,60.0,35.0,UCP,
Calgary-Symons Valley,direct,Calgary-North West,46.0,45.0,UCP,
Calgary-Varsity,direct,Calgary-Varsity,39.0,54.0,NDP,
Calgary-East,blend,Calgary-East,46.6,42.931,UCP,
Calgary-Falconridge-Conrich,blend,Calgary-Falconridge,43.1,49.931,NDP,
Calgary-Glenmore-Tsuut'ina,blend,Calgary-Glenmore,48.7,42.231,UCP,
Calgary-West-Elbow Valley,blend,Calgary-West,59.9,36.631,UCP,
Edmonton-Beverly-Clareview,direct,Edmonton-Beverly-Clareview,30.0,63.0,NDP,
Edmonton-Castle Downs,direct,Edmonton-Castle Downs,35.0,55.0,NDP,
Edmonton-City Centre,direct,Edmonton-City Centre,19.0,76.0,NDP,
Edmonton-Decore,direct,Edmonton-Decore,34.0,59.0,NDP,
Edmonton-Ellerslie,direct,Edmonton-Ellerslie,31.0,63.0,NDP,
Edmonton-Gold Bar,direct,Edmonton-Gold Bar,23.0,72.0,NDP,
