ed,kind,sources,ucp,ndp,winner,note
Calgary-Acadia,direct,Calgary-Acadia,44.0,47.0,NDP,
Calgary-Beddington,direct,Calgary-Beddington,44.0,48.0,NDP,
Calgary-Buffalo,direct,Calgary-Buffalo,32.0,61.0,NDP,
Calgary-Cross,direct,Calgary-Cross,44.0,49.0,NDP,
Calgary-Currie,direct,Calgary-Currie,40.0,51.0,NDP,
Calgary-East,direct,Calgary-East,42.0,47.0,NDP,
Calgary-Edgemont,direct,Calgary-Edgemont,46.0,47.0,NDP,
Calgary-Elbow,direct,Calgary-Elbow,41.0,44.0,NDP,
Calgary-Falconridge,direct,Calgary-Falconridge,37.0,57.0,NDP,
Calgary-Fish Creek,direct,Calgary-Fish Creek,53.0,44.0,UCP,
Calgary-Glenmore,direct,Calgary-Glenmore,45.0,46.0,NDP,
Calgary-Hays,direct,Calgary-Hays,53.0,38.0,UCP,
Calgary-Klein,direct,Calgary-Klein,41.0,51.0,NDP,
Calgary-Lougheed,direct,Calgary-Lougheed,55.0,35.0,UCP,
Calgary-McCall-Bhullar,direct,Calgary-Bhullar-McCall,32.0,62.0,NDP,
Calgary-Mountain View,direct,Calgary-Mountain View,32.0,60.0,NDP,
Calgary-North,direct,Calgary-North,50.0,50.0,TIE,
Calgary-North East,direct,Calgary-North East,42.0,49.0,NDP,
Calgary-South East,direct,Calgary-South East,60.0,35.0,UCP,
Calgary-Varsity,direct,Calgary-Varsity,39.0,54.0,NDP,
Calgary-Bow-Springbank,blend,Calgary-Bow,50.1,42.931,UCP,
Calgary-De Winton,blend,Calgary-Fish Creek,54.3,40.831,UCP,
Calgary-Foothills-Airdrie West,blend,Calgary-Foothills,52.2,43.631,UCP,
Calgary-Nolan Hill-Cochrane,blend,Calgary-Edgemont,49.4,42.931,UCP,
Calgary-North West-Bearspaw,blend,Calgary-North West,49.4,41.531,UCP,
Calgary-Peigan-Chestermere,blend,Calgary-Peigan,56.4,40.131,UCP,
Calgary-West-Tsuut'ina,blend,Calgary-West,59.9,36.631,UCP,
Calgary-Airdrie,split,Airdrie-Cochrane,57.1,34.531,UCP,
Calgary-South,direct,Calgary-Shaw,55.0,36.0,UCP,
Edmonton-Beverly-Clareview,direct,Edmonton-Beverly-Clareview,30.0,63.0,NDP,
Edmonton-Castledowns,direct,Edmonton-Castle Downs,35.0,55.0,NDP,
Edmonton-City Centre,direct,Edmonton-City Centre,19.0,76.0,NDP,
Edmonton-Decore,direct,Edmonton-Decore,34.0,59.0,NDP,
