ed_name,pop_2021_from_das,polygon_source
Calgary-Acadia,48065.0,da-anchored
Calgary-Airdrie,0.0,da-anchored
Calgary-Beddington,50066.0,da-anchored
Calgary-Bow-Springbank,2549.0,da-anchored
Calgary-Buffalo,0.0,da-anchored
Calgary-Cross,48284.0,da-anchored
Calgary-Currie,44473.0,da-anchored
Calgary-De Winton,34397.0,v7
Calgary-East,17856.0,v7
Calgary-Edgemont,9296.0,da-anchored
Calgary-Elbow,0.0,da-anchored
Calgary-Falconridge,85228.0,da-anchored
Calgary-Fish Creek,0.0,v7
Calgary-Foothills-Airdrie West,1405.0,da-anchored
Calgary-Glenmore,0.0,da-anchored
Calgary-Hays,0.0,none
Calgary-Klein,0.0,none
Calgary-Lougheed,41456.0,da-anchored
Calgary-McCall-Bhullar,48437.0,da-anchored
Calgary-Mountain View,53793.0,da-anchored
Calgary-Nolan Hill-Cochrane,1383.0,municipal-anchored
Calgary-North,0.0,none
Calgary-North East,0.0,da-anchored
Calgary-North West-Bearspaw,0.0,da-anchored
Calgary-Peigan-Chestermere,0.0,municipal-anchored
Calgary-South,34776.0,da-anchored
Calgary-South East,0.0,da-anchored
Calgary-Varsity,45186.0,da-anchored
Calgary-West-Tsuut'ina,46309.0,da-anchored
Edmonton-Beaumont,15577.0,v7
Edmonton-Beverly-Clareview,254468.0,da-anchored
Edmonton-Castledowns,0.0,da-anchored
Edmonton-City Centre,4476.0,da-anchored
Edmonton-Decore,2939.0,v7
Edmonton-Ellerslie,3229.0,v7
Edmonton-Enoch-Devon,2268.0,da-anchored
Edmonton-Glenora-Riverview,100828.0,da-anchored
Edmonton-Gold Bar,16402.0,da-anchored
Edmonton-Highlands-Norwood,105561.0,da-anchored
Edmonton-Manning,0.0,municipal-anchored
Edmonton-McClung,573.0,da-anchored
Edmonton-Meadows,66796.0,da-anchored
Edmonton-Mill Woods,605.0,da-anchored
Edmonton-North West,0.0,v7
Edmonton-Rutherford,336.0,v7
Edmonton-South,27377.0,da-anchored
Edmonton-Spruce Grove,55638.0,municipal-anchored
Edmonton-Strathcona,44347.0,da-anchored
Edmonton-West Henday,43189.0,da-anchored
Edmonton-Whitemud,45481.0,da-anchored
Edmonton-Windermere,0.0,v7
Airdrie East,45889.0,da-anchored
Barrhead-Westlock-Athabasca,39763.0,v7
Camrose,44726.0,v7
Canmore-Kananaskis,0.0,none
Cold Lake-Bonnyville-St. Paul,52092.0,v7
Central Peace-Notley,28141.0,v7
Chestermere-Strathmore,0.0,municipal-anchored
Drumheller-Stettler,48737.0,v7
Fort McMurray-Lac La Biche,10689.0,v7
Fort McMurray-Wood Buffalo,10009.0,v7
Fort Saskatchewan-Vegreville,31968.0,v7
Grande Prairie,46612.0,municipal-anchored
Grande Prairie-Wapiti,48215.0,v7
Highwood,41676.0,da-anchored
Lac Ste. Anne-Parkland,34663.0,v7
Leduc,3835.0,v7
Lesser Slave Lake,29127.0,v7
Lethbridge-Cardston,17321.0,v7
Lethbridge-Fort MacLeod-Crowsnest Pass,25590.0,v7
Lethbridge-Little Bow,27832.0,v7
Lethbridge-Taber-Warner,0.0,v7
Lloydminster-Wainwright,27222.0,v7
Medicine Hat-Brooks,25968.0,v7
Medicine Hat-Cypress,49267.0,municipal-anchored
Olds-Three Hills-Didsbury,42021.0,v7
Peace River,39264.0,v7
Red Deer-Blackfalds,0.0,da-anchored
Red Deer-Innisfail,8936.0,v7
Red Deer-Lacombe,8609.0,v7
Red Deer-Sylvan Lake,10617.0,v7
Rocky Mountain House-Banff Park,26748.0,v7
Sherwood Park,0.0,none
St. Albert,48999.0,municipal-anchored
St. Albert-Sturgeon,0.0,municipal-anchored
Stony Plain-Drayton Valley,12854.0,da-anchored
Sherwood Park-Strathcona,31516.0,da-anchored
West Yellowhead,47895.0,v7
Wetaskawin-Ponoka-Maskwacis,37399.0,v7
