map,ed_name,area_m2,bounding_circle_diameter_m,reock
minority,Calgary-Acadia,27113447.132502235,8341.435626181454,0.49615029019016377
minority,Calgary-Airdrie,66958275.28742345,13835.923512430862,0.4453465294281711
minority,Calgary-Beddington,34038090.09161217,9873.289211960953,0.44458170252834284
minority,Calgary-Bow-Springbank,208572618.4655093,25751.631216077134,0.40045887546566145
minority,Calgary-Buffalo,5828929.302516865,3878.0949993513495,0.4934714364334037
minority,Calgary-Cross,93282577.86615998,16763.768979428452,0.4226368137193169
minority,Calgary-Currie,17314839.354292456,6754.376734057441,0.4832346022226308
minority,Calgary-De Winton,465066102.65054226,45573.48796803324,0.2851020024344486
minority,Calgary-East,26159067.89302335,8865.223216431827,0.4237922724658962
minority,Calgary-Edgemont,20557098.651938442,7518.286550801815,0.46305671876054966
minority,Calgary-Elbow,31512001.639415897,8624.808419527486,0.539370506606739
minority,Calgary-Falconridge,16340253.72652472,6395.620649308519,0.5086318156130306
minority,Calgary-Fish Creek,31287065.857680384,8467.689260879532,0.5555781155228228
minority,Calgary-Foothills-Airdrie West,99343425.26415846,19154.738141437992,0.34474407440886484
minority,Calgary-Glenmore,31473116.741180014,9664.268654007981,0.42905392845171
minority,Calgary-Hays,42659292.923757,15384.508333554491,0.22948617567649343
minority,Calgary-Klein,25311319.699173514,9254.461376868188,0.37628994492393636
minority,Calgary-Lougheed,15278127.227965597,6116.296484647319,0.5199998064193124
minority,Calgary-McCall-Bhullar,57557081.06177614,12192.682580115274,0.4929584828452994
minority,Calgary-Mountainview,19403604.98617404,10426.67214643769,0.22724854308357378
minority,Calgary-Nolan Hill-Cochrane,745325439.1671069,51523.66844423891,0.3574723946084019
minority,Calgary-North,13469836.950111074,5180.5499411009805,0.6390292360763813
minority,Calgary-North East,19003240.18819935,7678.650245467201,0.41036281796387897
minority,Calgary-North West-Bearspaw,69413583.82296698,11922.915818400681,0.6217125453697172
minority,Calgary-Peigan-Chestermere,234003276.18163925,31536.95967506431,0.29956592440259333
minority,Calgary-South,23586751.63020161,8047.610414540395,0.4637077608995399
minority,Calgary-South East,224311517.40257186,28490.539841867983,0.35185225207808557
minority,Calgary-Varsity,29786396.878649145,8993.867750007717,0.46885126922984394
minority,Calgary-West-Tsuut'ina,375602006.37155175,38379.74329356477,0.32466381751977047
minority,Edmonton-Beaumont,75091005.03940089,15151.76827776141,0.41645817918358025
