metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95
efficiency_gap,2019 enacted,0.024119940578423545,71.436,-0.0073812122323849,0.016211132009626,0.03895697200810481
efficiency_gap,majority 2026 canonical,0.0009823668405000681,14.764,-0.0073812122323849,0.016211132009626,0.03895697200810481
efficiency_gap,minority 2026 canonical,0.04019385991913548,95.868,-0.0073812122323849,0.016211132009626,0.03895697200810481
mean_median,2019 enacted,-0.007671760176883757,94.764,-0.03242021319952959,-0.019548168358382897,-0.007557887151582495
mean_median,majority 2026 canonical,-0.036190901059016234,1.856,-0.03242021319952959,-0.019548168358382897,-0.007557887151582495
mean_median,minority 2026 canonical,0.010401768621624785,99.992,-0.03242021319952959,-0.019548168358382897,-0.007557887151582495
declination,2019 enacted,-0.04509237880431511,7.45,-0.05263110085379638,-0.00079706846532795,0.05087443168093454
declination,majority 2026 canonical,0.026675251362353544,80.718,-0.05263110085379638,-0.00079706846532795,0.05087443168093454
declination,minority 2026 canonical,-0.07700256493469557,0.42,-0.05263110085379638,-0.00079706846532795,0.05087443168093454
seats_at_50_50,2019 enacted,0.45977011494252873,83.212,0.425287356321839,0.4482758620689655,0.4712643678160919
seats_at_50_50,majority 2026 canonical,0.4606741573033708,83.212,0.425287356321839,0.4482758620689655,0.4712643678160919
seats_at_50_50,minority 2026 canonical,0.5168539325842697,100.0,0.425287356321839,0.4482758620689655,0.4712643678160919
