district,code,ucp_share,ndp_share,snap_date,wayback_url,wayback_ts,note
Calgary-Acadia,1001,44.0,47.0,2023-03-11,(cached),,(from cache)
Calgary-Beddington,1002,44.0,48.0,2023-03-11,(cached),,(from cache)
Calgary-Bow,1003,47.0,47.0,2023-05-19,(cached),,(from cache)
Calgary-Buffalo,1004,32.0,61.0,2023-03-11,(cached),,(from cache)
Calgary-Cross,1005,44.0,49.0,2023-03-25,(cached),,(from cache)
Calgary-Currie,1006,40.0,51.0,2023-03-11,(cached),,(from cache)
Calgary-East,1007,42.0,47.0,2023-03-25,(cached),,(from cache)
Calgary-Edgemont,1008,46.0,47.0,2023-05-22,(cached),,(from cache)
Calgary-Elbow,1009,41.0,44.0,2023-05-18,(cached),,(from cache)
Calgary-Falconridge,1010,37.0,57.0,2023-03-25,(cached),,(from cache)
Calgary-Fish Creek,1011,53.0,44.0,2023-05-19,(cached),,(from cache)
Calgary-Foothills,1012,50.0,48.0,2023-05-19,(cached),,(from cache)
Calgary-Glenmore,1013,45.0,46.0,2023-03-25,(cached),,(from cache)
Calgary-Hays,1014,53.0,38.0,2023-03-25,(cached),,(from cache)
Calgary-Klein,1015,41.0,51.0,2023-03-11,(cached),,(from cache)
Calgary-Lougheed,1016,55.0,35.0,2023-03-11,(cached),,(from cache)
Calgary-Bhullar-McCall,1017,32.0,62.0,2023-05-08,(cached),,(from cache)
Calgary-Mountain View,1018,32.0,60.0,2023-03-11,(cached),,(from cache)
Calgary-North,1019,50.0,50.0,2023-05-17,(cached),,(from cache)
Calgary-North East,1020,42.0,49.0,2023-03-29,(cached),,(from cache)
Calgary-North West,1021,46.0,45.0,2023-03-29,(cached),,(from cache)
Calgary-Peigan,1022,56.0,43.0,2023-05-24,(cached),,(from cache)
Calgary-Shaw,1023,55.0,36.0,2023-03-11,(cached),,(from cache)
Calgary-South East,1024,60.0,35.0,2023-05-17,(cached),,(from cache)
Calgary-Varsity,1025,39.0,54.0,2023-05-04,(cached),,(from cache)
Calgary-West,1026,61.0,38.0,2023-05-22,(cached),,(from cache)
Edmonton-Beverly-Clareview,1027,30.0,63.0,2023-03-25,(cached),,(from cache)
Edmonton-Castle Downs,1028,35.0,55.0,2023-05-13,(cached),,(from cache)
Edmonton-City Centre,1029,19.0,76.0,2023-03-25,(cached),,(from cache)
Edmonton-Decore,1030,34.0,59.0,2023-03-25,(cached),,(from cache)
Edmonton-Ellerslie,1031,31.0,63.0,2023-03-25,(cached),,(from cache)
Edmonton-Glenora,1032,26.0,71.0,2023-05-17,(cached),,(from cache)
Edmonton-Gold Bar,1033,23.0,72.0,2023-03-25,(cached),,(from cache)
Edmonton-Highlands-Norwood,1034,22.0,74.0,2023-04-21,(cached),,(from cache)
Edmonton-Manning,1035,31.0,62.0,2023-03-25,(cached),,(from cache)
Edmonton-McClung,1036,33.0,54.0,2023-03-11,(cached),,(from cache)
Edmonton-Meadows,1037,30.0,63.0,2023-03-25,(cached),,(from cache)
Edmonton-Mill Woods,1038,34.0,60.0,2023-03-25,(cached),,(from cache)
Edmonton-North West,1039,29.0,64.0,2023-03-25,(cached),,(from cache)
Edmonton-Riverview,1040,24.0,69.0,2023-03-25,(cached),,(from cache)
Edmonton-Rutherford,1041,32.0,66.0,2023-05-26,(cached),,(from cache)
Edmonton-South,1042,37.0,57.0,2023-05-01,(cached),,(from cache)
Edmonton-South West,1043,46.0,52.0,2023-05-28,(cached),,(from cache)
Edmonton-Strathcona,1044,16.0,78.0,2023-05-28,(cached),,(from cache)
Edmonton-West Henday,1045,37.0,55.0,2023-03-25,(cached),,(from cache)
Edmonton-Whitemud,1046,38.0,61.0,2023-05-17,(cached),,(from cache)
Airdrie-Cochrane,1047,57.0,35.0,2023-03-25,(cached),,(from cache)
Airdrie-East,1048,59.0,29.0,2023-03-11,(cached),,(from cache)
Athabasca-Barrhead-Westlock,1049,61.0,27.0,2023-03-25,(cached),,(from cache)
Banff-Kananaskis,1050,44.0,51.0,2023-03-25,(cached),,(from cache)
Bonnyville-Cold Lake-St. Paul,1051,63.0,24.0,2023-03-25,(cached),,(from cache)
Brooks-Medicine Hat,1052,53.0,33.0,2023-03-11,(cached),,(from cache)
Camrose,1053,60.0,25.0,2023-03-11,(cached),,(from cache)
Cardston-Siksika,1054,64.0,26.0,2023-03-25,(cached),,(from cache)
Central Peace-Notley,1055,64.0,27.0,2023-03-11,(cached),,(from cache)
Chestermere-Strathmore,1056,67.0,31.0,2023-05-17,(cached),,(from cache)
Cypress-Medicine Hat,1057,59.0,34.0,2023-03-11,(cached),,(from cache)
Drayton Valley-Devon,1058,61.0,28.0,2023-03-25,(cached),,(from cache)
Drumheller-Stettler,1059,70.0,15.0,2023-03-25,(cached),,(from cache)
Fort McMurray-Lac La Biche,1060,58.0,35.0,2023-03-11,(cached),,(from cache)
Fort McMurray-Wood Buffalo,1061,61.0,29.0,2023-05-23,(cached),,(from cache)
Fort Saskatchewan-Vegreville,1062,46.0,43.0,2023-03-25,(cached),,(from cache)
Grande Prairie,1063,53.0,34.0,2023-03-11,(cached),,(from cache)
Grande Prairie-Wapiti,1064,63.0,27.0,2023-05-08,(cached),,(from cache)
Highwood,1065,61.0,29.0,2023-03-25,(cached),,(from cache)
Innisfail-Sylvan Lake,1066,62.0,26.0,2023-03-25,(cached),,(from cache)
