snapshot_date,ucp_share_all_party,ndp_share_all_party,ucp_share_two_party,ucp_swing_vs_current_pp,maj_ucp_seats,maj_ndp_seats,min_ucp_seats,min_ndp_seats,min_minus_maj_ucp,min_minus_maj_ndp
2020-02-23,49.453,37.843,56.65,-1.598,63,26,62,27,-1,1
2020-03-08,49.466,37.788,56.692,-1.556,63,26,62,27,-1,1
2020-03-15,45.312,38.838,53.847,-4.401,54,35,56,33,2,-2
2020-04-12,45.28,38.813,53.845,-4.403,54,35,56,33,2,-2
2020-05-10,47.43,36.653,56.409,-1.839,63,26,62,27,-1,1
2020-06-15,44.818,35.48,55.815,-2.433,63,26,62,27,-1,1
2020-08-01,43.896,35.147,55.534,-2.713,62,27,61,28,-1,1
2020-09-18,42.397,37.002,53.397,-4.85,53,36,55,34,2,-2
2020-12-11,42.158,39.903,51.374,-6.874,43,46,48,41,5,-5
2021-01-09,39.732,44.172,47.354,-10.894,39,50,38,51,-1,1
2021-03-14,40.218,42.814,48.437,-9.811,39,50,39,50,0,0
2021-04-16,39.878,42.749,48.263,-9.985,39,50,38,51,-1,1
2021-05-25,36.633,41.599,46.826,-11.422,38,51,37,52,-1,1
2021-06-15,34.324,40.461,45.897,-12.351,36,53,36,53,0,0
2021-08-05,37.624,41.809,47.366,-10.882,39,50,38,51,-1,1
2021-10-24,32.207,45.135,41.642,-16.605,27,62,26,63,-1,1
2022-01-25,35.15,40.389,46.532,-11.716,37,52,37,52,0,0
2022-03-16,36.347,41.387,46.758,-11.49,38,51,37,52,-1,1
2022-03-19,37.978,40.009,48.698,-9.55,41,48,41,48,0,0
2022-06-06,42.374,38.881,52.149,-6.098,48,41,51,38,3,-3
2022-07-25,42.252,42.196,50.033,-8.215,42,47,47,42,5,-5
2022-09-11,43.831,40.705,51.849,-6.399,48,41,51,38,3,-3
2022-10-15,43.281,42.028,50.734,-7.513,42,47,47,42,5,-5
2022-11-20,42.372,43.834,49.152,-9.096,41,48,45,44,4,-4
2022-12-03,44.587,45.62,49.427,-8.82,41,48,45,44,4,-4
2022-12-09,46.872,45.29,50.858,-7.39,42,47,47,42,5,-5
2022-12-20,45.96,46.112,49.917,-8.33,42,47,47,42,5,-5
2023-01-29,45.775,44.233,50.857,-7.391,42,47,47,42,5,-5
2023-02-10,46.937,43.98,51.626,-6.622,48,41,50,39,2,-2
2023-02-17,45.198,45.49,49.839,-8.409,42,47,47,42,5,-5
2023-03-11,47.007,43.777,51.779,-6.469,48,41,51,38,3,-3
2023-03-25,45.894,45.137,50.416,-7.832,42,47,47,42,5,-5
2023-03-29,46.961,44.129,51.555,-6.693,47,42,49,40,2,-2
2023-04-10,46.661,44.761,51.039,-7.209,42,47,47,42,5,-5
2023-04-12,46.531,44.859,50.915,-7.333,42,47,47,42,5,-5
2023-04-21,47.396,44.074,51.816,-6.432,48,41,51,38,3,-3
2023-04-26,47.086,44.456,51.436,-6.811,43,46,48,41,5,-5
2023-04-29,47.087,44.434,51.449,-6.798,43,46,48,41,5,-5
2023-05-01,47.101,44.432,51.458,-6.79,43,46,48,41,5,-5
