district,ucp_share,ucp_moe,ucp_low,ucp_high,ndp_share,ndp_moe,ndp_low,ndp_high,other_share,leading_party,win_prob_leader,ucp_win_prob,ndp_win_prob,snapshot_date,source_url
Calgary-Acadia,51.706,6.993,44.713,58.699,39.517,6.665,32.852,46.182,6.999,UCP,97.18,97.18,2.82,2026-04-12,https://338canada.com/alberta/1001e.htm
Calgary-Beddington,48.4,7.142,41.258,55.542,41.254,6.93,34.324,48.184,9.128,UCP,85.94,85.94,14.06,2026-04-12,https://338canada.com/alberta/1002e.htm
Calgary-Bow,50.242,6.903,43.339,57.145,38.332,6.444,31.888,44.776,10.231,UCP,97.43,97.43,2.57,2026-04-12,https://338canada.com/alberta/1003e.htm
Calgary-Buffalo,36.715,6.719,29.996,43.434,53.245,7.216,46.029,60.461,8.792,NDP,99.41,0.59,99.41,2026-04-12,https://338canada.com/alberta/1004e.htm
Calgary-Cross,52.751,7.643,45.108,60.394,37.415,7.203,30.212,44.618,8.626,UCP,98.68,98.68,1.32,2026-04-12,https://338canada.com/alberta/1005e.htm
Calgary-Currie,43.202,7.008,36.194,50.21,46.443,7.095,39.348,53.538,9.13,NDP,69.0,31.0,69.0,2026-04-12,https://338canada.com/alberta/1006e.htm
Calgary-East,53.297,7.873,45.424,61.17,36.532,7.275,29.257,43.807,8.963,UCP,99.17,99.17,0.83,2026-04-12,https://338canada.com/alberta/1007e.htm
Calgary-Edgemont,49.466,6.858,42.608,56.324,39.818,6.602,33.216,46.42,9.226,UCP,93.68,93.68,6.32,2026-04-12,https://338canada.com/alberta/1008e.htm
Calgary-Elbow,44.567,6.888,37.679,51.455,37.925,6.523,31.402,44.448,16.339,UCP,86.93,86.93,13.07,2026-04-12,https://338canada.com/alberta/1009e.htm
Calgary-Falconridge,42.848,7.571,35.277,50.419,47.199,7.67,39.529,54.869,8.709,NDP,72.85,27.15,72.85,2026-04-12,https://338canada.com/alberta/1010e.htm
Calgary-Fish Creek,57.446,6.696,50.75,64.142,36.47,6.331,30.139,42.801,4.535,UCP,99.96,99.96,0.04,2026-04-12,https://338canada.com/alberta/1011e.htm
Calgary-Foothills,52.602,6.928,45.674,59.53,41.204,6.728,34.476,47.932,4.97,UCP,95.86,95.86,4.14,2026-04-12,https://338canada.com/alberta/1012e.htm
Calgary-Glenmore,52.084,6.863,45.221,58.947,39.906,6.573,33.333,46.479,6.793,UCP,97.28,97.28,2.72,2026-04-12,https://338canada.com/alberta/1013e.htm
Calgary-Hays,58.126,6.974,51.152,65.1,33.512,6.39,27.122,39.902,7.164,UCP,99.99,99.99,0.01,2026-04-12,https://338canada.com/alberta/1014e.htm
Calgary-Klein,49.752,7.137,42.615,56.889,41.49,6.913,34.577,48.403,7.544,UCP,89.2,89.2,10.8,2026-04-12,https://338canada.com/alberta/1015e.htm
Calgary-Lougheed,59.696,7.184,52.512,66.88,33.004,6.598,26.406,39.602,5.312,UCP,99.99,99.99,0.01,2026-04-12,https://338canada.com/alberta/1016e.htm
Calgary-Bhullar-McCall,45.553,7.949,37.604,53.502,48.377,8.033,40.344,56.41,4.826,NDP,64.29,35.71,64.29,2026-04-12,https://338canada.com/alberta/1017e.htm
Calgary-Mountain View,36.418,6.343,30.075,42.761,56.513,6.705,49.808,63.218,5.579,NDP,99.94,0.06,99.94,2026-04-12,https://338canada.com/alberta/1018e.htm
Calgary-North,53.68,7.473,46.207,61.153,40.391,7.255,33.136,47.646,4.709,UCP,96.81,96.81,3.19,2026-04-12,https://338canada.com/alberta/1019e.htm
Calgary-North East,48.415,7.126,41.289,55.541,45.582,7.056,38.526,52.638,4.772,UCP,65.97,65.97,34.03,2026-04-12,https://338canada.com/alberta/1020e.htm
