ed,kind,sources,ucp_share,ndp_share,winner,margin,note
Calgary-Acadia,direct,Calgary-Acadia,51.706,39.517,UCP,12.19,
Calgary-Beddington,direct,Calgary-Beddington,48.4,41.254,UCP,7.15,
Calgary-Bhullar-McCall,direct,Calgary-Bhullar-McCall,45.553,48.377,NDP,2.82,
Calgary-Bow,direct,Calgary-Bow,50.242,38.332,UCP,11.91,
Calgary-Buffalo,direct,Calgary-Buffalo,36.715,53.245,NDP,16.53,
Calgary-Confluence,direct,Calgary-Buffalo,36.715,53.245,NDP,16.53,
Calgary-Cross,direct,Calgary-Cross,52.751,37.415,UCP,15.34,
Calgary-Currie,direct,Calgary-Currie,43.202,46.443,NDP,3.24,
Calgary-Edgemont,direct,Calgary-Edgemont,49.466,39.818,UCP,9.65,
Calgary-Elbow,direct,Calgary-Elbow,44.567,37.925,UCP,6.64,
Calgary-Fish Creek,direct,Calgary-Fish Creek,57.446,36.47,UCP,20.98,
Calgary-Hays,direct,Calgary-Hays,58.126,33.512,UCP,24.61,
Calgary-Klein,direct,Calgary-Klein,49.752,41.49,UCP,8.26,
Calgary-Lougheed,direct,Calgary-Lougheed,59.696,33.004,UCP,26.69,
Calgary-McKenzie,direct,Calgary-Hays,58.126,33.512,UCP,24.61,
Calgary-Mountain View,direct,Calgary-Mountain View,36.418,56.513,NDP,20.09,
Calgary-North,direct,Calgary-North,53.68,40.391,UCP,13.29,
Calgary-North East,direct,Calgary-North East,48.415,45.582,UCP,2.83,
Calgary-North West,direct,Calgary-North West,49.447,37.648,UCP,11.8,
Calgary-Nose Creek,direct,Calgary-Beddington,48.4,41.254,UCP,7.15,
Calgary-Shaw,direct,Calgary-Shaw,59.367,34.124,UCP,25.24,
Calgary-South East,direct,Calgary-South East,61.587,30.931,UCP,30.66,
Calgary-Symons Valley,direct,Calgary-North West,49.447,37.648,UCP,11.8,
Calgary-Varsity,direct,Calgary-Varsity,43.88,48.751,NDP,4.87,
Calgary-East,blend,Calgary-East,55.022,34.36,UCP,20.66,
Calgary-Falconridge-Conrich,blend,Calgary-Falconridge,47.708,41.827,UCP,5.88,
Calgary-Glenmore-Tsuut'ina,blend,Calgary-Glenmore,54.173,36.722,UCP,17.45,
Calgary-West-Elbow Valley,blend,Calgary-West,59.069,31.901,UCP,27.17,
Edmonton-Beverly-Clareview,direct,Edmonton-Beverly-Clareview,45.906,45.409,UCP,0.5,
Edmonton-Castle Downs,direct,Edmonton-Castle Downs,47.168,42.494,UCP,4.67,
Edmonton-City Centre,direct,Edmonton-City Centre,28.355,61.816,NDP,33.46,
Edmonton-Decore,direct,Edmonton-Decore,47.352,41.188,UCP,6.16,
