ed_name,pop_2021_census,dev_from_quota,dev_pct,outside_legal_window_flag
Airdrie-Cochrane,63576,14580,29.759,1
Airdrie-East,57068,8073,16.476,0
Athabasca-Barrhead-Westlock,45104,-3892,-7.943,0
Banff-Kananaskis,44966,-4030,-8.224,0
Bonnyville-Cold Lake-St. Paul,50110,1114,2.273,0
Brooks-Medicine Hat,51557,2561,5.228,0
Calgary-Acadia,50148,1152,2.352,0
Calgary-Beddington,47108,-1888,-3.853,0
Calgary-Bow,52549,3554,7.253,0
Calgary-Buffalo,55781,6786,13.849,0
Calgary-Cross,48397,-599,-1.222,0
Calgary-Currie,50171,1175,2.398,0
Calgary-East,47054,-1942,-3.963,0
Calgary-Edgemont,47821,-1175,-2.398,0
Calgary-Elbow,47931,-1065,-2.173,0
Calgary-Falconridge,48834,-161,-0.329,0
Calgary-Fish Creek,44484,-4512,-9.209,0
Calgary-Foothills,59295,10300,21.021,0
Calgary-Glenmore,46786,-2210,-4.51,0
Calgary-Hays,52773,3778,7.71,0
Calgary-Klein,50205,1209,2.468,0
Calgary-Lougheed,42676,-6320,-12.899,0
Calgary-McCall,54505,5509,11.244,0
Calgary-Mountain View,52517,3521,7.186,0
Calgary-North,47357,-1639,-3.345,0
Calgary-North East,61516,12520,25.554,1
Calgary-North West,47450,-1546,-3.156,0
Calgary-Peigan,46167,-2829,-5.774,0
Calgary-Shaw,55884,6888,14.059,0
Calgary-South East,56996,8000,16.329,0
Calgary-Varsity,46190,-2806,-5.726,0
Calgary-West,45572,-3424,-6.988,0
Camrose,43381,-5614,-11.459,0
Cardston-Siksika,44658,-4338,-8.854,0
Central Peace-Notley,27060,-21935,-44.77,1
Chestermere-Strathmore,51084,2088,4.262,0
Cypress-Medicine Hat,49805,809,1.651,0
Drayton Valley-Devon,46913,-2083,-4.252,0
Drumheller-Stettler,40047,-8949,-18.264,0
Edmonton-Beverly-Clareview,46449,-2547,-5.199,0
Edmonton-Castle Downs,50758,1763,3.597,0
Edmonton-City Centre,48928,-68,-0.139,0
Edmonton-Decore,48817,-178,-0.364,0
Edmonton-Ellerslie,67910,18914,38.604,1
Edmonton-Glenora,42957,-6039,-12.325,0
Edmonton-Gold Bar,44533,-4463,-9.109,0
Edmonton-Highlands-Norwood,40557,-8439,-17.224,0
Edmonton-Manning,56174,7178,14.65,0
Edmonton-McClung,42015,-6981,-14.248,0
Edmonton-Meadows,54388,5393,11.006,0
Edmonton-Mill Woods,47897,-1099,-2.243,0
Edmonton-North West,50385,1389,2.835,0
Edmonton-Riverview,43904,-5092,-10.392,0
Edmonton-Rutherford,45515,-3481,-7.104,0
Edmonton-South,69028,20032,40.885,1
Edmonton-South West,65511,16515,33.708,1
Edmonton-Strathcona,44083,-4913,-10.026,0
Edmonton-West Henday,55732,6736,13.748,0
Edmonton-Whitemud,45543,-3453,-7.048,0
Fort McMurray-Lac La Biche,40628,-8368,-17.079,0
Fort McMurray-Wood Buffalo,44922,-4074,-8.315,0
Fort Saskatchewan-Vegreville,53931,4935,10.073,0
Grande Prairie,46592,-2404,-4.907,0
Grande Prairie-Wapiti,50225,1229,2.509,0
Highwood,50691,1695,3.459,0
Innisfail-Sylvan Lake,49003,7,0.014,0
Lac Ste. Anne-Parkland,45863,-3132,-6.393,0
Lacombe-Ponoka,46355,-2641,-5.389,0
Leduc-Beaumont,56193,7197,14.689,0
Lesser Slave Lake,27079,-21916,-44.731,1
Lethbridge-East,45151,-3845,-7.847,0
Lethbridge-West,53031,4035,8.236,0
Livingstone-Macleod,50268,1272,2.596,0
Maskwacis-Wetaskiwin,44011,-4984,-10.173,0
Morinville-St. Albert,51911,2915,5.95,0
Olds-Didsbury-Three Hills,50492,1496,3.054,0
Peace River,40290,-8706,-17.769,0
Red Deer-North,46816,-2180,-4.449,0
Red Deer-South,53743,4747,9.689,0
Rimbey-Rocky Mountain House-Sundre,45322,-3674,-7.499,0
Sherwood Park,47054,-1942,-3.963,0
Spruce Grove-Stony Plain,53785,4789,9.774,0
St. Albert,49003,7,0.015,0
Strathcona-Sherwood Park,48189,-807,-1.647,0
Taber-Warner,44535,-4461,-9.105,0
Vermilion-Lloydminster-Wainwright,45416,-3579,-7.305,0
West Yellowhead,49556,561,1.144,0
