sheet,ed_2015,ndp,pc,wrp,ucp_equiv,lib,other,total,rows_parsed
ED01,Dunvegan-Central Peace-Notley,3692,2766,3147,5913,0,0,9605,58
ED02,Lesser Slave Lake,3915,1944,3198,5142,0,0,9057,64
ED03,Calgary-Acadia,5457,4575,4959,9534,756,0,15747,70
ED04,Calgary-Bow,5669,5419,3752,9171,682,907,16429,75
ED05,Calgary-Buffalo,4431,3527,1287,4814,3130,246,12621,73
ED06,Calgary-Cross,4583,4480,2048,6528,1188,374,12673,78
ED07,Calgary-Currie,7387,4577,3769,8346,1441,1379,18553,90
ED08,Calgary-East,5369,3910,3554,7464,783,135,13751,94
ED09,Calgary-Elbow,3256,6254,1786,8040,565,8774,20635,85
ED10,Calgary-Fish Creek,5988,6144,5537,11681,0,982,18651,72
ED11,Calgary-Foothills,5333,6873,3007,9880,1159,344,16716,74
ED12,Calgary-Fort,6394,2937,2786,5723,445,382,12944,73
ED13,Calgary-Glenmore,6923,6949,5019,11968,1329,712,20932,93
ED14,Calgary-Greenway,4418,5247,2534,7781,0,0,12199,73
ED15,Calgary-Hawkwood,7443,6378,4448,10826,736,1470,20475,86
ED16,Calgary-Hays,5084,6632,4520,11152,717,338,17291,74
ED17,Calgary-Klein,8098,4878,4206,9084,1104,0,18286,84
ED18,Calgary-Lougheed,5135,5686,4572,10258,774,0,16167,78
ED19,Calgary-Mackay-Nose Hill,5455,4001,4288,8289,666,285,14695,77
ED20,Calgary-McCall,3812,2317,3367,5684,2224,1010,12730,80
ED21,Calgary-Mountain View,5673,4699,2070,6769,7204,0,19646,96
ED22,Calgary-North West,5222,5596,4583,10179,842,1081,17324,76
ED23,Calgary-Northern Hills,6537,5259,4324,9583,982,0,17102,105
ED24,Calgary-Shaw,5375,5286,5252,10538,662,655,17230,77
ED25,Calgary-South East,7294,7625,6830,14455,1291,370,23410,122
ED26,Calgary-Varsity,8004,5583,2527,8110,1801,407,18322,84
ED27,Calgary-West,4814,7882,4345,12227,0,0,17041,73
ED28,Edmonton-Beverly-Clareview,10731,2218,1095,3313,311,128,14483,70
ED29,Edmonton-Calder,12591,3092,1516,4608,511,0,17710,84
ED30,Edmonton-Castle Downs,10972,3948,1306,5254,807,0,17033,78
ED31,Edmonton-Centre,8426,2118,730,2848,3988,316,15578,82
ED32,Edmonton-Decore,10531,2847,1289,4136,691,150,15508,77
ED33,Edmonton-Ellerslie,10836,3458,2477,5935,828,0,17599,77
ED34,Edmonton-Glenora,12163,3101,1378,4479,538,644,17824,78
ED35,Edmonton-Gold Bar,15349,4147,1422,5569,702,662,22282,84
ED36,Edmonton-Highlands-Norwood,11555,1778,967,2745,494,0,14794,81
ED37,Edmonton-Manning,12376,2599,1475,4074,776,0,17226,92
ED38,Edmonton-McClung,8845,4099,2243,6342,0,768,15955,64
ED39,Edmonton-Meadowlark,9484,3766,1895,5661,1453,0,16598,81
ED40,Edmonton-Mill Creek,7840,3443,1167,4610,1645,0,14095,62
ED41,Edmonton-Mill Woods,9930,2920,1437,4357,850,173,15310,71
ED42,Edmonton-Riverview,12108,3732,1350,5082,1416,681,19287,87
ED43,Edmonton-Rutherford,11214,3940,1644,5584,741,0,17539,74
ED44,Edmonton-South West,11845,6079,2183,8262,1150,507,21764,102
ED45,Edmonton-Strathcona,13380,2216,0,2216,649,0,16245,96
ED46,Edmonton-Whitemud,12805,7177,1423,8600,629,255,22289,98
ED47,Airdrie,5596,5427,6683,12110,0,1159,18865,84
ED48,Athabasca-Sturgeon-Redwater,6601,4730,4866,9596,0,0,16197,81
ED49,Banff-Cochrane,7809,5311,5311,10622,0,0,18431,80
ED50,Statement Of Results By Poll - Barrhead-Morinville-Westlock,6232,4876,7206,12082,0,0,18314,87
ED51,Battle River-Wainwright,3807,5057,6862,11919,500,0,16226,83
ED52,Bonnyville-Cold Lake,2053,3281,5130,8411,0,581,11045,60
ED53,Cardston-Taber-Warner,2407,4356,5126,9482,0,378,12267,62
ED54,Chestermere-Rocky View,3295,6990,7161,14151,0,1743,19189,82
ED55,Cypress-Medicine Hat,2777,3055,7663,10718,482,0,13977,76
ED56,Drayton Valley-Devon,4393,4644,5734,10378,0,627,15398,77
ED57,Drumheller-Stettler,2927,5388,7570,12958,0,0,15885,89
ED58,Fort McMurray-Conklin,2071,1502,2950,4452,204,0,6727,40
ED59,Fort McMurray-Wood Buffalo,2286,1934,3106,5040,262,0,7588,47
ED60,Fort Saskatchewan-Vegreville,7886,4974,3551,8525,417,531,17359,80
ED61,Grande Prairie-Smoky,4918,4915,5287,10202,771,0,15891,87
ED62,Grande Prairie-Wapiti,4961,6198,4150,10348,0,2048,17357,89
ED63,Highwood,3793,6527,8181,14708,0,1382,19883,81
ED64,Innisfail-Sylvan Lake,3701,4365,6612,10977,0,1008,15686,77
ED65,Lac La Biche-St. Paul-Two Hills,4058,2919,4597,7516,0,325,11899,61
ED66,Lacombe-Ponoka,5364,4954,6358,11312,0,1191,17867,70
ED67,Leduc-Beaumont,7734,5790,6096,11886,0,849,20469,74
ED68,Lethbridge-East,8838,4714,3867,8581,1194,0,18613,81
ED69,Lethbridge-West,11144,3938,3063,7001,634,0,18779,87
ED70,Little Bow,3300,4686,4667,9353,374,242,13269,66
ED71,Livingstone-Macleod,4171,6300,7243,13543,459,0,18173,77
ED72,Medicine Hat,6009,3318,5608,8926,0,836,15771,80
ED73,Olds-Didsbury-Three Hills,3300,5187,10518,15705,0,663,19668,77
ED74,Peace River,3821,3529,1979,5508,0,376,9705,66
ED75,Red Deer-North,4969,3836,4173,8009,3262,683,16923,86
ED76,Red Deer-South,6810,5269,4628,9897,716,1559,18982,79
ED77,Rimbey-Rocky Mountain House-Sundre,2256,4342,5427,9769,0,1495,13520,65
ED78,Sherwood Park,10665,5211,4504,9715,0,0,20380,79
ED79,Spruce Grove-St. Albert,11546,6362,4631,10993,916,1350,24805,100
ED80,St. Albert,12099,6299,2831,9130,771,488,22488,96
ED81,Stony Plain,6590,4459,5061,9520,581,681,17372,68
ED82,Strathcona-Sherwood Park,9102,6433,5136,11569,0,695,21366,79
ED83,Strathmore-Brooks,2096,3920,7712,11632,175,559,14462,75
ED84,Vermilion-Lloydminster,2338,5737,4019,9756,0,0,12094,72
ED85,West Yellowhead,4135,3433,3055,6488,0,0,10623,65
