ed_name,population_2017_report,variance_pct_from_avg,source
Calgary-Acadia,48966,5,"2017 EBC Final Report, pp. 60-61"
Airdrie-Cochrane,51170,9,"2017 EBC Final Report, pp. 60-61"
Calgary-Beddington,50220,7,"2017 EBC Final Report, pp. 60-61"
Airdrie-East,49978,7,"2017 EBC Final Report, pp. 60-61"
Calgary-Bow,51358,10,"2017 EBC Final Report, pp. 60-61"
Athabasca-Barrhead,46920,0,"2017 EBC Final Report, pp. 60-61"
Calgary-Buffalo,49907,7,"2017 EBC Final Report, pp. 60-61"
Banff-Kananaskis,46824,0,"2017 EBC Final Report, pp. 60-61"
Calgary-Cross,50634,8,"2017 EBC Final Report, pp. 60-61"
Brooks-Medicine Hat,51070,9,"2017 EBC Final Report, pp. 60-61"
Calgary-Currie,48403,3,"2017 EBC Final Report, pp. 60-61"
Camrose,44082,-6,"2017 EBC Final Report, pp. 60-61"
Calgary-East,50838,9,"2017 EBC Final Report, pp. 60-61"
Cardston-Siksika,42655,-9,"2017 EBC Final Report, pp. 60-61"
Calgary-Edgemont,50803,9,"2017 EBC Final Report, pp. 60-61"
Central Peace-Notley,28993,-38,"2017 EBC Final Report, pp. 60-61"
Calgary-Elbow,48618,4,"2017 EBC Final Report, pp. 60-61"
Chestermere-Strathmore,48203,3,"2017 EBC Final Report, pp. 60-61"
Calgary-Falconridge,52688,13,"2017 EBC Final Report, pp. 60-61"
Cold Lake-St. Paul,53809,15,"2017 EBC Final Report, pp. 60-61"
Calgary-Fish Creek,47691,2,"2017 EBC Final Report, pp. 60-61"
Cypress-Medicine Hat,50109,7,"2017 EBC Final Report, pp. 60-61"
Calgary-Foothills,45715,-2,"2017 EBC Final Report, pp. 60-61"
Drayton Valley-Devon,46637,0,"2017 EBC Final Report, pp. 60-61"
Calgary-Glenmore,49543,6,"2017 EBC Final Report, pp. 60-61"
Drumheller-Stettler,41535,-11,"2017 EBC Final Report, pp. 60-61"
Calgary-Hays,50782,9,"2017 EBC Final Report, pp. 60-61"
Fort McMurray-Lac La Biche,44166,-6,"2017 EBC Final Report, pp. 60-61"
Calgary-Klein,50338,8,"2017 EBC Final Report, pp. 60-61"
Fort McMurray-Wood Buffalo,41420,-12,"2017 EBC Final Report, pp. 60-61"
Calgary-Lougheed,42956,-8,"2017 EBC Final Report, pp. 60-61"
Fort Saskatchewan-Vegreville,52141,11,"2017 EBC Final Report, pp. 60-61"
Calgary-McCall,48735,4,"2017 EBC Final Report, pp. 60-61"
Grande Prairie,46343,-1,"2017 EBC Final Report, pp. 60-61"
Calgary-Mountain View,49442,6,"2017 EBC Final Report, pp. 60-61"
Grande Prairie-Wapiti,48481,4,"2017 EBC Final Report, pp. 60-61"
Calgary-North,39120,-16,"2017 EBC Final Report, pp. 60-61"
Innisfail-Sylvan Lake,46717,0,"2017 EBC Final Report, pp. 60-61"
Calgary-North East,40366,-14,"2017 EBC Final Report, pp. 60-61"
Lac Ste. Anne-Parkland,46546,-1,"2017 EBC Final Report, pp. 60-61"
Calgary-North West,48766,4,"2017 EBC Final Report, pp. 60-61"
Lacombe-Ponoka,44898,-4,"2017 EBC Final Report, pp. 60-61"
Calgary-Peigan,45810,-2,"2017 EBC Final Report, pp. 60-61"
Leduc-Beaumont,48337,3,"2017 EBC Final Report, pp. 60-61"
Calgary-Shaw,45169,-3,"2017 EBC Final Report, pp. 60-61"
Lesser Slave Lake,27818,-41,"2017 EBC Final Report, pp. 60-61"
Calgary-South East,40309,-14,"2017 EBC Final Report, pp. 60-61"
Lethbridge-East,46204,-1,"2017 EBC Final Report, pp. 60-61"
Calgary-Varsity,45742,-2,"2017 EBC Final Report, pp. 60-61"
Lethbridge-West,46525,-1,"2017 EBC Final Report, pp. 60-61"
Calgary-West,46266,-1,"2017 EBC Final Report, pp. 60-61"
Livingstone-Macleod,48120,3,"2017 EBC Final Report, pp. 60-61"
Maskwacis-Wetaskiwin,43798,-6,"2017 EBC Final Report, pp. 60-61"
Edmonton-Beverly-Clareview,46496,-1,"2017 EBC Final Report, pp. 60-61"
Morinville-St. Albert,50225,7,"2017 EBC Final Report, pp. 60-61"
Edmonton-Castle Downs,46112,-1,"2017 EBC Final Report, pp. 60-61"
Okotoks-Sheep River,48813,4,"2017 EBC Final Report, pp. 60-61"
Edmonton-City Centre,47715,2,"2017 EBC Final Report, pp. 60-61"
Olds-Didsbury-Three Hills,49418,6,"2017 EBC Final Report, pp. 60-61"
Edmonton-Decore,48927,5,"2017 EBC Final Report, pp. 60-61"
Peace River,39974,-15,"2017 EBC Final Report, pp. 60-61"
Edmonton-Ellerslie,48024,3,"2017 EBC Final Report, pp. 60-61"
Red Deer-North,47672,2,"2017 EBC Final Report, pp. 60-61"
Edmonton-Glenora,45519,-3,"2017 EBC Final Report, pp. 60-61"
Red Deer-South,52743,13,"2017 EBC Final Report, pp. 60-61"
Edmonton-Gold Bar,45446,-3,"2017 EBC Final Report, pp. 60-61"
Rocky Mountain House-Sundre,45138,-4,"2017 EBC Final Report, pp. 60-61"
Edmonton-Highlands-Norwood,43550,-7,"2017 EBC Final Report, pp. 60-61"
Sherwood Park,45992,-2,"2017 EBC Final Report, pp. 60-61"
Edmonton-Manning,48376,3,"2017 EBC Final Report, pp. 60-61"
Spruce Grove-Stony Plain,51267,10,"2017 EBC Final Report, pp. 60-61"
Edmonton-McClung,44625,-5,"2017 EBC Final Report, pp. 60-61"
St. Albert,47745,2,"2017 EBC Final Report, pp. 60-61"
Edmonton-Meadows,51776,11,"2017 EBC Final Report, pp. 60-61"
Strathcona-Sherwood Park,47853,2,"2017 EBC Final Report, pp. 60-61"
Edmonton-Mill Woods,50265,7,"2017 EBC Final Report, pp. 60-61"
Taber-Warner,42625,-9,"2017 EBC Final Report, pp. 60-61"
Edmonton-North West,45523,-3,"2017 EBC Final Report, pp. 60-61"
Vermilion-Wainwright,46042,-2,"2017 EBC Final Report, pp. 60-61"
Edmonton-Riverview,45214,-3,"2017 EBC Final Report, pp. 60-61"
West Yellowhead,50604,8,"2017 EBC Final Report, pp. 60-61"
Edmonton-Rutherford,47353,1,"2017 EBC Final Report, pp. 60-61"
Edmonton-South,45801,-2,"2017 EBC Final Report, pp. 60-61"
Edmonton-South West,45901,-2,"2017 EBC Final Report, pp. 60-61"
Edmonton-Strathcona,46578,0,"2017 EBC Final Report, pp. 60-61"
Edmonton-West Henday,43046,-8,"2017 EBC Final Report, pp. 60-61"
Edmonton-Whitemud,46833,0,"2017 EBC Final Report, pp. 60-61"
