ed_name,region,sheet,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,cand_7,cand_8,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,votes_7,votes_8,total_valid_votes,winner_party,winner_pct,runner_up_party,runner_up_pct,margin_pct
Calgary-Acadia,Calgary,ED01,Kate Andrews (NDP),Lana Bentley (AP),Amanda Bishop (GPA),Lorissa Good (LIB),Patrick Reilly (AIP),Tyler Shandro (UCP),,,8049,1728,243,350,245,12615,,,23230,UCP,54.30,NDP,34.65,19.66
Calgary-Beddington,Calgary,ED02,Amanda Chapman (NDP),Carol-Lynn Darch (AP),Alexander Dea (IND),Tom Grbich (AIP),Josephine Pon (UCP),Chandan  Tadavalkar (LIB),,,7818,1799,117,161,11625,370,,,21890,UCP,53.11,NDP,35.71,17.39
Calgary-Bow,Calgary,ED03,Deborah Drever (NDP),Daniel  Ejumabone (LIB),Paul Godard (AP),Demetrios Nicolaides (UCP),Marion Westoll (GPA),,,,8548,320,1774,13987,233,,,,25023,UCP,55.90,NDP,34.16,21.74
Calgary-Buffalo,Calgary,ED04,Joe Ceci (NDP),Cory Hetherington (AIP),Jennifer Khan (LIB),Omar Masood (AP),Heather Morigeau (GPA),Tom Olsen (UCP),,,11292,147,590,1597,436,9050,,,23112,NDP,48.86,UCP,39.16,9.70
Calgary-Cross,Calgary,ED05,Mickey Amery (UCP),Naser  Kukhun (LIB),Braham Luddu (AP),Ricardo Miranda (NDP),,,,,8907,410,962,6135,,,,,16414,UCP,54.26,NDP,37.38,16.89
Calgary-Currie,Calgary,ED06,Joshua Codd (LIB),Lindsay Luhnau (AP),Brian Malkinson (NDP),Nicholas Milliken (UCP),,,,,491,2512,9769,9960,,,,,22792,UCP,43.70,NDP,42.86,0.84
Calgary-East,Calgary,ED07,Cesar Cala (NDP),William Carnegie (GPA),Gar Gar (AP),Michelle Robinson (LIB),Peter Singh (UCP),Jonathan Trautman (CP-A),,,4867,351,1879,439,7520,69,,,15125,UCP,49.72,NDP,32.18,17.54
Calgary-Edgemont,Calgary,ED08,Joanne Gui (AP),Julia Hayter (NDP),Tomasz Kochanowicz (AIP),Graeme Maitland (LIB),Prasad Panda (UCP),Carl Svoboda (GPA),,,2740,8570,106,305,13308,155,,,25184,UCP,52.84,NDP,34.03,18.81
Calgary-Elbow,Calgary,ED09,Greg Clark (AP),Janet Eremenko (NDP),Robin Mackintosh (LIB),Quinn Rupert (GPA),Doug Schweitzer (UCP),,,,7542,5796,275,132,10951,,,,24696,UCP,44.34,AP,30.54,13.80
Calgary-Falconridge,Calgary,ED10,Parmeet Singh Boparai (NDP),Jasbir Singh Dhari (AP),Deepak Sharma (LIB),Devinder Toor (UCP),,,,,6662,849,561,6753,,,,,14825,UCP,45.55,NDP,44.94,0.61
Calgary-Fish Creek,Calgary,ED11,Rebecca Bounsall (NDP),Richard Gotfried (UCP),Tomas Manasek (AIP),John Roggeveen (LIB),Taylor Stasila (GPA),Robert Tremblay (AP),,,7476,15975,226,359,231,1699,,,25966,UCP,61.52,NDP,28.79,32.73
Calgary-Foothills,Calgary,ED12,Sameena Arif (NDP),Andrea Joyce (LIB),Jason Luan (UCP),Kyle Miller (AIP),Jennifer Wyness (AP),,,,6985,379,12277,80,1680,,,,21543,UCP,56.99,NDP,32.42,24.56
