ed_name,region,sheet_num,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,total_valid_votes,turnout_pct,winner_party,winner_pct,runner_up_party,runner_up_pct,margin_pct
Calgary-Acadia,Calgary,01,Diana Batten (NDP),Paul Bechthold (GPA),Larry R. Heather (IND),Linda McClelland (SM),Donna Kathleen Scott (WLC),Tyler Shandro (UCP),10959,293,162,92,119,10937,22562,0.6526,NDP,48.57,UCP,48.48,0.10
Calgary-Beddington,Calgary,02,Amanda Chapman (NDP),Wayne Jackson (AP),Josephine Pon (UCP),Zarnab Shahid Zafar (LIB),,,10269,473,9726,210,,,20678,0.6034,NDP,49.66,UCP,47.04,2.63
Calgary-Bow,Calgary,03,Druh Farrell (NDP),Paul Godard (AP),Demetrios Nicolaides (UCP),Manuel Santos (SM),,,12552,670,13175,89,,,26486,0.6675,UCP,49.74,NDP,47.39,2.35
Calgary-Buffalo,Calgary,04,Joe Ceci (NDP),Lona Henry (SM),Astrid Kuhn (UCP),Jonathan Parks (GPA),,,13221,125,7292,349,,,20987,0.5856,NDP,63.00,UCP,34.75,28.25
Calgary-Cross,Calgary,05,Mickey Amery (UCP),Gurinder Singh Gill (NDP),Kathryn Lapp (SM),Aman Sandhu (GPA),,,7533,7019,202,254,,,15008,0.5046,UCP,50.19,NDP,46.77,3.42
Calgary-Currie,Calgary,06,Jason Avramenko (AP),Janet Eremenko (NDP),Leila Keith (LIB),Nicholas Milliken (UCP),Dawid Pawlowski (SM),Lane Robson (GPA),409,12261,216,9181,83,222,22372,0.6379,NDP,54.81,UCP,41.04,13.77
Calgary-East,Calgary,07,Jayden Baldonado (GPA),Garry Dirk (SM),Peter Singh (UCP),Rosman Valencia (NDP),,,403,166,7123,6425,,,14181,0.4516,UCP,50.23,NDP,45.31,4.92
Calgary-Edgemont,Calgary,08,Nan Barron (WLC),Julia Hayter (NDP),Prasad Panda (UCP),Allen Schultz (AP),Miles Williams (SM),,66,11681,11397,488,64,,23696,0.6609,NDP,49.30,UCP,48.10,1.20
Calgary-Elbow,Calgary,09,Kerry Cundal (AP),Chris Davis (UCP),Samir Kayande (NDP),Artur Pawlowski (SM),,,1136,11446,12189,99,,,24870,0.6905,NDP,49.01,UCP,46.02,2.99
Calgary-Falconridge,Calgary,10,Parmeet Singh Boparai (NDP),Ahmed Hassan (GPA),Kyle Kennedy (IND),Devinder Toor (UCP),Evan Wilson (SM),,7786,203,252,5476,91,,13808,0.4888,NDP,56.39,UCP,39.66,16.73
Calgary-Fish Creek,Calgary,11,Rebecca Bounsall (NDP),Charlie Heater (LIB),Dave Hughes (SM),Myles McDougall (UCP),,,11254,378,186,13743,,,25561,0.7020,UCP,53.77,NDP,44.03,9.74
Calgary-Foothills,Calgary,12,Kami Dass (SM),Keenan Demontigny (IND),Court Ellingson (NDP),Jason Luan (UCP),,,105,190,11054,10793,,,22142,0.6165,NDP,49.92,UCP,48.74,1.18
Calgary-Glenmore,Calgary,13,Nagwan Al-Guneid (NDP),Whitney Issik (UCP),Steven Maffioli (GPA),,,,12687,12639,422,,,,25748,0.7019,NDP,49.27,UCP,49.09,0.19
Calgary-Hays,Calgary,14,Garry Leonhardt (SM),Richard William (Ric) McIver (UCP),Andrew Stewart (NDP),Evelyn Tanaka (GPA),,,118,11807,8987,321,,,21233,0.6103,UCP,55.61,NDP,42.33,13.28
Calgary-Klein,Calgary,15,Kenneth Drysdale (GPA),Jeremy Nixon (UCP),Rob Oswin (SM),Lizette Tejada (NDP),,,353,9697,153,10564,,,20767,0.6049,NDP,50.87,UCP,46.69,4.17
Calgary-Lougheed,Calgary,16,Eric Bouchard (UCP),Nathaniel Pawlowski (SM),Venkat Ravulaparthi (NDP),John Roggeveen (LIB),,,9690,184,6924,369,,,17167,0.6077,UCP,56.45,NDP,40.33,16.11
Calgary-Bhullar-McCall,Calgary,17,Amanpreet Singh Gill (UCP),Irfan Sabir (NDP),,,,,5261,7265,,,,,12526,0.5383,NDP,58.00,UCP,42.00,16.00
Calgary-Mountain View,Calgary,18,Kathleen Ganley (NDP),Lucas Hernandez (PAPA),Pamela Rath (UCP),Christopher Wedick (SM),Frances Woytkiw (LIB),,16516,90,8468,119,335,,25528,0.6720,NDP,64.70,UCP,33.17,31.53
Calgary-North,Calgary,19,Rajesh Angral (NDP),Muhammad Yaseen (UCP),,,,,7798,7927,,,,,15725,0.5679,UCP,50.41,NDP,49.59,0.82
Calgary-North East,Calgary,20,Gurinder Brar (NDP),Inder Grewal (UCP),,,,,11117,9078,,,,,20195,0.5806,NDP,55.05,UCP,44.95,10.10
Calgary-North West,Calgary,21,Alain Habel (SM),Michael Lisboa-Smith (NDP),Rajan Sawhney (UCP),Serena Thomsen (IND),Jenny Yeremiy (AP),,45,11778,11921,153,778,,24675,0.6973,UCP,48.31,NDP,47.73,0.58
Calgary-Peigan,Calgary,22,Tanya Fir (UCP),Shaun Pulsifer (GPA),Denis Ram (NDP),,,,11892,626,9095,,,,21613,0.6313,UCP,55.02,NDP,42.08,12.94
Calgary-Shaw,Calgary,23,Pietro Cervo (SM),David Cloutier (NDP),Rebecca Schulz (UCP),,,,236,10591,13970,,,,24797,0.6335,UCP,56.34,NDP,42.71,13.63
