origin_csd,origin_dguid,origin_csd_code,dest_csd,workers_total,workers_men,workers_women,pct_all_workers,pct_out_commuters
"Cochrane (T), Alta.",2021A00054806019,4806019,"Cochrane (T), Alta.",4205,1655,2550,49.18,
"Cochrane (T), Alta.",2021A00054806019,4806019,"Calgary (CY), Alta.",3065,1540,1530,35.85,70.54
"Cochrane (T), Alta.",2021A00054806019,4806019,"Rocky View County (MD), Alta.",345,205,140,4.04,7.94
"Cochrane (T), Alta.",2021A00054806019,4806019,"Canmore (T), Alta.",185,120,65,2.16,4.26
"Cochrane (T), Alta.",2021A00054806019,4806019,"Wood Buffalo (SM), Alta.",135,135,0,1.58,3.11
"Cochrane (T), Alta.",2021A00054806019,4806019,"Airdrie (CY), Alta.",130,80,55,1.52,2.99
"Cochrane (T), Alta.",2021A00054806019,4806019,"Bighorn No. 8 (MD), Alta.",115,110,0,1.35,2.65
"Cochrane (T), Alta.",2021A00054806019,4806019,"Banff (T), Alta.",85,55,30,0.99,1.96
"Cochrane (T), Alta.",2021A00054806019,4806019,"Kananaskis (ID), Alta.",40,25,10,0.47,0.92
"Cochrane (T), Alta.",2021A00054806019,4806019,"Edmonton (CY), Alta.",30,20,0,0.35,0.69
"Cochrane (T), Alta.",2021A00054806019,4806019,"Sundre (T), Alta.",20,15,0,0.23,0.46
"Cochrane (T), Alta.",2021A00054806019,4806019,"Red Deer (CY), Alta.",20,15,10,0.23,0.46
"Cochrane (T), Alta.",2021A00054806019,4806019,"Foothills County (MD), Alta.",20,20,0,0.23,0.46
"Cochrane (T), Alta.",2021A00054806019,4806019,"Olds (T), Alta.",15,10,10,0.18,0.35
"Cochrane (T), Alta.",2021A00054806019,4806019,"Division No. 18, Unorganized (NO), Sask.",15,15,0,0.18,0.35
"Cochrane (T), Alta.",2021A00054806019,4806019,"Cremona (VL), Alta.",15,10,0,0.18,0.35
"Cochrane (T), Alta.",2021A00054806019,4806019,"Vulcan (T), Alta.",10,10,0,0.12,0.23
"Cochrane (T), Alta.",2021A00054806019,4806019,"Vancouver (CY), B.C.",10,10,0,0.12,0.23
"Cochrane (T), Alta.",2021A00054806019,4806019,"Strathcona County (SM), Alta.",10,10,0,0.12,0.23
"Cochrane (T), Alta.",2021A00054806019,4806019,"Region 6, Unorganized (NO), N.W.T.",10,0,10,0.12,0.23
"Cochrane (T), Alta.",2021A00054806019,4806019,"Mountain View County (MD), Alta.",10,10,0,0.12,0.23
"Cochrane (T), Alta.",2021A00054806019,4806019,"Morinville (T), Alta.",10,0,10,0.12,0.23
"Cochrane (T), Alta.",2021A00054806019,4806019,"Medicine Hat (CY), Alta.",10,0,0,0.12,0.23
"Cochrane (T), Alta.",2021A00054806019,4806019,"Kitimat (DM), B.C.",10,10,0,0.12,0.23
"Cochrane (T), Alta.",2021A00054806019,4806019,"Crossfield (T), Alta.",10,10,0,0.12,0.23
"Cochrane (T), Alta.",2021A00054806019,4806019,"Cold Lake (CY), Alta.",10,10,0,0.12,0.23
"Cochrane (T), Alta.",2021A00054806019,4806019,"Alexander 134 (IRI), Alta.",10,10,0,0.12,0.23
