current_2019,proposed_2026,type,source
Airdrie-Cochrane,Airdrie-West,rename,hybrid_xwalk (hybrid)
Airdrie-East,Airdrie-East,identity,gpkg_parents (identity)
Athabasca-Barrhead-Westlock,Barrhead-Westlock-Athabasca,rename,reall_single (rename_or_split_primary)
Banff-Kananaskis,Canmore-Banff,rename,reall_single (rename_or_split_primary)
Bonnyville-Cold Lake-St. Paul,Cold Lake-Bonnyville-St. Paul,rename,hybrid_xwalk (hybrid)
Brooks-Medicine Hat,Medicine Hat-Brooks,rename,hybrid_xwalk (hybrid)
Calgary-Acadia,Calgary-Acadia,identity,gpkg_parents (identity)
Calgary-Beddington,Calgary-Beddington,identity,gpkg_parents (identity)
Calgary-Bow,Calgary-Bow,identity,gpkg_parents (identity)
Calgary-Buffalo,Calgary-Buffalo,identity,gpkg_parents (identity)
Calgary-Cross,Calgary-Cross,identity,gpkg_parents (identity)
Calgary-Currie,Calgary-Currie,identity,gpkg_parents (identity)
Calgary-East,Calgary-East,identity,gpkg_parents (identity)
Calgary-Edgemont,Calgary-Edgemont,identity,gpkg_parents (identity)
Calgary-Elbow,Calgary-Elbow,identity,gpkg_parents (identity)
Calgary-Falconridge,Calgary-Falconridge-Conrich,rename,reall_single (rename_or_split_primary)
Calgary-Fish Creek,Calgary-Fish Creek,identity,gpkg_parents (identity)
Calgary-Foothills,Calgary-Nose Creek,split_primary,manual (manual: Foothills restructured; Nose Creek absorbs north-Calgary territory)
Calgary-Glenmore,Calgary-Glenmore-Tsuut'ina,rename,reall_single (rename_or_split_primary)
Calgary-Hays,Calgary-Hays,identity,gpkg_parents (identity)
Calgary-Klein,Calgary-Klein,identity,gpkg_parents (identity)
Calgary-Lougheed,Calgary-Lougheed,identity,gpkg_parents (identity)
Calgary-McCall,Calgary-Bhullar-McCall,rename,manual (manual: McCall renamed to Bhullar-McCall)
Calgary-Mountain View,Calgary-Mountain View,identity,gpkg_parents (identity)
Calgary-North,Calgary-North,identity,gpkg_parents (identity)
Calgary-North East,Calgary-North East,identity,gpkg_parents (identity)
Calgary-North West,Calgary-North West,identity,gpkg_parents (identity)
Calgary-Peigan,Calgary-McKenzie,split_primary,manual (manual: Peigan eliminated in majority; McKenzie covers S. Calgary Peigan territory)
Calgary-Shaw,Calgary-Shaw,identity,gpkg_parents (identity)
Calgary-South East,Calgary-South East,identity,gpkg_parents (identity)
Calgary-Varsity,Calgary-Varsity,identity,gpkg_parents (identity)
Calgary-West,Calgary-West-Elbow Valley,rename,reall_single (rename_or_split_primary)
Camrose,Camrose,identity,gpkg_parents (identity)
Cardston-Siksika,High River-Vulcan-Siksika,split_primary,manual (manual: Siksika territory absorbed into High River-Vulcan-Siksika)
Central Peace-Notley,Central Peace-Notley,identity,gpkg_parents (identity)
Chestermere-Strathmore,Chestermere-Strathmore,identity,gpkg_parents (identity)
Cypress-Medicine Hat,Medicine Hat-Cypress,rename,gpkg_parents (rename)
Drayton Valley-Devon,Stony Plain-Drayton Valley,rename,reall_single (rename_or_split_primary)
Drumheller-Stettler,Drumheller-Stettler,identity,gpkg_parents (identity)
Edmonton-Beverly-Clareview,Edmonton-Beverly-Clareview,identity,gpkg_parents (identity)
Edmonton-Castle Downs,Edmonton-Castle Downs,identity,gpkg_parents (identity)
Edmonton-City Centre,Edmonton-City Centre,identity,gpkg_parents (identity)
Edmonton-Decore,Edmonton-Decore,identity,gpkg_parents (identity)
Edmonton-Ellerslie,Edmonton-Ellerslie,identity,gpkg_parents (identity)
Edmonton-Glenora,Edmonton-Glenora-Riverview,rename,reall_single (rename_or_split_primary)
Edmonton-Gold Bar,Edmonton-Gold Bar,identity,gpkg_parents (identity)
Edmonton-Highlands-Norwood,Edmonton-Highlands-Norwood,identity,gpkg_parents (identity)
Edmonton-Manning,Edmonton-Manning,identity,gpkg_parents (identity)
Edmonton-McClung,Edmonton-McClung,identity,gpkg_parents (identity)
Edmonton-Meadows,Edmonton-Meadows,identity,gpkg_parents (identity)
Edmonton-Mill Woods,Edmonton-Mill Woods,identity,gpkg_parents (identity)
Edmonton-North West,Edmonton-North West,identity,gpkg_parents (identity)
Edmonton-Riverview,Edmonton-Glenora-Riverview,rename,reall_single (rename_or_split_primary)
Edmonton-Rutherford,Edmonton-Rutherford,identity,gpkg_parents (identity)
Edmonton-South,Edmonton-South,identity,gpkg_parents (identity)
Edmonton-South West,Edmonton-Windermere,rename,reall_single (rename_or_split_primary)
Edmonton-Strathcona,Edmonton-Strathcona,identity,gpkg_parents (identity)
