current_2019,proposed_2026
"Airdrie-Cochrane","Airdrie-West"
"Airdrie-East","Airdrie-East"
"Fort McMurray-Lac La Biche","Fort McMurray-Lac La Biche"
"Fort McMurray-Wood Buffalo","Fort McMurray-Wood Buffalo"
"Brooks-Medicine Hat","Medicine Hat-Brooks"
"Cypress-Medicine Hat","Medicine Hat-Cypress"
"Leduc-Beaumont","Leduc-Devon"
"Fort Saskatchewan-Vegreville","Fort Saskatchewan-Vegreville"
"Grande Prairie-Wapiti","Grande Prairie-Wapiti"
"Lacombe-Ponoka","Lacombe-Clearwater"
"Vermilion-Lloydminster-Wainwright","Lloydminster-Wainwright"
"Morinville-St. Albert","St. Albert-Sturgeon"
"Chestermere-Strathmore","Chestermere-Strathmore"
"Camrose","Camrose"
"Bonnyville-Cold Lake-St. Paul","Cold Lake-Bonnyville-St. Paul"
"Spruce Grove-Stony Plain","Spruce Grove"
"Maskwacis-Wetaskiwin","Wetaskiwin-Ponoka-Maskwacis"
"Grande Prairie","Grande Prairie"
"Strathcona-Sherwood Park","Strathcona-Sherwood Park"
