metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95
efficiency_gap,2019 enacted,0.024119940578423545,73.58,-0.00527502041394392,0.014597965415988057,0.03814331495548909
efficiency_gap,majority 2026 (approx),0.006617723809192443,24.61,-0.00527502041394392,0.014597965415988057,0.03814331495548909
efficiency_gap,minority 2026 v6 (approx),0.01698703316208093,57.44,-0.00527502041394392,0.014597965415988057,0.03814331495548909
mean_median,2019 enacted,-0.007671760176883757,96.1,-0.03218967576162849,-0.019544647727506637,-0.008754270562879538
mean_median,majority 2026 (approx),-0.03080581076080835,6.62,-0.03218967576162849,-0.019544647727506637,-0.008754270562879538
mean_median,minority 2026 v6 (approx),-0.0028055727681455256,100.0,-0.03218967576162849,-0.019544647727506637,-0.008754270562879538
declination,2019 enacted,-0.04509237880431511,7.61,-0.048875068440036105,0.004175944289751302,0.044994053084670534
declination,majority 2026 (approx),0.0049284491617187925,52.23,-0.048875068440036105,0.004175944289751302,0.044994053084670534
declination,minority 2026 v6 (approx),-0.02590183378958202,18.02,-0.048875068440036105,0.004175944289751302,0.044994053084670534
seats_at_50_50,2019 enacted,0.45977011494252873,79.165,0.42528735632183906,0.4482758620689655,0.47126436781609193
seats_at_50_50,majority 2026 (approx),0.42105263157894735,1.69,0.42528735632183906,0.4482758620689655,0.47126436781609193
seats_at_50_50,minority 2026 v6 (approx),0.4857142857142857,100.0,0.42528735632183906,0.4482758620689655,0.47126436781609193
