metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95
efficiency_gap,2019 enacted,0.024119940578423545,64.248,-0.00878473360626249,0.019444314329631184,0.0438699143188885
efficiency_gap,majority 2026 v7 (89 EDs),0.01436228021483706,37.511,-0.00878473360626249,0.019444314329631184,0.0438699143188885
efficiency_gap,minority 2026 v7 (89 EDs),0.017455936485701956,44.529,-0.00878473360626249,0.019444314329631184,0.0438699143188885
mean_median,2019 enacted,-0.007671760176883757,90.47,-0.03076923705339955,-0.017916222360836953,-0.004474205255761617
mean_median,majority 2026 v7 (89 EDs),-0.007854675550633905,90.069,-0.03076923705339955,-0.017916222360836953,-0.004474205255761617
mean_median,minority 2026 v7 (89 EDs),-0.017938114847363518,49.871,-0.03076923705339955,-0.017916222360836953,-0.004474205255761617
declination,2019 enacted,-0.04509237880431511,13.512,-0.06593091446871363,-0.011300922468835177,0.05189658378828564
declination,majority 2026 v7 (89 EDs),-0.028228298763724593,29.578,-0.06593091446871363,-0.011300922468835177,0.05189658378828564
declination,minority 2026 v7 (89 EDs),0.010510016514877743,71.219,-0.06593091446871363,-0.011300922468835177,0.05189658378828564
seats_at_50_50,2019 enacted,0.45977011494252873,65.002,0.42528735632183906,0.4482758620689655,0.4827586206896552
seats_at_50_50,majority 2026 v7 (89 EDs),0.4606741573033708,76.633,0.42528735632183906,0.4482758620689655,0.4827586206896552
seats_at_50_50,minority 2026 v7 (89 EDs),0.48314606741573035,97.552,0.42528735632183906,0.4482758620689655,0.4827586206896552
