metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95
efficiency_gap,2019 enacted,0.024119940578423545,67.29785,-0.0082440095542285,0.0173238121750296,0.042098676684149
efficiency_gap,majority 2026 v8 refined (89 EDs),0.06431336476984474,99.93625,-0.0082440095542285,0.0173238121750296,0.042098676684149
efficiency_gap,minority 2026 v8 refined (89 EDs),0.09207674180701376,100.0,-0.0082440095542285,0.0173238121750296,0.042098676684149
mean_median,2019 enacted,-0.007671760176883757,91.86175,-0.031042173041247376,-0.01882468351849375,-0.005416717223385942
mean_median,majority 2026 v8 refined (89 EDs),-0.018158061174911366,53.51485,-0.031042173041247376,-0.01882468351849375,-0.005416717223385942
mean_median,minority 2026 v8 refined (89 EDs),-0.009697961790394616,87.41875,-0.031042173041247376,-0.01882468351849375,-0.005416717223385942
declination,2019 enacted,-0.04509237880431511,9.0877,-0.059524600741767485,-0.00262371686495575,0.0530788915353218
declination,majority 2026 v8 refined (89 EDs),-0.01175738654996796,41.44355,-0.059524600741767485,-0.00262371686495575,0.0530788915353218
declination,minority 2026 v8 refined (89 EDs),-0.06662214758176674,2.87285,-0.059524600741767485,-0.00262371686495575,0.0530788915353218
seats_at_50_50,2019 enacted,0.45977011494252873,82.51195,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,majority 2026 v8 refined (89 EDs),0.4367816091954023,22.1737,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,minority 2026 v8 refined (89 EDs),0.5421686746987951,100.0,0.425287356321839,0.4482758620689655,0.4827586206896552
