metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95,n_ensemble
efficiency_gap,2019 enacted (full),0.024119940578423545,73.58,-0.0052750204139439,0.014597965415988,0.038143314955489,10000
efficiency_gap,majority 2026 (full coverage),0.024119940578423545,73.58,-0.0052750204139439,0.014597965415988,0.038143314955489,10000
efficiency_gap,minority 2026 v6 (full coverage),0.035864847141117324,93.65,-0.0052750204139439,0.014597965415988,0.038143314955489,10000
mean_median,2019 enacted (full),-0.007671760176883757,96.1,-0.03218967576162841,-0.019544647727506602,-0.008754270562879505,10000
mean_median,majority 2026 (full coverage),-0.00766964936075476,96.1,-0.03218967576162841,-0.019544647727506602,-0.008754270562879505,10000
mean_median,minority 2026 v6 (full coverage),-0.0009301349063708386,100.0,-0.03218967576162841,-0.019544647727506602,-0.008754270562879505,10000
declination,2019 enacted (full),-0.04509237880431511,7.61,-0.04887506844003606,0.00417594428975125,0.044994053084670485,10000
declination,majority 2026 (full coverage),-0.04659474896803661,6.72,-0.04887506844003606,0.00417594428975125,0.044994053084670485,10000
declination,minority 2026 v6 (full coverage),-0.0704058308129219,0.93,-0.04887506844003606,0.00417594428975125,0.044994053084670485,10000
seats_at_50_50,2019 enacted (full),0.45977011494252873,89.72,0.425287356321839,0.4482758620689655,0.4712643678160919,10000
seats_at_50_50,majority 2026 (full coverage),0.4588235294117647,68.61,0.425287356321839,0.4482758620689655,0.4712643678160919,10000
seats_at_50_50,minority 2026 v6 (full coverage),0.4823529411764706,97.99,0.425287356321839,0.4482758620689655,0.4712643678160919,10000
